key	dilemma_key	index
#character_training_dilemma_choices_tables;0;db/character_training_dilemma_choices_tables/data__		
wh3_main_character_training_dilemma_frost_maiden_1_first	wh3_main_character_training_dilemma_frost_maiden_1	FIRST
wh3_main_character_training_dilemma_frost_maiden_1_fourth	wh3_main_character_training_dilemma_frost_maiden_1	FOURTH
wh3_main_character_training_dilemma_frost_maiden_1_second	wh3_main_character_training_dilemma_frost_maiden_1	SECOND
wh3_main_character_training_dilemma_frost_maiden_1_third	wh3_main_character_training_dilemma_frost_maiden_1	THIRD
wh3_main_character_training_dilemma_frost_maiden_2_first	wh3_main_character_training_dilemma_frost_maiden_2	FIRST
wh3_main_character_training_dilemma_frost_maiden_2_fourth	wh3_main_character_training_dilemma_frost_maiden_2	FOURTH
wh3_main_character_training_dilemma_frost_maiden_2_second	wh3_main_character_training_dilemma_frost_maiden_2	SECOND
wh3_main_character_training_dilemma_frost_maiden_2_third	wh3_main_character_training_dilemma_frost_maiden_2	THIRD
wh3_main_character_training_dilemma_frost_maiden_3_first	wh3_main_character_training_dilemma_frost_maiden_3	FIRST
wh3_main_character_training_dilemma_frost_maiden_3_fourth	wh3_main_character_training_dilemma_frost_maiden_3	FOURTH
wh3_main_character_training_dilemma_frost_maiden_3_second	wh3_main_character_training_dilemma_frost_maiden_3	SECOND
wh3_main_character_training_dilemma_frost_maiden_3_third	wh3_main_character_training_dilemma_frost_maiden_3	THIRD
wh3_main_character_training_dilemma_frost_maiden_the_path_once_taken_first	wh3_main_character_training_dilemma_frost_maiden_the_path_once_taken	FIRST
wh3_main_character_training_dilemma_frost_maiden_the_path_once_taken_second	wh3_main_character_training_dilemma_frost_maiden_the_path_once_taken	SECOND
wh3_main_character_training_dilemma_ice_witch_1_first	wh3_main_character_training_dilemma_ice_witch_1	FIRST
wh3_main_character_training_dilemma_ice_witch_1_fourth	wh3_main_character_training_dilemma_ice_witch_1	FOURTH
wh3_main_character_training_dilemma_ice_witch_1_second	wh3_main_character_training_dilemma_ice_witch_1	SECOND
wh3_main_character_training_dilemma_ice_witch_1_third	wh3_main_character_training_dilemma_ice_witch_1	THIRD
wh3_main_character_training_dilemma_ice_witch_2_first	wh3_main_character_training_dilemma_ice_witch_2	FIRST
wh3_main_character_training_dilemma_ice_witch_2_fourth	wh3_main_character_training_dilemma_ice_witch_2	FOURTH
wh3_main_character_training_dilemma_ice_witch_2_second	wh3_main_character_training_dilemma_ice_witch_2	SECOND
wh3_main_character_training_dilemma_ice_witch_2_third	wh3_main_character_training_dilemma_ice_witch_2	THIRD
wh3_main_character_training_dilemma_ice_witch_3_first	wh3_main_character_training_dilemma_ice_witch_3	FIRST
wh3_main_character_training_dilemma_ice_witch_3_fourth	wh3_main_character_training_dilemma_ice_witch_3	FOURTH
wh3_main_character_training_dilemma_ice_witch_3_second	wh3_main_character_training_dilemma_ice_witch_3	SECOND
wh3_main_character_training_dilemma_ice_witch_3_third	wh3_main_character_training_dilemma_ice_witch_3	THIRD
wh3_main_character_training_dilemma_ice_witch_disciplined_approach_first	wh3_main_character_training_dilemma_ice_witch_disciplined_approach	FIRST
wh3_main_character_training_dilemma_ice_witch_disciplined_approach_second	wh3_main_character_training_dilemma_ice_witch_disciplined_approach	SECOND
