id	food_excess_cap	food_shortage_cap	min_attitude	squalor_cap
#cai_personality_occupation_decision_policies_tables;0;db/cai_personality_occupation_decision_policies_tables/data__				
default	6	-2	-30	-4
default_early	6	-2	-30	-4
default_early_uncapturable	6	-2	-30	-4
default_uncapturable	6	-2	-30	-4
destroyer	6	-2	0	-4
destroyer_uncapturable	6	-2	0	-4
dlc05_wood_elves	6	-2	-30	-4
dlc05_wood_elves_uncapturable	6	-2	-30	-4
dlc09_tomb_kings	6	-2	-30	-4
dlc09_tomb_kings_uncapaturable	6	-2	-30	-4
looter	6	-2	-30	-4
looter_early	6	-2	-30	-4
looter_early_uncapturable	6	-2	-30	-4
looter_uncapturable	6	-2	-30	-4
noraze	6	-2	-30	-4
noraze_uncapturable	6	-2	-30	-4
raider	6	-2	-30	-4
raider_uncapturable	6	-2	-30	-4
wh3_only_raze	6	-2	0	-4
