faction	payload	awake_from_death	convert_agent_types
#ritual_payload_form_confederations_tables;2;db/ritual_payload_form_confederations_tables/data__			
wh_dlc03_bst_beastmen	wh2_dlc17_bst_ritual_legendary_lord_khazrak	true	false
wh2_dlc17_bst_malagor	wh2_dlc17_bst_ritual_legendary_lord_malagor	true	false
wh_dlc05_bst_morghur_herd	wh2_dlc17_bst_ritual_legendary_lord_morgur	true	false
wh2_dlc17_bst_taurox	wh2_dlc17_bst_ritual_legendary_lord_taurox	true	false
wh3_dlc23_chd_astragoth	wh3_dlc23_ritual_chd_toz_slot_t4_astragoth	true	false
wh3_dlc23_chd_conclave	wh3_dlc23_ritual_chd_toz_slot_t4_conclave	true	false
wh3_dlc23_chd_legion_of_azgorh	wh3_dlc23_ritual_chd_toz_slot_t4_drazhoath	true	false
wh3_dlc23_chd_zhatan	wh3_dlc23_ritual_chd_toz_slot_t4_zhatan	true	false
wh_main_dwf_karak_izor	wh3_dlc25_dwf_ritual_legendary_lord_belegar	true	false
wh3_main_dwf_the_ancestral_throng	wh3_dlc25_dwf_ritual_legendary_lord_grombrindal	true	false
wh3_dlc25_dwf_malakai	wh3_dlc25_dwf_ritual_legendary_lord_malakai	true	false
wh2_dlc17_dwf_thorek_ironbrow	wh3_dlc25_dwf_ritual_legendary_lord_thorek	true	false
wh_main_dwf_dwarfs	wh3_dlc25_dwf_ritual_legendary_lord_thorgrim	true	false
wh_main_dwf_karak_kadrin	wh3_dlc25_dwf_ritual_legendary_lord_ungrim	true	false
wh2_dlc15_hef_imrik	wh3_dlc27_hef_court_unity_wh2_dlc15_hef_imrik_payload	true	false
wh2_main_hef_avelorn	wh3_dlc27_hef_court_unity_wh2_main_hef_avelorn_payload	true	false
wh2_main_hef_eataine	wh3_dlc27_hef_court_unity_wh2_main_hef_eataine_payload	true	false
wh2_main_hef_nagarythe	wh3_dlc27_hef_court_unity_wh2_main_hef_nagarythe_payload	true	false
wh2_main_hef_order_of_loremasters	wh3_dlc27_hef_court_unity_wh2_main_hef_order_of_loremasters_payload	true	false
wh2_main_hef_yvresse	wh3_dlc27_hef_court_unity_wh2_main_hef_yvresse_payload	true	false
wh3_dlc27_hef_aislinn	wh3_dlc27_hef_court_unity_wh3_dlc27_hef_aislinn_payload	true	false
wh2_dlc09_tmb_followers_of_nagash	wh3_dlc29_nag_ritual_payload_mortarch_arkhan	true	true
wh2_dlc11_cst_vampire_coast	wh3_dlc29_nag_ritual_payload_mortarch_luthor	true	true
wh_main_vmp_vampire_counts	wh3_dlc29_nag_ritual_payload_mortarch_manfred	true	true
wh3_dlc29_vmp_neferata	wh3_dlc29_nag_ritual_payload_mortarch_neferata	true	true
wh_main_vmp_schwartzhafen	wh3_dlc29_nag_ritual_payload_mortarch_vlad	true	true
wh2_dlc09_tmb_lybaras	wh3_main_tmb_confederate_khalida	true	false
wh2_dlc09_tmb_exiles_of_nehek	wh3_main_tmb_confederate_khatep	true	false
