key	is_human_only	permitted_faction_set	ui_info	require_war_declaration_ability	diplomatic_faction_set	require_not_at_war	allow_vassals_of_humans	context_requirement
#ritual_faction_target_criterias_tables;3;db/ritual_faction_target_criterias_tables/data__								
ONLY_USE_ONE_CRITERIA	Undefined			false		false	true	
ritual_target_all_factions	Undefined			false		false	true	
ritual_target_all_factions_ai	False			false		false	true	
ritual_target_all_factions_exclude_allies_and_self	Undefined			false	exclude_self_and_allies	false	true	
ritual_target_all_factions_exclude_chaos_human	False			false		false	true	
ritual_target_all_factions_excluding_self	Undefined		faction_excluding_self	false	exclude_self	false	true	
ritual_target_all_factions_excluding_self_ai_only	False		faction_excluding_self	false	exclude_self	false	true	
ritual_target_all_factions_excluding_self_not_human_or_human_vassals	False		faction_excluding_self	false	exclude_self	false	false	
ritual_target_beastmen_norsca_allied	Undefined	norsca_beastmen		false	allied	false	true	
ritual_target_beastmen_norsca_exclude_allies_human	False	norsca_beastmen		false	exclude_self_and_allies	false	true	
ritual_target_faction_ally	False		faction_allied	false	allied	false	true	
ritual_target_faction_beastmen	False	all_beastmen_culture		false	exclude_self_and_enemies	false	true	
ritual_target_faction_chaos_dwarfs	False	chaos_dwarfs		false	exclude_self_and_enemies	false	true	
ritual_target_faction_emp_elector_counts	False	wh3_dlc25_emp_elector_count_factions		false		true	true	
ritual_target_faction_empire_not_human_not_war	False	empire_culture		false		true	true	
ritual_target_faction_kislev	False	kislev_culture		false	exclude_self_and_enemies	false	true	
ritual_target_faction_ksl_ice_court	Undefined	ice_court		false		false	true	
ritual_target_faction_ksl_orthodoxy	Undefined	orthodoxy		false		false	true	
ritual_target_faction_ksl_ostankya_exclude_human	False	ostankya_valid_culture_targets		false		false	true	
ritual_target_faction_norscan	False	faction_set_norsca		false	exclude_self_and_enemies	false	true	
ritual_target_faction_sla_the_masque	False	wh3_dlc27_sla_masque_of_slaanesh		false		false	true	
ritual_target_faction_warriors_of_chaos	False	warriors_factions		false	exclude_self_and_enemies	false	true	
ritual_target_seducible_factions_exclude_human	False	slaanesh_seducible_factions		false		false	true	
ritual_target_tomb_kings_confederate_exclude_human	False	faction_set_culture_tomb_kings		false		false	true	
