looping_sound	map
#audio_campaign_environment_static_sounds_tables;0;db/audio_campaign_environment_static_sounds_tables/data__	
Loop_Static_Corruption	wh3_main_chaos_map_1
Loop_Static_Shroud	wh3_main_chaos_map_1
Loop_Static_Wind	wh3_main_chaos_map_1
Loop_Static_Corruption	wh3_main_chaos_map_2
Loop_Static_Shroud	wh3_main_chaos_map_2
Loop_Static_Wind	wh3_main_chaos_map_2
Loop_Static_Corruption	wh3_main_chaos_map_3
Loop_Static_Shroud	wh3_main_chaos_map_3
Loop_Static_Wind	wh3_main_chaos_map_3
Loop_Static_Corruption	wh3_main_chaos_map_4
Loop_Static_Shroud	wh3_main_chaos_map_4
Loop_Static_Wind	wh3_main_chaos_map_4
Loop_Static_Corruption	wh3_main_combi_map_1
Loop_Static_Shroud	wh3_main_combi_map_1
Loop_Static_Wind	wh3_main_combi_map_1
Loop_Static_Corruption	wh3_main_combi_map_2
Loop_Static_Shroud	wh3_main_combi_map_2
Loop_Static_Wind	wh3_main_combi_map_2
Loop_Static_Corruption	wh3_main_combi_map_3
Loop_Static_Shroud	wh3_main_combi_map_3
Loop_Static_Wind	wh3_main_combi_map_3
Loop_Static_Corruption	wh3_main_combi_map_4
Loop_Static_Shroud	wh3_main_combi_map_4
Loop_Static_Wind	wh3_main_combi_map_4
Loop_Static_Corruption	wh3_main_prologue_map
Loop_Static_Shroud	wh3_main_prologue_map
Loop_Static_Wind_Prologue	wh3_main_prologue_map
