feature	feature_set
#feature_set_to_faction_features_tables;0;db/feature_set_to_faction_features_tables/data__	
can_be_regionless	FOREIGN_SLOTS
can_be_regionless	HORDE
can_be_regionless	LOCKED_HORDE_SETTLED
can_own_regions	LOCKED_HORDE_SETTLED
can_be_regionless	MIGRATORY_STANDARD_FACTION
can_migrate_to_hordes	MIGRATORY_STANDARD_FACTION
can_own_regions	MIGRATORY_STANDARD_FACTION
can_be_regionless	MIXED_NAVAL_HORDE
can_own_regions	MIXED_NAVAL_HORDE
primary_faction	PRIMARY_FACTION
can_be_regionless	SETTLEABLE_HORDE
can_settle_hordes	SETTLEABLE_HORDE
can_be_regionless	STANDARD_FACTION
can_own_regions	STANDARD_FACTION
