unique_id	ability	agent	attribute	cannot_fail	critical_failure	critical_success	failure	opportune_failure	success	localised_action_name	localised_action_description	target_attribute	critical_success_proportion_modifier	opportune_failure_proportion_modifier	critical_failure_proportion_modifier	chance_of_success	voiceover	icon_path	show_action_info_in_ui	subculture	succeed_always_override	order
#agent_actions_tables;12;db/agent_actions_tables/data__																						
wh2_dlc09_agent_action_engineer_hinder_settlement_necrotect_ritual	hinder_settlement	engineer	zeal	wh2_dlc09_agent_action_engineer_hinder_settlement_success_necrotect_ritual	wh2_dlc09_agent_action_engineer_hinder_settlement_success_necrotect_ritual	wh2_dlc09_agent_action_engineer_hinder_settlement_success_necrotect_ritual	wh2_dlc09_agent_action_engineer_hinder_settlement_success_necrotect_ritual	wh2_dlc09_agent_action_engineer_hinder_settlement_success_necrotect_ritual	wh2_dlc09_agent_action_engineer_hinder_settlement_success_necrotect_ritual	{{tr:agent_action_name_colonise_ruins}}	[[col:yellow]]Colonises the ruined settlement at level 3.[[/col]]\n[[col:red]]This action will kill the Necrotect![[/col]]	zeal	0.0000	0.0000	0.0000	100	vo_campaign_action_enemy_settlement	ui/campaign ui/effect_bundles/settlement.png	true		true	0
wh2_dlc11_agent_action_champion_assist_province_dig_for_treasure	assist_province	champion	zeal	wh_main_agent_action_dummy_province_cannot_fail	wh_main_agent_action_dummy_province_critical_failure	wh_main_agent_action_dummy_province_critical_success	wh_main_agent_action_dummy_province_critical_failure	wh_main_agent_action_dummy_province_critical_failure	wh_main_agent_action_dummy_province_success	Dig for Treasure	[[col:yellow]]Solve Treasure Maps by digging for treasure at the locations hinted at in the riddles.[[/col]]	zeal	0.0000	0.0000	1.0000	100	vo_campaign_action_own_region	UI/skins/warhammer2/icon_digging_for_treasure.png	false		true	0
wh2_dlc11_agent_action_champion_hinder_province_dig_for_treasure	hinder_province	champion	zeal	wh_main_agent_action_dummy_province_cannot_fail	wh_main_agent_action_dummy_province_critical_failure	wh_main_agent_action_dummy_province_critical_success	wh_main_agent_action_dummy_province_critical_failure	wh_main_agent_action_dummy_province_critical_failure	wh_main_agent_action_dummy_province_success	Dig for Treasure	[[col:yellow]]Solve Treasure Maps by digging for treasure at the locations hinted at in the riddles.[[/col]]	zeal	0.0000	0.0000	1.0000	100	vo_campaign_action_enemy_region	UI/skins/warhammer2/icon_digging_for_treasure.png	false		true	0
wh2_dlc11_agent_action_champion_hinder_settlement_treasure_hunt	hinder_settlement	champion	zeal	wh2_main_agent_action_hinder_settlement_cannot_fail_treasure_hunt	wh_main_agent_action_dummy_region_critical_failure	wh2_main_agent_action_hinder_settlement_cannot_fail_treasure_hunt	wh_main_agent_action_dummy_region_failure	wh_main_agent_action_dummy_region_failure	wh2_main_agent_action_hinder_settlement_cannot_fail_treasure_hunt	{{tr:agent_action_name_treasure_hunt}}	[[col:yellow]]Searches the ruined settlement, leading to either a good or bad outcome.[[/col]]	zeal	0.0000	0.0000	0.0000	100	vo_campaign_action_passive		true		true	0
wh2_dlc11_agent_action_dignitary_assist_province_dig_for_treasure	assist_province	dignitary	authority	wh_main_agent_action_dummy_province_cannot_fail	wh_main_agent_action_dummy_province_critical_failure	wh_main_agent_action_dummy_province_critical_success	wh_main_agent_action_dummy_province_critical_failure	wh_main_agent_action_dummy_province_critical_failure	wh_main_agent_action_dummy_province_success	Dig for Treasure	[[col:yellow]]Solve Treasure Maps by digging for treasure at the locations hinted at in the riddles.[[/col]]	authority	0.0000	0.0000	1.0000	100	vo_campaign_action_own_region	UI/skins/warhammer2/icon_digging_for_treasure.png	false		true	0
wh2_dlc11_agent_action_dignitary_hinder_province_dig_for_treasure	hinder_province	dignitary	authority	wh_main_agent_action_dummy_province_cannot_fail	wh_main_agent_action_dummy_province_critical_failure	wh_main_agent_action_dummy_province_critical_success	wh_main_agent_action_dummy_province_critical_failure	wh_main_agent_action_dummy_province_critical_failure	wh_main_agent_action_dummy_province_success	Dig for Treasure	[[col:yellow]]Solve Treasure Maps by digging for treasure at the locations hinted at in the riddles.[[/col]]	authority	0.0000	0.0000	1.0000	100	vo_campaign_action_enemy_region	UI/skins/warhammer2/icon_digging_for_treasure.png	false		true	0
wh2_dlc11_agent_action_dignitary_hinder_settlement_establish_pirate_cove	hinder_settlement	dignitary	authority	wh2_dlc11_agent_action_hinder_settlement_success_establish_pirate_cove	wh2_dlc11_agent_action_hinder_settlement_success_establish_pirate_cove	wh2_dlc11_agent_action_hinder_settlement_success_establish_pirate_cove	wh2_dlc11_agent_action_hinder_settlement_success_establish_pirate_cove	wh2_dlc11_agent_action_hinder_settlement_success_establish_pirate_cove	wh2_dlc11_agent_action_hinder_settlement_success_establish_pirate_cove	{{tr:agent_action_name_establish_pirate_cove}}	[[col:yellow]]Establishes a pirate cove in the target settlement.[[/col]]	authority	0.0000	0.0000	0.0000	100	vo_campaign_action_enemy_settlement	ui/campaign ui/effect_bundles/pirate_cove.png	true		false	0
wh2_dlc11_agent_action_dignitary_hinder_settlement_treasure_hunt	hinder_settlement	dignitary	authority	wh2_main_agent_action_hinder_settlement_cannot_fail_treasure_hunt	wh_main_agent_action_dummy_region_critical_failure	wh2_main_agent_action_hinder_settlement_cannot_fail_treasure_hunt	wh_main_agent_action_dummy_region_failure	wh_main_agent_action_dummy_region_failure	wh2_main_agent_action_hinder_settlement_cannot_fail_treasure_hunt	{{tr:agent_action_name_treasure_hunt}}	[[col:yellow]]Searches the ruined settlement, leading to either a good or bad outcome.[[/col]]	authority	0.0000	0.0000	0.0000	100	vo_campaign_action_passive		false		true	0
wh2_dlc11_agent_action_engineer_assist_province_dig_for_treasure	assist_province	engineer	zeal	wh_main_agent_action_dummy_province_cannot_fail	wh_main_agent_action_dummy_province_critical_failure	wh_main_agent_action_dummy_province_critical_success	wh_main_agent_action_dummy_province_critical_failure	wh_main_agent_action_dummy_province_critical_failure	wh_main_agent_action_dummy_province_success	Dig for Treasure	[[col:yellow]]Solve Treasure Maps by digging for treasure at the locations hinted at in the riddles.[[/col]]	zeal	0.0000	0.0000	1.0000	100	vo_campaign_action_own_region	UI/skins/warhammer2/icon_digging_for_treasure.png	false		true	0
wh2_dlc11_agent_action_engineer_hinder_province_dig_for_treasure	hinder_province	engineer	zeal	wh_main_agent_action_dummy_province_cannot_fail	wh_main_agent_action_dummy_province_critical_failure	wh_main_agent_action_dummy_province_critical_success	wh_main_agent_action_dummy_province_critical_failure	wh_main_agent_action_dummy_province_critical_failure	wh_main_agent_action_dummy_province_success	Dig for Treasure	[[col:yellow]]Solve Treasure Maps by digging for treasure at the locations hinted at in the riddles.[[/col]]	zeal	0.0000	0.0000	1.0000	100	vo_campaign_action_enemy_region	UI/skins/warhammer2/icon_digging_for_treasure.png	false		true	0
wh2_dlc11_agent_action_engineer_hinder_settlement_treasure_hunt	hinder_settlement	engineer	zeal	wh2_main_agent_action_hinder_settlement_cannot_fail_treasure_hunt	wh_main_agent_action_dummy_region_critical_failure	wh2_main_agent_action_hinder_settlement_cannot_fail_treasure_hunt	wh_main_agent_action_dummy_region_failure	wh_main_agent_action_dummy_region_failure	wh2_main_agent_action_hinder_settlement_cannot_fail_treasure_hunt	{{tr:agent_action_name_treasure_hunt}}	[[col:yellow]]Searches the ruined settlement, leading to either a good or bad outcome.[[/col]]	zeal	0.0000	0.0000	0.0000	100	vo_campaign_action_passive		false		true	0
