agent_subtype	set	remove
#agent_subtype_set_items_tables;0;db/agent_subtype_set_items_tables/data__		
	all_agents	false
wh2_dlc09_tmb_necrotect_ritual	all_agents_excluding_ritual_special	true
wh2_main_skv_plague_priest_ritual	all_agents_excluding_ritual_special	true
wh2_main_skv_warlock_engineer_ritual	all_agents_excluding_ritual_special	true
wh3_dlc24_tze_the_changeling_cultist_special	all_agents_excluding_ritual_special	true
wh3_main_kho_cult_magus	all_agents_excluding_ritual_special	true
wh3_main_nur_cult_magus	all_agents_excluding_ritual_special	true
wh3_main_nur_cultist_plague_ritual	all_agents_excluding_ritual_special	true
wh3_main_sla_cult_magus	all_agents_excluding_ritual_special	true
wh3_main_tze_cult_magus	all_agents_excluding_ritual_special	true
wh3_dlc23_chd_lord_convoy_overseer	chd_convoy	false
wh3_dlc20_chs_daemon_prince_khorne	chs_khorne	false
wh3_dlc20_chs_exalted_hero_mkho	chs_khorne	false
wh3_dlc20_chs_lord_mkho	chs_khorne	false
wh3_dlc20_kho_valkia	chs_khorne	false
wh3_dlc20_chs_daemon_prince_nurgle	chs_nurgle	false
wh3_dlc20_chs_exalted_hero_mnur	chs_nurgle	false
wh3_dlc20_chs_sorcerer_lord_death_mnur	chs_nurgle	false
wh3_dlc20_chs_sorcerer_lord_nurgle_mnur	chs_nurgle	false
wh3_dlc20_nur_festus	chs_nurgle	false
wh3_dlc25_chs_lord_mnur	chs_nurgle	false
wh3_dlc25_chs_sorcerer_death_mnur	chs_nurgle	false
wh3_dlc25_chs_sorcerer_nurgle_mnur	chs_nurgle	false
wh3_dlc20_chs_daemon_prince_slaanesh	chs_slaanesh	false
wh3_dlc20_chs_lord_msla	chs_slaanesh	false
wh3_dlc20_chs_sorcerer_shadows_msla	chs_slaanesh	false
wh3_dlc20_chs_sorcerer_slaanesh_msla	chs_slaanesh	false
wh3_dlc20_sla_azazel	chs_slaanesh	false
wh3_main_sla_cultist	chs_slaanesh	false
wh_dlc01_chs_prince_sigvald	chs_slaanesh	false
wh3_dlc20_chs_daemon_prince_tzeentch	chs_tzeentch	false
wh3_dlc20_chs_sorcerer_lord_metal_mtze	chs_tzeentch	false
wh3_dlc20_chs_sorcerer_lord_tzeentch_mtze	chs_tzeentch	false
wh3_dlc20_chs_sorcerer_metal_mtze	chs_tzeentch	false
wh3_dlc20_chs_sorcerer_tzeentch_mtze	chs_tzeentch	false
wh3_dlc20_tze_vilitch	chs_tzeentch	false
wh3_dlc24_chs_exalted_hero_mtze	chs_tzeentch	false
wh3_dlc24_chs_lord_mtze	chs_tzeentch	false
wh3_dlc20_chs_daemon_prince_undivided	chs_undivided	false
wh_dlc01_chs_kholek_suneater	chs_undivided	false
wh_dlc01_chs_sorcerer_lord_death	chs_undivided	false
wh_dlc01_chs_sorcerer_lord_fire	chs_undivided	false
wh_dlc01_chs_sorcerer_lord_metal	chs_undivided	false
wh_dlc07_chs_chaos_sorcerer_shadow	chs_undivided	false
wh_dlc07_chs_sorcerer_lord_shadow	chs_undivided	false
wh_main_chs_archaon	chs_undivided	false
wh_main_chs_chaos_sorcerer_death	chs_undivided	false
wh_main_chs_chaos_sorcerer_fire	chs_undivided	false
wh_main_chs_chaos_sorcerer_metal	chs_undivided	false
wh_main_chs_exalted_hero	chs_undivided	false
wh_main_chs_lord	chs_undivided	false
wh2_dlc10_def_sorceress_beasts	def_casters	false
wh2_dlc10_def_sorceress_death	def_casters	false
wh2_dlc10_def_supreme_sorceress_beasts	def_casters	false
wh2_dlc10_def_supreme_sorceress_dark	def_casters	false
wh2_dlc10_def_supreme_sorceress_death	def_casters	false
wh2_dlc10_def_supreme_sorceress_fire	def_casters	false
wh2_dlc10_def_supreme_sorceress_shadow	def_casters	false
wh2_main_def_sorceress_dark	def_casters	false
wh2_main_def_sorceress_fire	def_casters	false
wh2_main_def_sorceress_shadow	def_casters	false
wh2_dlc10_hef_mage_heavens	hef_casters	false
wh2_dlc10_hef_mage_shadows	hef_casters	false
wh2_dlc15_hef_archmage_beasts	hef_casters	false
wh2_dlc15_hef_archmage_death	hef_casters	false
wh2_dlc15_hef_archmage_fire	hef_casters	false
wh2_dlc15_hef_archmage_heavens	hef_casters	false
wh2_dlc15_hef_archmage_high	hef_casters	false
wh2_dlc15_hef_archmage_life	hef_casters	false
wh2_dlc15_hef_archmage_light	hef_casters	false
wh2_dlc15_hef_archmage_metal	hef_casters	false
wh2_dlc15_hef_archmage_shadows	hef_casters	false
wh2_dlc15_hef_mage_beasts	hef_casters	false
wh2_dlc15_hef_mage_death	hef_casters	false
wh2_dlc15_hef_mage_fire	hef_casters	false
wh2_dlc15_hef_mage_metal	hef_casters	false
wh2_main_hef_loremaster_of_hoeth	hef_casters	false
wh2_main_hef_mage_high	hef_casters	false
wh2_main_hef_mage_life	hef_casters	false
wh2_main_hef_mage_light	hef_casters	false
wh2_dlc13_lzd_saurus_old_blood_horde	saurus	false
wh2_main_lzd_saurus_old_blood	saurus	false
wh2_main_lzd_saurus_scar_veteran	saurus	false
