tech_ui_group	bottom_right_node	top_left_node	optional_top_right_node	optional_bottom_left_node
#technology_ui_groups_to_technology_nodes_junctions_tables;2;db/technology_ui_groups_to_technology_nodes_junctions_tables/data__				
brt_chivalry	wh2_dlc11_tech_brt_chivalry_vampire_coast_1	wh_dlc07_tech_brt_chivalry_vampires_1		
brt_heraldry	wh2_dlc12_tech_brt_heraldry_oversea_tmb	wh_dlc07_tech_brt_heraldry_errantry		
chs_kho	dlc20_chs_kho_3	dlc20_chs_kho_0		
chs_nur	dlc20_chs_nur_3	dlc20_chs_nur_0		
chs_sla	dlc20_chs_sla_3	dlc20_chs_sla_0		
chs_tze	dlc20_chs_tze_3	dlc20_chs_tze_0		
cst_1	wh2_dlc11_tech_cst_command_06	wh2_dlc11_tech_cst_command_05		
cst_2	wh2_dlc11_tech_cst_firearms_08	wh2_dlc11_tech_cst_firearms_01		
cst_3	wh2_dlc11_tech_cst_vampiric_12	wh2_dlc11_tech_cst_vampiric_01		
cst_5	wh2_dlc11_tech_cst_admirals_04	wh2_dlc11_tech_cst_admirals_01		
emp_aca	wh2_dlc13_tech_emp_academia_3_a	wh2_dlc13_tech_emp_academia_1_a		
emp_aca_wulfhart	wh2_dlc13_tech_emp_academia_3_a	wh2_dlc13_tech_emp_academia_1_a		
emp_cav	wh2_dlc13_tech_emp_cav_1_c	wh2_dlc13_tech_emp_cav_1		
emp_cav_wulfhart	wh2_dlc13_tech_emp_cav_1_c	wh2_dlc13_tech_emp_cav_1		
emp_dip	wh2_dlc13_tech_emp_purge_4	wh2_dlc13_tech_emp_diplomacy_1_a		
emp_dip_wulfhart	wh2_dlc13_tech_emp_purge_4	wh2_dlc13_tech_emp_diplomacy_1_a		
emp_eco	wh2_dlc13_tech_emp_economy_3_a	wh2_dlc13_tech_emp_economy_1_a		
emp_eco_wulfhart	wh2_dlc13_tech_emp_economy_3_a	wh2_dlc13_tech_emp_economy_1_a		
emp_machines	wh2_dlc13_tech_emp_machine_1_a	wh2_dlc13_tech_emp_machine_1		
emp_machines_wulfhart	wh2_dlc13_tech_emp_machine_1_a	wh2_dlc13_tech_emp_machine_1		
emp_mil	wh2_dlc13_tech_emp_infantry_1_b	wh2_dlc13_tech_emp_infantry_1		
emp_mil_wulfhart	wh2_dlc13_tech_emp_infantry_1_b	wh2_dlc13_tech_emp_infantry_1		
emp_missile_wulfhart	wh2_dlc13_tech_emp_missile_1_b	wh2_dlc13_tech_emp_missile_1		
emp_missiles	wh2_dlc13_tech_emp_missile_1_b	wh2_dlc13_tech_emp_missile_1		
emp_unique	wh2_dlc13_tech_emp_elector_counts_2	wh2_dlc13_tech_emp_elector_counts_1		
emp_unique_volkmar	wh3_main_tech_emp_divine_mandate_volkmar	wh3_main_tech_emp_fanatics_decree_volkmar		
emp_unique_wulfhart	wh2_dlc13_tech_emp_wulfhart_4	wh2_dlc13_tech_emp_wulfhart_1		
hef_0	wh2_main_tech_hef_0_10	wh2_main_tech_hef_0_01		
hef_1	wh2_main_tech_hef_1_10	wh2_main_tech_hef_1_01		
hef_2	wh2_main_tech_hef_2_09	wh2_main_tech_hef_2_01		
hef_3	wh2_main_tech_hef_3_09	wh2_main_tech_hef_3_01		
hef_4	wh2_main_tech_hef_4_12	wh2_main_tech_hef_4_01		
hef_5	wh2_main_tech_hef_5_08	wh2_main_tech_hef_5_01		
kho_1	wh3_main_tech_kho_1_8	wh3_main_tech_kho_1_1		
kho_2	wh3_main_tech_kho_2_8	wh3_main_tech_kho_2_1		
kho_3	wh3_main_tech_kho_3_8	wh3_main_tech_kho_3_1		
kho_4	wh3_main_tech_kho_4_8	wh3_main_tech_kho_4_1		
kho_5	wh3_main_tech_kho_5_8	wh3_main_tech_kho_5_1		
kho_6	wh3_main_tech_kho_6_8	wh3_main_tech_kho_6_1		
kho_7	wh3_main_tech_kho_7_8	wh3_main_tech_kho_7_1		
kho_8	wh3_main_tech_kho_8_8	wh3_main_tech_kho_8_1		
ksl_1	wh3_main_tech_ksl_1_04	wh3_main_tech_ksl_1_01		
ksl_1_ostankya	wh3_dlc24_ostankya_tech_ksl_1_04	wh3_dlc24_ostankya_tech_ksl_1_01		
ksl_1_prologue	wh3_main_tech_ksl_1_4_prologue	wh3_main_tech_ksl_1_1_prologue		
ksl_2	wh3_main_tech_ksl_1_08	wh3_main_tech_ksl_1_05		
ksl_2_ostankya	wh3_dlc24_ostankya_tech_ksl_1_08	wh3_dlc24_ostankya_tech_ksl_1_05		
ksl_2_prologue	wh3_main_tech_ksl_2_7_prologue	wh3_main_tech_ksl_2_1_prologue	wh3_main_tech_ksl_2_3_prologue	
ksl_3	wh3_main_tech_ksl_1_12	wh3_main_tech_ksl_1_09		
ksl_3_ostankya	wh3_dlc24_ostankya_tech_ksl_1_12	wh3_dlc24_ostankya_tech_ksl_1_09		
ksl_3_prologue	wh3_main_tech_ksl_3_11_prologue	wh3_main_tech_ksl_3_1_prologue	wh3_main_tech_ksl_3_4_prologue	
ksl_4	wh3_main_tech_ksl_2_07	wh3_main_tech_ksl_2_03		
ksl_4_ostankya	wh3_dlc24_ostankya_tech_ksl_2_07	wh3_dlc24_ostankya_tech_ksl_2_03		
ksl_5	wh3_main_tech_ksl_2_15	wh3_main_tech_ksl_2_10		
ksl_5_boris	wh3_main_tech_ksl_2_15_boris	wh3_main_tech_ksl_2_10_boris		
ksl_5_ostankya	wh3_dlc24_ostankya_tech_ksl_2_15_ostankya	wh3_dlc24_ostankya_tech_ksl_2_10_ostankya		
ksl_6	wh3_main_tech_ksl_3_07	wh3_main_tech_ksl_3_03		
ksl_6_ostankya	wh3_dlc24_ostankya_tech_ksl_3_07	wh3_dlc24_ostankya_tech_ksl_3_03		
ksl_7	wh3_main_tech_ksl_3_15	wh3_main_tech_ksl_3_10		
ksl_7_boris	wh3_main_tech_ksl_3_15_boris	wh3_main_tech_ksl_3_10_boris		
ksl_7_ostankya	wh3_dlc24_ostankya_tech_ksl_3_15_ostankya	wh3_dlc24_ostankya_tech_ksl_3_10_ostankya		
ksl_8	wh3_main_tech_ksl_4_07	wh3_main_tech_ksl_4_03		
ksl_8_ostankya	wh3_dlc24_ostankya_tech_ksl_4_07	wh3_dlc24_ostankya_tech_ksl_4_03		
ksl_9	wh3_main_tech_ksl_4_15	wh3_main_tech_ksl_4_10		
ksl_9_boris	wh3_main_tech_ksl_4_15_boris	wh3_main_tech_ksl_4_10_boris		
ksl_9_ostankya	wh3_dlc24_ostankya_tech_ksl_4_15_ostankya	wh3_dlc24_ostankya_tech_ksl_4_10_ostankya		
ksl_ostankya_unique	wh3_dlc24_tech_ksl_ostankya_hex_5	wh3_dlc24_tech_ksl_ostankya_unique_1_1		
lzd_1	wh2_main_tech_lzd_8_4	wh2_main_tech_lzd_1_4		
lzd_2	wh2_main_tech_lzd_8_7	wh2_main_tech_lzd_1_7		
lzd_nakai_5	wh2_dlc13_tech_lzd_army_7	wh2_dlc13_tech_lzd_army_1		
lzd_nakai_6	wh2_dlc13_tech_lzd_replenishment_7	wh2_dlc13_tech_lzd_replenishment_1		
lzd_nakai_7	wh2_dlc13_tech_lzd_vassal_2	wh2_dlc13_tech_lzd_vassal_1		
lzd_nakai_8	wh2_dlc13_tech_lzd_vassal_4	wh2_dlc13_tech_lzd_vassal_3		
nur_1	wh3_main_tech_nur_7	wh3_main_tech_nur_2	wh3_main_tech_nur_1	wh3_main_tech_nur_4
nur_2	wh3_main_tech_nur_14	wh3_main_tech_nur_9	wh3_main_tech_nur_8	wh3_main_tech_nur_11
nur_3	wh3_main_tech_nur_35	wh3_main_tech_nur_15	wh3_main_tech_nur_15	wh3_main_tech_nur_18
nur_4	wh3_main_tech_nur_49	wh3_main_tech_nur_23	wh3_main_tech_nur_22	wh3_main_tech_nur_25
nur_5	wh3_main_tech_nur_20	wh3_main_tech_nur_30	wh3_main_tech_nur_29	wh3_main_tech_nur_32
nur_6	wh3_main_tech_nur_42	wh3_main_tech_nur_37	wh3_main_tech_nur_13	wh3_main_tech_nur_39
nur_7	wh3_main_tech_nur_27	wh3_main_tech_nur_44	wh3_main_tech_nur_28	wh3_main_tech_nur_46
sla_1	wh3_main_tech_sla_1_5	wh3_main_tech_sla_1_1	wh3_main_tech_sla_1_6	wh3_main_tech_sla_1_2
sla_2	wh3_main_tech_sla_2_5	wh3_main_tech_sla_2_1	wh3_main_tech_sla_2_6	wh3_main_tech_sla_2_2
sla_3	wh3_main_tech_sla_3_5	wh3_main_tech_sla_3_1	wh3_main_tech_sla_3_6	wh3_main_tech_sla_3_2
sla_4	wh3_main_tech_sla_4_5	wh3_main_tech_sla_4_1	wh3_main_tech_sla_4_6	wh3_main_tech_sla_4_2
sla_5	wh3_main_tech_sla_5_5	wh3_main_tech_sla_5_1	wh3_main_tech_sla_5_6	wh3_main_tech_sla_5_2
sla_6	wh3_main_tech_sla_6_5	wh3_main_tech_sla_6_1	wh3_main_tech_sla_6_6	wh3_main_tech_sla_6_2
the_changeling_army_buffs	wh3_dlc24_tech_the_changeling_army_9	wh3_dlc24_tech_the_changeling_army_1		
the_changeling_changing_of_the_ways	wh3_dlc24_tech_the_changeling_changing_of_the_ways_1	wh3_dlc24_tech_the_changeling_changing_of_the_ways_3		
the_changeling_cultists_ie	wh3_dlc24_tech_the_changeling_cultist_9	wh3_dlc24_tech_the_changeling_cultist_1		
the_changeling_cultists_roc	wh3_dlc24_tech_the_changeling_cultist_10b_roc	wh3_dlc24_tech_the_changeling_cultist_1_roc		
the_changeling_rifts_ie	wh3_dlc24_tech_the_changeling_rift_9	wh3_dlc24_tech_the_changeling_rift_1		
the_changeling_rifts_roc	wh3_dlc24_tech_the_changeling_rift_10b_roc	wh3_dlc24_tech_the_changeling_rift_1_roc		
the_changeling_unit_buffs	wh3_dlc24_tech_the_changeling_units_9	wh3_dlc24_tech_the_changeling_units_1		
the_changeling_winds_of_magic	wh3_dlc24_tech_the_changeling_winds_of_magic_9	wh3_dlc24_tech_the_changeling_winds_of_magic_1		
tmb_1	wh2_dlc09_tech_tmb_campaign_bonus_1_3	wh2_dlc09_tech_tmb_tomb_king_1	wh2_dlc09_tech_tmb_liche_priest_1	wh2_dlc09_tech_tmb_faction_target_1
tmb_2	wh2_dlc09_tech_tmb_campaign_bonus_2_3	wh2_dlc09_tech_tmb_tomb_king_2	wh2_dlc09_tech_tmb_necrotect_2	wh2_dlc09_tech_tmb_faction_target_2
tmb_3	wh2_dlc09_tech_tmb_campaign_bonus_3_3	wh2_dlc09_tech_tmb_tomb_king_3	wh2_dlc09_tech_tmb_tomb_prince_3	wh2_dlc09_tech_tmb_faction_target_3
tmb_4	wh2_dlc09_tech_tmb_campaign_bonus_4_3	wh2_dlc09_tech_tmb_tomb_king_4	wh2_dlc09_tech_tmb_necrotect_4	wh2_dlc09_tech_tmb_faction_target_4
tmb_5	wh2_dlc09_tech_tmb_campaign_bonus_5_3	wh2_dlc09_tech_tmb_tomb_king_5	wh2_dlc09_tech_tmb_liche_priest_5	wh2_dlc09_tech_tmb_faction_target_5
tmb_6	wh2_dlc09_tech_tmb_campaign_bonus_6_3	wh2_dlc09_tech_tmb_tomb_king_6	wh2_dlc09_tech_tmb_tomb_prince_6	wh2_dlc09_tech_tmb_faction_target_6
tmb_7	wh2_dlc09_tech_tmb_legions_of_legend	wh2_dlc09_tech_tmb_extra_army_1	wh2_dlc09_tech_tmb_legions_of_legend	wh2_dlc09_tech_tmb_extra_army_7
