key	effect_bundle	is_removal
#campaign_operation_effect_bundles_tables;0;db/campaign_operation_effect_bundles_tables/data__		
wh3_dlc20_operation_set_champions_progress_1	wh3_dlc20_operation_set_champions_progress_1	false
wh3_dlc20_operation_set_champions_progress_2	wh3_dlc20_operation_set_champions_progress_2	false
wh3_dlc20_operation_set_champions_progress_3	wh3_dlc20_operation_set_champions_progress_3	false
wh3_dlc26_bundle_lock_recruitment_wh3_dlc26_kho_inf_skullreapers	wh3_dlc26_bundle_lock_recruitment_wh3_dlc26_kho_inf_skullreapers	false
wh3_dlc26_bundle_lock_recruitment_wh3_dlc26_kho_inf_wrathmongers	wh3_dlc26_bundle_lock_recruitment_wh3_dlc26_kho_inf_wrathmongers	false
wh3_dlc26_operation_set_kho_skull_throne_progress_1	wh3_dlc26_bundle_kho_skull_throne_progress_1	false
wh3_dlc26_operation_set_kho_skull_throne_progress_2	wh3_dlc26_bundle_kho_skull_throne_progress_2	false
wh3_dlc26_operation_set_kho_skull_throne_progress_3	wh3_dlc26_bundle_kho_skull_throne_progress_3	false
wh3_main_bundle_dae_khorne_01	wh3_main_bundle_dae_khorne_01	false
wh3_main_bundle_dae_khorne_02	wh3_main_bundle_dae_khorne_02	false
wh3_main_bundle_dae_khorne_03	wh3_main_bundle_dae_khorne_03	false
wh3_main_bundle_dae_khorne_04	wh3_main_bundle_dae_khorne_04	false
wh3_main_bundle_dae_khorne_05	wh3_main_bundle_dae_khorne_05	false
wh3_main_bundle_dae_khorne_06	wh3_main_bundle_dae_khorne_06	false
wh3_main_bundle_dae_khorne_07	wh3_main_bundle_dae_khorne_07	false
wh3_main_bundle_dae_khorne_08	wh3_main_bundle_dae_khorne_08	false
wh3_main_bundle_dae_khorne_faction_feature	wh3_main_bundle_dae_khorne_09	false
wh3_main_bundle_dae_nurgle_01	wh3_main_bundle_dae_nurgle_01	false
wh3_main_bundle_dae_nurgle_02	wh3_main_bundle_dae_nurgle_03	false
wh3_main_bundle_dae_nurgle_03	wh3_main_bundle_dae_nurgle_04	false
wh3_main_bundle_dae_nurgle_04	wh3_main_bundle_dae_nurgle_06	false
wh3_main_bundle_dae_nurgle_05	wh3_main_bundle_dae_nurgle_05	false
wh3_main_bundle_dae_nurgle_06	wh3_main_bundle_dae_nurgle_02	false
wh3_main_bundle_dae_nurgle_07	wh3_main_bundle_dae_nurgle_07	false
wh3_main_bundle_dae_nurgle_08	wh3_main_bundle_dae_nurgle_08	false
wh3_main_bundle_dae_nurgle_faction_feature	wh3_main_bundle_dae_nurgle_09	false
wh3_main_bundle_dae_slaanesh_01	wh3_main_bundle_dae_slaanesh_01	false
wh3_main_bundle_dae_slaanesh_02	wh3_main_bundle_dae_slaanesh_03	false
wh3_main_bundle_dae_slaanesh_03	wh3_main_bundle_dae_slaanesh_04	false
wh3_main_bundle_dae_slaanesh_04	wh3_main_bundle_dae_slaanesh_06	false
wh3_main_bundle_dae_slaanesh_05	wh3_main_bundle_dae_slaanesh_05	false
wh3_main_bundle_dae_slaanesh_06	wh3_main_bundle_dae_slaanesh_02	false
wh3_main_bundle_dae_slaanesh_07	wh3_main_bundle_dae_slaanesh_07	false
wh3_main_bundle_dae_slaanesh_08	wh3_main_bundle_dae_slaanesh_08	false
wh3_main_bundle_dae_slaanesh_faction_feature	wh3_main_bundle_dae_slaanesh_09	false
wh3_main_bundle_dae_tzeentch_01	wh3_main_bundle_dae_tzeentch_01	false
wh3_main_bundle_dae_tzeentch_02	wh3_main_bundle_dae_tzeentch_03	false
wh3_main_bundle_dae_tzeentch_03	wh3_main_bundle_dae_tzeentch_04	false
wh3_main_bundle_dae_tzeentch_04	wh3_main_bundle_dae_tzeentch_06	false
wh3_main_bundle_dae_tzeentch_05	wh3_main_bundle_dae_tzeentch_05	false
wh3_main_bundle_dae_tzeentch_06	wh3_main_bundle_dae_tzeentch_02	false
wh3_main_bundle_dae_tzeentch_07	wh3_main_bundle_dae_tzeentch_07	false
wh3_main_bundle_dae_tzeentch_08	wh3_main_bundle_dae_tzeentch_08	false
wh3_main_bundle_dae_tzeentch_faction_feature	wh3_main_bundle_dae_tzeentch_09	false
wh3_main_bundle_dae_undivided_01	wh3_main_bundle_dae_undivided_01	false
wh3_main_bundle_dae_undivided_02	wh3_main_bundle_dae_undivided_02	false
wh3_main_bundle_dae_undivided_03	wh3_main_bundle_dae_undivided_03	false
