campaign_group	ingredient
#campaign_group_cooking_ingredients_tables;0;db/campaign_group_cooking_ingredients_tables/data__	
wh2_dlc15_feature_grom	wh2_dlc15_ale
wh2_dlc15_feature_grom	wh2_dlc15_bat
wh2_dlc15_feature_grom	wh2_dlc15_boar
wh2_dlc15_feature_grom	wh2_dlc15_clams
wh2_dlc15_feature_grom	wh2_dlc15_crab
wh2_dlc15_feature_grom	wh2_dlc15_discharge
wh2_dlc15_feature_grom	wh2_dlc15_dragon
wh2_dlc15_feature_grom	wh2_dlc15_eagle
wh2_dlc15_feature_grom	wh2_dlc15_ectoplasm
wh2_dlc15_feature_grom	wh2_dlc15_glowing
wh2_dlc15_feature_grom	wh2_dlc15_goblin
wh2_dlc15_feature_grom	wh2_dlc15_gold_fish
wh2_dlc15_feature_grom	wh2_dlc15_green
wh2_dlc15_feature_grom	wh2_dlc15_harpy
wh2_dlc15_feature_grom	wh2_dlc15_indigo
wh2_dlc15_feature_grom	wh2_dlc15_lion
wh2_dlc15_feature_grom	wh2_dlc15_lizard
wh2_dlc15_feature_grom	wh2_dlc15_milk
wh2_dlc15_feature_grom	wh2_dlc15_pepper
wh2_dlc15_feature_grom	wh2_dlc15_phoenix
wh2_dlc15_feature_grom	wh2_dlc15_puffer_fish
wh2_dlc15_feature_grom	wh2_dlc15_stinky
wh2_dlc15_feature_grom	wh2_dlc15_tentacle
wh2_dlc15_feature_grom	wh2_dlc15_troll
wh2_dlc15_feature_grom	wh2_dlc15_yolk
wh3_dlc24_ksl_daughters_of_the_forest	wh3_dlc24_ingredient_bones_nehekharan_spine
wh3_dlc24_ksl_daughters_of_the_forest	wh3_dlc24_ingredient_bones_rotting_clavicle
wh3_dlc24_ksl_daughters_of_the_forest	wh3_dlc24_ingredient_bones_well_gnawed_bone
wh3_dlc24_ksl_daughters_of_the_forest	wh3_dlc24_ingredient_horns_dawi_zharr_horn
wh3_dlc24_ksl_daughters_of_the_forest	wh3_dlc24_ingredient_horns_gor_horn
wh3_dlc24_ksl_daughters_of_the_forest	wh3_dlc24_ingredient_horns_horned_one_trophy
wh3_dlc24_ksl_daughters_of_the_forest	wh3_dlc24_ingredient_skulls_daemon_skull
wh3_dlc24_ksl_daughters_of_the_forest	wh3_dlc24_ingredient_skulls_elven_skull
wh3_dlc24_ksl_daughters_of_the_forest	wh3_dlc24_ingredient_skulls_marauder_skull
wh3_dlc24_ksl_daughters_of_the_forest	wh3_dlc24_ingredient_stone_brynduraz
wh3_dlc24_ksl_daughters_of_the_forest	wh3_dlc24_ingredient_stone_stone_dog_ornament
wh3_dlc24_ksl_daughters_of_the_forest	wh3_dlc24_ingredient_stone_warpstone_fragment
wh3_dlc24_ksl_daughters_of_the_forest	wh3_dlc24_ingredient_teeth_cold_ones_fang
wh3_dlc24_ksl_daughters_of_the_forest	wh3_dlc24_ingredient_teeth_incisor_of_man
wh3_dlc24_ksl_daughters_of_the_forest	wh3_dlc24_ingredient_teeth_orc_molar
wh3_dlc24_ksl_daughters_of_the_forest	wh3_dlc24_ingredient_wood_bark_of_ages
wh3_dlc24_ksl_daughters_of_the_forest	wh3_dlc24_ingredient_wood_branch_of_arden
wh3_dlc24_ksl_daughters_of_the_forest	wh3_dlc24_ingredient_wood_ursun_totem
