key	display_model	impact	launch_fx	trail_fx	stationary_fx	airborne_anim	landing_anim	tip_offset	trail_spin	launch_camera_shake	impact_bounce	impact_penetrate	impact_blood	impact_bounce_blood	impact_penetrate_blood	mirroring_start	mirroring_trail	scale
#projectile_displays_tables;12;db/projectile_displays_tables/data__																		
animal_carcass								0.0000	false									1.0000
animal_carcass_debris								0.0000	false									1.0000
arrow_barbarian								0.0000	false		wh3_main_arrow_bounce					wh3_main_yin_missile_mirror_impact_small	wh3_main_spell_yin_missile_mirror_trail_small	1.0000
boiling_oil								0.0000	false									1.0000
bolt								0.0000	false									1.0000
bolt_flammable								0.0000	false									1.0000
bolt_large								0.0000	false									1.0000
bolt_large_flammable								0.0000	false									1.0000
default_explosive								0.0000	false									1.0000
default_flaming								0.0000	false									1.0000
default_poison								0.0000	false									1.0000
default_standard								0.0000	false									1.0000
default_whistling								0.0000	false									1.0000
explosive_pot								0.0000	false									1.0000
explosive_pot_large								0.0000	false									1.0000
fireball								0.0000	false									1.0000
harpax								0.0000	false									1.0000
javelin								0.0000	false									1.0000
javelin_fire								0.0000	false									1.0000
pilum								0.0000	false									1.0000
rock								0.0000	false									1.0000
rock_flammable								0.0000	false									1.0000
rock_fragment								0.0000	false									1.0000
rock_large								0.0000	false									1.0000
rock_large_flammable								0.0000	false									1.0000
sling_shot								0.0000	false									1.0000
stone								0.0000	false									1.0000
stone_brick_large								0.0000	false									1.0000
stone_brick_small								0.0000	false									1.0000
stone_flammable								0.0000	false									1.0000
stone_large								0.0000	false									1.0000
stone_large_flammable								0.0000	false									1.0000
wh2_chs_chaos_dragon_breath		wh2_main_chaos_dragon_breath_impact	wh2_main_chaos_dragon_breath_muzzle	wh2_main_chaos_dragon_breath_trail				0.0000	false							wh3_main_yin_missile_mirror_impact_medium	wh3_main_spell_yin_missile_mirror_trail_medium	1.0000
wh2_def_black_dragon_breath		wh2_main_black_dragon_breath_impact	wh2_main_black_dragon_breath_muzzle	wh2_main_black_dragon_breath_trail				0.0000	false							wh3_main_yin_missile_mirror_impact_medium	wh3_main_spell_yin_missile_mirror_trail_medium	1.0000
wh2_def_hydra_dragon_breath		wh2_main_hydra_dragon_breath_impact	wh2_main_hydra_breath_muzzle	wh2_main_hydra_breath_trail				0.0000	false							wh3_main_yin_missile_mirror_impact_medium	wh3_main_spell_yin_missile_mirror_trail_medium	1.0000
wh2_dlc09_abilities_venom_staff				wh2_dlc09_abilities_venom_staff_trail				0.0000	false		wh_main_bounce_impact	wh_main_entity_impact				wh3_main_yin_missile_mirror_impact_medium	wh3_main_spell_yin_missile_mirror_trail_medium	1.0000
wh2_dlc09_abilities_venom_staff_mini				wh2_dlc09_abilities_venom_staff_shrapnel_trail				0.0000	false		wh_main_bounce_impact	wh_main_entity_impact				wh3_main_yin_missile_mirror_impact_medium	wh3_main_spell_yin_missile_mirror_trail_medium	1.0000
wh2_dlc09_casket_of_souls_projectile		wh2_dlc09_casket_of_souls		wh2_dlc09_machine_casket_of_souls_trail				0.0000	false	wh_main_unit_launch_light	wh2_dlc09_casket_of_souls	wh2_dlc09_casket_of_souls				wh3_main_yin_missile_mirror_impact_medium	wh3_main_spell_yin_missile_mirror_trail_medium	1.0000
wh2_dlc09_tmb_arrow	projectiles\tmb_arrow_01.rigid_model_v2	arrow		wh_main_weapon_trail_arrow_small				-0.0500	false		wh3_main_arrow_bounce	wh_main_entity_impact				wh3_main_yin_missile_mirror_impact_small	wh3_main_spell_yin_missile_mirror_trail_small	1.0000
wh2_dlc09_tmb_skull_projectile	projectiles\wh2_dlc09_tmb_screaming_skull_catapult_skull_large.wsmodel	wh2_dlc09_screaming_skull_impact_large		wh2_dlc09_lib_machine_screaming_skull_catapult_large_trail				0.0000	false		wh_main_impact_very_large	wh_main_impact_very_large				wh3_main_yin_missile_mirror_impact_medium	wh3_main_spell_yin_missile_mirror_trail_medium	1.0000
