key	sound_event_battle_start	sound_event_battle_stop	sound_event_campaign_start	sound_event_campaign_stop	limitation_scale	entity_type_switch	melee_hit_category	melee_hit_type_override	rtpc_1_name	rtpc_1_assignment	rtpc_2_name	rtpc_2_assignment	scaled_sound_upsize	scaled_max_delay	scaled_sound_next	doppler_rtpc_name	max_probability	min_probability	is_vocalisation	play_at_bone	play_at_position	play_at_base	require_ground_type_limited	require_ground_type	require_armour_type	require_melee_weapon_type	require_shield_type	triggers_blood	is_tracked	require_reverb	require_obstruction	can_play_under_splice	ignore_if_headless	play_on_looping_sound	cinematic_only	requires_cinematic	flip_direction	blood_enabled_only	use_limitation_type_override	limitation_type_override	culling_distance_override	ignore_alpha_check	override_vo	looping_sound_mapping	is_persistent_loop	require_modular_ability_switch	require_secondary_melee_switch	default_vmd_slot_name	use_character_idle_switch	additional_actor_id	is_persistent_one_shot	persistent_one_shot_duration_override
#audio_metadata_tags_tables;21;db/audio_metadata_tags_tables/data__																																																				
1k_Test_Pip	_TEST_1K_PIP				0.5000								0	0.0000			100.0000	100.0000	true	false	false	false	false	false	false	false	false	false	true	false	false	true	false	false	false	false	false	false	false	Lord_Hero	110.0000	false	false		false	false	false		false		false	0.0000
Ability_DLC17_Troglodon_Primeval_Roar_Rumble	IND_Magic_DLC17_Troglodon_Primeval_Roar_Rumble_Start	IND_Magic_DLC17_Troglodon_Primeval_Roar_Rumble_Stop			1.0000								0	0.0000			100.0000	100.0000	false	true	false	true	false	false	false	false	false	false	true	true	false	true	true	false	false	false	false	false	false	Lord_Hero	350.0000	false	false		false	false	false		false		false	0.0000
Blood_Spray	Battle_Individual_Melee_Weapon_Blood		Campaign_Individual_Melee_Weapon_Blood		0.0500								0	0.0000			50.0000	0.0000	false	false	false	true	false	false	false	false	false	false	false	false	false	true	false	false	false	false	false	true	false	Lord_Hero	40.0000	false	false		false	false	false		false		false	0.0000
BodyFall_FlyingAttack_DLC17_Coatl	Battle_Individual_BodyFall_DLC17_FlyAttack_Coatl				0.5000								0	0.0000			100.0000	100.0000	false	false	false	true	true	false	false	false	false	false	true	true	false	true	false	false	false	false	false	false	false	large	150.0000	false	false		false	false	false		false		false	0.0000
Bodyfall_Body_Drag_Small	Battle_Individual_Bodyfall_Body_Drag_Small		Campaign_Individual_Bodyfall_Body_Drag_Small		0.0000								0	0.0000			100.0000	100.0000	false	false	false	true	true	false	false	false	false	false	false	true	false	true	false	false	false	false	false	false	false	Lord_Hero	80.0000	false	false		false	false	false		false		false	0.0000
Bodyfall_Heavy_Ariel	Battle_Individual_Bodyfall_Heavy_Ariel		Campaign_Individual_Bodyfall_Heavy_Ariel		1.0000								0	0.0000			100.0000	100.0000	false	false	false	true	true	false	false	false	false	false	true	false	false	true	false	false	false	false	false	false	false	Lord_Hero	110.0000	false	false		false	false	false		false		false	0.0000
Bodyfall_Heavy_Astragoth	Battle_Individual_Bodyfall_Astragoth_Heavy		Campaign_Individual_Bodyfall_Heavy_Humanoid		1.0000								0	0.0000			100.0000	100.0000	false	false	false	true	true	false	false	false	false	false	true	false	false	true	false	false	false	false	false	false	false	Lord_Hero	80.0000	false	false		false	false	false		false		false	0.0000
Bodyfall_Heavy_Azazel	Battle_Individual_Bodyfall_Heavy_Azazel		Campaign_Individual_Bodyfall_Heavy_Azazel		1.0000								0	0.0000			100.0000	100.0000	false	false	false	true	true	false	false	false	false	false	true	false	false	true	false	false	false	false	false	false	false	Lord_Hero	80.0000	false	false		false	false	false		false		false	0.0000
Bodyfall_Heavy_Bale_Taurus	Battle_Individual_Bodyfall_Bale_Taurus_Heavy		Campaign_Individual_Bodyfall_Bale_Taurus_Heavy		0.5000								0	0.0000			100.0000	100.0000	false	false	false	true	true	false	false	false	false	false	true	true	false	true	false	false	false	false	false	false	false	large	150.0000	false	false		false	false	false		false		false	0.0000
