key	armory_item	is_removal
#campaign_operation_armory_items_tables;0;db/campaign_operation_armory_items_tables/data__		
wh3_main_dae_cha_daemon_prince_arm_l_armoured_1	wh3_main_dae_cha_daemon_prince_arm_l_armoured_1	false
wh3_main_dae_cha_daemon_prince_arm_l_armoured_2	wh3_main_dae_cha_daemon_prince_arm_l_armoured_2	false
wh3_main_dae_cha_daemon_prince_arm_l_armoured_3	wh3_main_dae_cha_daemon_prince_arm_l_armoured_3	false
wh3_main_dae_cha_daemon_prince_arm_l_armoured_4	wh3_main_dae_cha_daemon_prince_arm_l_armoured_4	false
wh3_main_dae_cha_daemon_prince_arm_l_armoured_5	wh3_main_dae_cha_daemon_prince_arm_l_armoured_5	false
wh3_main_dae_cha_daemon_prince_arm_l_armoured_6	wh3_main_dae_cha_daemon_prince_arm_l_armoured_6	false
wh3_main_dae_cha_daemon_prince_arm_l_base_2	wh3_main_dae_cha_daemon_prince_arm_l_base_2	false
wh3_main_dae_cha_daemon_prince_arm_l_base_3	wh3_main_dae_cha_daemon_prince_arm_l_base_3	false
wh3_main_dae_cha_daemon_prince_arm_l_base_4	wh3_main_dae_cha_daemon_prince_arm_l_base_4	false
wh3_main_dae_cha_daemon_prince_arm_l_base_5	wh3_main_dae_cha_daemon_prince_arm_l_base_5	false
wh3_main_dae_cha_daemon_prince_arm_l_base_6	wh3_main_dae_cha_daemon_prince_arm_l_base_6	false
wh3_main_dae_cha_daemon_prince_arm_l_bird_1	wh3_main_dae_cha_daemon_prince_arm_l_bird_1	false
wh3_main_dae_cha_daemon_prince_arm_l_bird_2	wh3_main_dae_cha_daemon_prince_arm_l_bird_2	false
wh3_main_dae_cha_daemon_prince_arm_l_bird_3	wh3_main_dae_cha_daemon_prince_arm_l_bird_3	false
wh3_main_dae_cha_daemon_prince_arm_l_bird_4	wh3_main_dae_cha_daemon_prince_arm_l_bird_4	false
wh3_main_dae_cha_daemon_prince_arm_l_bird_5	wh3_main_dae_cha_daemon_prince_arm_l_bird_5	false
wh3_main_dae_cha_daemon_prince_arm_l_bird_6	wh3_main_dae_cha_daemon_prince_arm_l_bird_6	false
wh3_main_dae_cha_daemon_prince_arm_l_corpulent_1	wh3_main_dae_cha_daemon_prince_arm_l_corpulent_1	false
wh3_main_dae_cha_daemon_prince_arm_l_corpulent_2	wh3_main_dae_cha_daemon_prince_arm_l_corpulent_2	false
