army_name	ai_army_tactic	approach_angle	army_emblem	army_model	deployment_zone_id	faction	is_allied_to_player	is_reinforcement_army	is_frontend_player_army	use_default_deployment_zones	is_hidden_army	should_merge_army	reinforcement_is_support	override_uniform_colours	uniform_colour_primary_override	uniform_colour_secondary_override	uniform_colour_tertiary_override	override_banner_colours	banner_colour_primary_override	banner_colour_secondary_override	banner_colour_tertiary_override	flag_path	is_primary_army
#battle_set_piece_armies_tables;1;db/battle_set_piece_armies_tables/data__																							
wh2_dlc09_qb_tmb_arkhan_staff_of_nagash_attacker_slaves_1		250	test_emblem_army_01	5625	0	wh2_main_skv_skaven_qb1	false	false	false	true	false	false	false	false	000000	000000	000000	false	000000	000000	000000		false
wh2_dlc09_qb_tmb_arkhan_staff_of_nagash_attacker_slaves_2		250	test_emblem_army_01	5625	0	wh2_main_skv_skaven_qb2	false	true	false	true	false	false	false	false	000000	000000	000000	false	000000	000000	000000		false
wh2_dlc09_qb_tmb_arkhan_staff_of_nagash_attacker_slaves_3		200	test_emblem_army_01	5625	0	wh2_main_skv_skaven_qb3	false	true	false	true	false	false	false	false	000000	000000	000000	false	000000	000000	000000		false
wh2_dlc09_qb_tmb_arkhan_staff_of_nagash_attacker_slaves_4		130	test_emblem_army_01	5625	0	wh2_main_skv_skaven_qb1	false	true	false	true	false	false	false	false	000000	000000	000000	false	000000	000000	000000		false
wh2_dlc09_qb_tmb_arkhan_staff_of_nagash_player_1		0	test_emblem_army_01	128243148	0	wh2_dlc09_tmb_followers_of_nagash	false	false	true	false	false	false	false	false	000000	000000	000000	false	000000	000000	000000		false
wh2_dlc09_qb_tmb_arkhan_the_tomb_blade_of_arkhan_3_mortuary_of_tzulaqua_attacker_01		0	test_emblem_army_01	853860698	0	wh2_main_lzd_lizardmen_qb1	false	false	false	false	false	false	false	false	000000	000000	000000	false	000000	000000	000000		false
wh2_dlc09_qb_tmb_arkhan_the_tomb_blade_of_arkhan_3_mortuary_of_tzulaqua_attacker_02		270	test_emblem_army_01	5584	0	wh2_main_lzd_lizardmen_qb1	false	true	false	false	true	false	false	false	000000	000000	000000	false	000000	000000	000000		false
wh2_dlc09_qb_tmb_arkhan_the_tomb_blade_of_arkhan_3_mortuary_of_tzulaqua_attacker_03		180	test_emblem_army_01	1264694346	0	wh2_main_lzd_lizardmen_qb1	false	true	false	false	true	false	false	false	000000	000000	000000	false	000000	000000	000000		false
wh2_dlc09_qb_tmb_arkhan_the_tomb_blade_of_arkhan_3_mortuary_of_tzulaqua_defender_01		0	test_emblem_army_01	128243148	0	wh2_dlc09_tmb_followers_of_nagash	false	false	true	false	false	false	false	false	000000	000000	000000	false	000000	000000	000000		false
wh2_dlc09_qb_tmb_final_battle_arkhan		340	test_emblem_army_01	128243148	2	wh2_dlc09_tmb_tombking_qb_followers_of_nagash	false	true	false	true	false	false	false	false	000000	000000	000000	false	000000	000000	000000		false
wh2_dlc09_qb_tmb_final_battle_arkhan_minions_1		0	test_emblem_army_01	1187086529	0	wh2_dlc09_tmb_tombking_qb1	false	false	false	true	false	false	false	false	000000	000000	000000	false	000000	000000	000000		false
wh2_dlc09_qb_tmb_final_battle_arkhan_minions_2		0	test_emblem_army_01	1187086529	1	wh2_dlc09_tmb_tombking_qb2	false	false	false	true	false	false	false	false	000000	000000	000000	false	000000	000000	000000		false
wh2_dlc09_qb_tmb_final_battle_arkhan_minions_3		90	test_emblem_army_01	3515	0	wh_main_vmp_vampire_counts_qb1	false	true	false	true	true	false	false	false	000000	000000	000000	false	000000	000000	000000		false
wh2_dlc09_qb_tmb_final_battle_arkhan_minions_4		270	test_emblem_army_01	3515	0	wh_main_vmp_vampire_counts_qb2	false	true	false	true	true	false	false	false	000000	000000	000000	false	000000	000000	000000		false
wh2_dlc09_qb_tmb_final_battle_fon_arkhan_player	FALSE	0	test_emblem_army_01	128243148	0	wh2_dlc09_tmb_followers_of_nagash	false	false	true	true	false	false	false	false	000000	000000	000000	false	000000	000000	000000		false
wh2_dlc09_qb_tmb_final_battle_fon_arkhan_reinforcement_1		0	test_emblem_army_01	128243148	1	wh2_dlc09_tmb_followers_of_nagash	true	true	false	true	false	true	false	false	000000	000000	000000	false	000000	000000	000000		false
wh2_dlc09_qb_tmb_final_battle_fon_arkhan_reinforcement_2		0	test_emblem_army_01	128243148	2	wh2_dlc09_tmb_followers_of_nagash	true	true	false	true	false	true	false	false	000000	000000	000000	false	000000	000000	000000		false
wh2_dlc09_qb_tmb_final_battle_fon_khalida_1		90	test_emblem_army_01	942038784	0	wh2_dlc09_tmb_tombking_qb_lybaras	false	true	false	true	false	false	false	false	000000	000000	000000	false	000000	000000	000000		false
wh2_dlc09_qb_tmb_final_battle_fon_khalida_2		270	test_emblem_army_01	942038784	0	wh2_dlc09_tmb_tombking_qb1	false	true	false	true	false	false	false	false	000000	000000	000000	false	000000	000000	000000		false
wh2_dlc09_qb_tmb_final_battle_fon_khatep		180	test_emblem_army_01	242444387	0	wh2_dlc09_tmb_tombking_qb_exiles_of_nehek	false	false	false	true	false	false	false	false	000000	000000	000000	false	000000	000000	000000		false
wh2_dlc09_qb_tmb_final_battle_fon_settra		180	test_emblem_army_01	1034628616	0	wh2_dlc09_tmb_tombking_qb_khemri	false	true	false	true	false	false	false	false	000000	000000	000000	false	000000	000000	000000		false
wh2_dlc09_qb_tmb_final_battle_khalida_1		0	test_emblem_army_01	942038784	1	wh2_dlc09_tmb_tombking_qb_lybaras	true	false	false	true	false	false	false	false	000000	000000	000000	false	000000	000000	000000		false
wh2_dlc09_qb_tmb_final_battle_khalida_player		0	test_emblem_army_01	942038784	0	wh2_dlc09_tmb_lybaras	false	false	true	true	false	false	false	false	000000	000000	000000	false	000000	000000	000000		false
wh2_dlc09_qb_tmb_final_battle_khatep_2		0	test_emblem_army_01	242444387	2	wh2_dlc09_tmb_tombking_qb_exiles_of_nehek	true	false	false	true	false	false	false	false	000000	000000	000000	false	000000	000000	000000		false
