path	file_path
#battlefield_building_icon_paths_tables;1;db/battlefield_building_icon_paths_tables/data__	
barricade_blocker	UI/skins/default/battle_building_icons/barricade_blocker.png
barricade_gate	UI/skins/default/battle_building_icons/barricade_gate.png
barricade_monument	UI/skins/default/battle_building_icons/barricade_monument.png
barricade_platform	UI/skins/default/battle_building_icons/barricade_platform.png
barricade_trap	UI/skins/default/battle_building_icons/barricade_trap.png
barricade_weapon	UI/skins/default/battle_building_icons/barricade_weapon.png
tower_anti_large	UI/skins/default/battle_building_icons/tower_anti_large.png
tower_anti_large_01	UI/skins/default/battle_building_icons/tower_anti_large_1.png
tower_anti_large_02	UI/skins/default/battle_building_icons/tower_anti_large_2.png
tower_anti_large_03	UI/skins/default/battle_building_icons/tower_anti_large_3.png
tower_anti_large_04	UI/skins/default/battle_building_icons/tower_anti_large_4.png
tower_anti_small	UI/skins/default/battle_building_icons/tower_anti_small.png
tower_anti_small_01	UI/skins/default/battle_building_icons/tower_anti_small_1.png
tower_anti_small_02	UI/skins/default/battle_building_icons/tower_anti_small_2.png
tower_anti_small_03	UI/skins/default/battle_building_icons/tower_anti_small_3.png
tower_anti_small_04	UI/skins/default/battle_building_icons/tower_anti_small_4.png
tower_arrow	UI/skins/default/battle_building_icons/tower_arrow.png
tower_arrow_01	UI/skins/default/battle_building_icons/tower_arrow_1.png
tower_arrow_02	UI/skins/default/battle_building_icons/tower_arrow_2.png
tower_arrow_03	UI/skins/default/battle_building_icons/tower_arrow_3.png
tower_arrow_04	UI/skins/default/battle_building_icons/tower_arrow_4.png
tower_cannon	UI/skins/default/battle_building_icons/tower_cannon.png
tower_cannon_01	UI/skins/default/battle_building_icons/tower_cannon_1.png
tower_cannon_02	UI/skins/default/battle_building_icons/tower_cannon_2.png
tower_cannon_03	UI/skins/default/battle_building_icons/tower_cannon_3.png
tower_cannon_04	UI/skins/default/battle_building_icons/tower_cannon_4.png
tower_catapult	UI/skins/default/battle_building_icons/tower_catapult.png
tower_catapult_01	UI/skins/default/battle_building_icons/tower_catapult_1.png
tower_catapult_02	UI/skins/default/battle_building_icons/tower_catapult_2.png
tower_catapult_03	UI/skins/default/battle_building_icons/tower_catapult_3.png
tower_catapult_04	UI/skins/default/battle_building_icons/tower_catapult_4.png
tower_explosive	UI/skins/default/battle_building_icons/tower_explosive.png
tower_explosive_01	UI/skins/default/battle_building_icons/tower_explosive_1.png
tower_explosive_02	UI/skins/default/battle_building_icons/tower_explosive_2.png
tower_explosive_03	UI/skins/default/battle_building_icons/tower_explosive_3.png
tower_explosive_04	UI/skins/default/battle_building_icons/tower_explosive_4.png
tower_magic	UI/skins/default/battle_building_icons/tower_magic.png
tower_magic_01	UI/skins/default/battle_building_icons/tower_magic_1.png
tower_magic_02	UI/skins/default/battle_building_icons/tower_magic_2.png
tower_magic_03	UI/skins/default/battle_building_icons/tower_magic_3.png
tower_magic_04	UI/skins/default/battle_building_icons/tower_magic_4.png
tower_piercing	UI/skins/default/battle_building_icons/tower_piercing.png
tower_piercing_01	UI/skins/default/battle_building_icons/tower_piercing_1.png
tower_piercing_02	UI/skins/default/battle_building_icons/tower_piercing_2.png
tower_piercing_03	UI/skins/default/battle_building_icons/tower_piercing_3.png
tower_piercing_04	UI/skins/default/battle_building_icons/tower_piercing_4.png
