faction	region	tag	campaign
#start_pos_entity_association_faction_regions_tables;0;db/start_pos_entity_association_faction_regions_tables/data__			
wh2_dlc13_emp_golden_order	wh3_main_combi_region_fort_soll	elector_region	wh3_main_combi
wh2_dlc13_emp_golden_order	wh3_main_combi_region_pfeildorf	elector_capital	wh3_main_combi
wh2_dlc13_emp_golden_order	wh3_main_combi_region_steingart	elector_region	wh3_main_combi
wh2_dlc17_nor_deadwood_ravagers	wh3_main_combi_region_black_rock	gift_region_to_norscan_faction_homeland	wh3_main_combi
wh2_dlc17_nor_deadwood_ravagers	wh3_main_combi_region_blood_mountain	gift_region_to_norscan_faction_homeland	wh3_main_combi
wh2_dlc17_nor_deadwood_ravagers	wh3_main_combi_region_cliff_of_beasts	gift_region_to_norscan_faction_homeland	wh3_main_combi
wh2_dlc17_nor_deadwood_ravagers	wh3_main_combi_region_infernius	gift_region_to_norscan_faction_homeland	wh3_main_combi
wh2_dlc17_nor_deadwood_ravagers	wh3_main_combi_region_palace_of_princes	gift_region_to_norscan_faction_homeland	wh3_main_combi
wh2_dlc17_nor_deadwood_ravagers	wh3_main_combi_region_the_blighted_grove	gift_region_to_norscan_faction_homeland	wh3_main_combi
wh2_dlc17_nor_deadwood_ravagers	wh3_main_combi_region_the_fetid_catacombs	gift_region_to_norscan_faction_homeland	wh3_main_combi
wh2_dlc17_nor_deadwood_ravagers	wh3_main_combi_region_the_folly_of_malofex	gift_region_to_norscan_faction_homeland	wh3_main_combi
wh2_dlc17_nor_deadwood_ravagers	wh3_main_combi_region_the_silvered_tower_of_sorcerers	gift_region_to_norscan_faction_homeland	wh3_main_combi
wh2_dlc17_nor_deadwood_ravagers	wh3_main_combi_region_the_twisted_towers	norscan_homeland	wh3_main_combi
wh2_main_nor_aghol	wh3_main_chaos_region_city_of_splinters	norscan_homeland	wh3_main_chaos
wh2_main_nor_aghol	wh3_main_chaos_region_dharko_wharf	gift_region_to_norscan_faction_homeland	wh3_main_chaos
wh2_main_nor_aghol	wh3_main_chaos_region_fort_dolganyeir	gift_region_to_norscan_faction_homeland	wh3_main_chaos
wh2_main_nor_aghol	wh3_main_chaos_region_glut_port	gift_region_to_norscan_faction_homeland	wh3_main_chaos
wh2_main_nor_aghol	wh3_main_chaos_region_karak_dum	gift_region_to_norscan_faction_homeland	wh3_main_chaos
wh2_main_nor_aghol	wh3_main_chaos_region_stormvrack_mount	gift_region_to_norscan_faction_homeland	wh3_main_chaos
wh2_main_nor_aghol	wh3_main_chaos_region_the_sunken_sewers	gift_region_to_norscan_faction_homeland	wh3_main_chaos
wh2_main_nor_aghol	wh3_main_chaos_region_zamoski	gift_region_to_norscan_faction_homeland	wh3_main_chaos
wh2_main_nor_aghol	wh3_main_combi_region_dargoth	gift_region_to_norscan_faction_homeland	wh3_main_combi
wh2_main_nor_aghol	wh3_main_combi_region_fortress_of_the_damned	norscan_homeland	wh3_main_combi
wh2_main_nor_aghol	wh3_main_combi_region_nagrar	gift_region_to_norscan_faction_homeland	wh3_main_combi
wh2_main_nor_aghol	wh3_main_combi_region_shagrath	gift_region_to_norscan_faction_homeland	wh3_main_combi
wh2_main_nor_aghol	wh3_main_combi_region_shard_bastion	gift_region_to_norscan_faction_homeland	wh3_main_combi
wh2_main_nor_aghol	wh3_main_combi_region_the_frozen_city	gift_region_to_norscan_faction_homeland	wh3_main_combi
wh2_main_nor_mung	wh3_dlc20_combi_region_glacial_gardens	gift_region_to_norscan_faction_homeland	wh3_main_combi
wh2_main_nor_mung	wh3_dlc20_combi_region_glacier_encampment	gift_region_to_norscan_faction_homeland	wh3_main_combi
wh2_main_nor_mung	wh3_main_combi_region_dagraks_end	norscan_homeland	wh3_main_combi
wh2_main_nor_mung	wh3_main_combi_region_ironfrost	gift_region_to_norscan_faction_homeland	wh3_main_combi
wh2_main_nor_mung	wh3_main_combi_region_the_palace_of_ruin	gift_region_to_norscan_faction_homeland	wh3_main_combi
wh2_main_nor_skeggi	wh3_main_combi_region_port_reaver	gift_region_to_norscan_faction_homeland	wh3_main_combi
wh2_main_nor_skeggi	wh3_main_combi_region_skeggi	norscan_homeland	wh3_main_combi
wh2_main_nor_skeggi	wh3_main_combi_region_ziggurat_of_dawn	gift_region_to_norscan_faction_homeland	wh3_main_combi
wh3_dlc20_nor_dolgan	wh3_dlc20_combi_region_dragons_death	gift_region_to_norscan_faction_homeland	wh3_main_combi
