recharge_context	special_ability
#special_ability_to_recharge_contexts_tables;0;db/special_ability_to_recharge_contexts_tables/data__	
engaged_in_melee	wh2_dlc09_weapon_abilities_tomb_blade_of_arkhan
engaged_in_melee	wh2_dlc10_lord_abilities_red_ruin
engaged_in_melee	wh2_dlc10_lord_passive_blood_frenzy
health_below_50%	wh2_dlc10_quest_passive_mother_of_flame
engaged_in_melee	wh2_dlc10_quest_passive_the_primal_rampage_hidden
engaged_in_melee	wh2_dlc10_quest_passive_the_primal_rampage
engaged_in_melee	wh2_dlc10_quest_passive_the_rats_overwhelm
losing_melee_combat	wh2_dlc10_unit_passive_the_trial_of_blades
engaged_in_melee	wh2_dlc10_weapon_abilities_sword_of_khaine
engaged_in_melee_anything	wh2_dlc11_unit_passive_gaseous_demise
flying_currently	wh2_dlc12_lord_abilities_master_of_the_skies
engaged_in_melee	wh2_dlc12_lord_passive_overload
engaged_in_melee	wh2_dlc12_lord_passive_warpstone_detonation
have_ammo_below_threshold	wh2_dlc12_unit_passive_endless_drum
engaged_in_melee	wh2_dlc12_unit_passive_thunderous_one
engaged_in_melee	wh2_dlc13_lord_abilities_rock_of_itza
engaged_in_melee	wh2_dlc15_item_abilities_blood_forged_armour
engaged_in_melee	wh2_dlc15_lord_passive_mistwalkers_barrage
engaged_in_melee	wh2_dlc15_quest_passive_blood_frenzy
engaged_in_melee	wh2_dlc15_unit_abilities_mimic_murderous_prowess
out_of_melee	wh2_dlc15_unit_passive_giant_explodin_spores
engaged_in_melee	wh2_dlc15_unit_passive_mimic_bloodgreed
engaged_in_melee_anything	wh2_dlc16_unit_passive_instability_4
engaged_in_melee	wh2_dlc16_unit_passive_warp_discharge
engaged_in_melee	wh2_dlc17_lord_abilities_brass_body
engaged_in_melee	wh2_dlc17_lord_passive_master_of_the_ancient_lore
engaged_in_melee	wh2_dlc17_spell_bound_urannons_thunderbolt_upgraded
engaged_in_melee	wh2_dlc17_unit_abilities_primeval_roar
engaged_in_melee	wh2_dlc17_unit_passive_searing_bile_blood
engaged_in_melee	wh2_dlc17_unit_passive_spurting_bile_blood
engaged_in_melee	wh2_dlc17_weapon_passive_rune_tortured_axes
health_below_50%_base	wh2_main_unit_passive_another_takes_its_place
out_of_melee	wh2_main_weapon_abilities_bow_of_the_seafarer
engaged_in_melee	wh2_main_weapon_abilities_sunfang
engaged_in_melee	wh3_dlc20_unit_passive_murderous_charge
have_ammo_below_threshold	wh3_dlc23_unit_passive_extra_reload
engaged_in_melee	wh3_dlc24_item_passive_sentient_stormcloud
engaged_in_melee	wh3_dlc24_unit_passive_predatory_fighter
engaged_in_melee	wh3_dlc24_unit_passive_tides_of_transformation
engaged_in_melee	wh3_main_banner_abilities_banner_of_hellfire
engaged_in_melee	wh3_main_character_abilities_extra_ingredients
engaged_in_melee	wh3_main_character_abilities_gate_of_khorne
health_below_75%	wh3_main_character_abilities_gate_of_nurgle
engaged_in_melee	wh3_main_character_abilities_gate_of_slaanesh
mana_equal_or_above_value_15	wh3_main_character_abilities_gate_of_tzeentch
engaged_in_melee	wh3_main_character_abilities_greater_gate_of_khorne
health_below_50%	wh3_main_character_abilities_greater_gate_of_nurgle
engaged_in_melee	wh3_main_character_abilities_greater_gate_of_slaanesh
mana_equal_or_above_value_15	wh3_main_character_abilities_greater_gate_of_tzeentch
engaged_in_melee	wh3_main_item_passive_crystal_of_kunlan
engaged_in_melee	wh3_main_unit_passive_cloud_of_flies
health_below_25%	wh3_main_unit_passive_single_entity
engaged_in_melee	wh3_main_unit_passive_skullfeast
engaged_in_melee	wh3_main_weapon_abilities_axe_of_tor
engaged_in_melee	wh3_main_weapon_abilities_ursuns_claws
engaged_in_melee	wh3_twa06_unit_passive_gloom_of_flies
engaged_in_melee	wh3_twa07_unit_abilities_searing_torrent
engaged_in_melee	wh_dlc01_weapon_abilities_sword_of_change
mana_equal_or_above_value_15	wh_dlc01_weapon_abilities_sword_of_change
engaged_in_melee	wh_dlc03_item_abilities_horn_of_the_first_beast
engaged_in_melee	wh_dlc03_item_abilities_jagged_dagger
engaged_in_melee	wh_dlc03_weapon_abilities_axe_of_men
losing_melee_combat	wh_dlc04_unit_passive_strength_of_the_penitent
cannot_find_enemies_in_intercept_range	wh_dlc06_quest_passive_inquisitor_of_sigmar
engaged_in_melee	wh_dlc06_unit_passive_opportunist_murderer
engaged_in_melee	wh_dlc08_quest_passive_exploding_fart
engaged_in_melee	wh_dlc08_weapon_abilities_stinky_giant_club
engaged_in_melee	wh_main_character_abilities_waaagh
engaged_in_melee	wh_main_item_abilities_pendant_of_slaanesh
engaged_in_melee	wh_main_spell_bound_chain_lightning_ror
engaged_in_melee	wh_main_weapon_abilities_filth_mace
engaged_in_melee	wh_main_weapon_abilities_the_hammer_of_karak_drazh
engaged_in_melee	wh_main_weapon_passive_sword_of_unholy_power
