building_category	projectile	name
#battlefield_buildings_with_projectiles_names_tables;0;db/battlefield_buildings_with_projectiles_names_tables/data__		
fort_tower	wh3_main_brt_settlement_tower_1_arrow	fort_tower
fort_tower	wh3_main_brt_settlement_tower_2_arrow_improved	fort_tower
fort_tower	wh3_main_brt_settlement_tower_3_blessed_stone	fort_tower
fort_tower	wh3_main_brt_settlement_tower_4_carcass	fort_tower
fort_tower	wh3_main_def_settlement_tower_1_bolt	fort_tower
fort_tower	wh3_main_def_settlement_tower_2_bolt_improved	fort_tower
fort_tower	wh3_main_def_settlement_tower_3_magic_missile	fort_tower
fort_tower	wh3_main_def_settlement_tower_4_magic_missile_improved	fort_tower
fort_tower	wh3_main_dwf_settlement_tower_1_bullet	fort_tower
fort_tower	wh3_main_dwf_settlement_tower_2_bullet_improved	fort_tower
fort_tower	wh3_main_dwf_settlement_tower_3_cannon_ball	fort_tower
fort_tower	wh3_main_dwf_settlement_tower_4_fused_beer_keg	fort_tower
fort_tower	wh3_main_emp_settlement_tower_1_bullet	fort_tower
fort_tower	wh3_main_emp_settlement_tower_2_bullet_improved	fort_tower
fort_tower	wh3_main_emp_settlement_tower_3_cannon_ball	fort_tower
fort_tower	wh3_main_emp_settlement_tower_4_clockwork_bomb	fort_tower
fort_tower	wh3_main_grn_settlement_tower_1_arrow	fort_tower
fort_tower	wh3_main_grn_settlement_tower_2_arrow_improved	fort_tower
fort_tower	wh3_main_grn_settlement_tower_3_giant_dungball	fort_tower
fort_tower	wh3_main_grn_settlement_tower_4_rock_idol	fort_tower
fort_tower	wh3_main_hef_settlement_tower_1_bolt	fort_tower
fort_tower	wh3_main_hef_settlement_tower_2_bolt_improved	fort_tower
fort_tower	wh3_main_hef_settlement_tower_3_magic_missile	fort_tower
fort_tower	wh3_main_hef_settlement_tower_4_magic_missile_improved	fort_tower
fort_tower	wh3_main_ksl_settlement_tower_1_crossbow	fort_tower
fort_tower	wh3_main_ksl_settlement_tower_2_crossbow_improved	fort_tower
fort_tower	wh3_main_ksl_settlement_tower_3_lightning	fort_tower
fort_tower	wh3_main_ksl_settlement_tower_4_ice_shard	fort_tower
fort_tower	wh3_main_lzd_settlement_tower_1_bolt	fort_tower
fort_tower	wh3_main_lzd_settlement_tower_2_bolt_improved	fort_tower
fort_tower	wh3_main_lzd_settlement_tower_3_magic_missile	fort_tower
fort_tower	wh3_main_lzd_settlement_tower_4_solar_engine_beam	fort_tower
fort_tower	wh3_main_skv_settlement_tower_1_sniper_bullet	fort_tower
fort_tower	wh3_main_skv_settlement_tower_2_sniper_bullet_improved	fort_tower
fort_tower	wh3_main_skv_settlement_tower_3_warp_lightning	fort_tower
fort_tower	wh3_main_skv_settlement_tower_4_doomrocket	fort_tower
fort_tower	wh3_main_tmb_settlement_tower_1_bolt	fort_tower
fort_tower	wh3_main_tmb_settlement_tower_2_bolt_improved	fort_tower
fort_tower	wh3_main_tmb_settlement_tower_3_magic_missile	fort_tower
fort_tower	wh3_main_tmb_settlement_tower_4_magic_missile_improved	fort_tower
fort_tower	wh3_main_vmp_settlement_tower_1_bones	fort_tower
fort_tower	wh3_main_vmp_settlement_tower_2_bones_improved	fort_tower
fort_tower	wh3_main_vmp_settlement_tower_3_caged_bats	fort_tower
fort_tower	wh3_main_vmp_settlement_tower_4_corpse_ball	fort_tower
fort_tower	wh_gen_tower_flammable_rock	fort_tower
fort_tower	wh_gen_tower_flammable_rock_short_range	fort_tower
