chain	chain_set	slot_template	super_chain	remove
#slot_template_permitted_building_chains_tables;0;db/slot_template_permitted_building_chains_tables/data__				
	wh3_main_primary_core_generic_horde	horde_primary		false
	wh3_main_secondary_core_generic_horde	horde_secondary		false
	wh3_main_primary_core_special_horde_nakai	nakai_horde_primary		false
	wh3_main_secondary_core_special_horde_nakai	nakai_horde_secondary		false
	wh3_main_primary_core_generic_minor	wh2_dlc09_special_bhagar_primary		false
	wh3_main_secondary_addon_garrison_minor	wh2_dlc09_special_bhagar_secondary		false
	wh3_main_secondary_addon_landmark_bhagar	wh2_dlc09_special_bhagar_secondary		false
	wh3_main_secondary_addon_res_gemstones	wh2_dlc09_special_bhagar_secondary		false
	wh3_main_secondary_core_generic_minor	wh2_dlc09_special_bhagar_secondary		false
	wh3_main_secondary_addon_garrison_major	wh2_dlc09_special_black_tower_of_arkhan_secondary		false
	wh3_main_secondary_addon_landmark_black_tower_of_arkhan	wh2_dlc09_special_black_tower_of_arkhan_secondary		false
	wh3_main_secondary_core_generic_major	wh2_dlc09_special_black_tower_of_arkhan_secondary		false
	wh3_main_primary_core_generic_major	wh2_dlc09_special_ka_sabar_primary		false
	wh3_main_secondary_addon_garrison_major	wh2_dlc09_special_ka_sabar_secondary		false
	wh3_main_secondary_addon_landmark_ka_sabar	wh2_dlc09_special_ka_sabar_secondary		false
	wh3_main_secondary_addon_res_pastures	wh2_dlc09_special_ka_sabar_secondary		false
	wh3_main_secondary_core_generic_major	wh2_dlc09_special_ka_sabar_secondary		false
	wh3_main_primary_core_generic_minor	wh2_dlc09_special_numas_primary		false
	wh3_main_secondary_addon_garrison_minor	wh2_dlc09_special_numas_secondary		false
	wh3_main_secondary_addon_landmark_numas	wh2_dlc09_special_numas_secondary		false
	wh3_main_secondary_core_generic_minor	wh2_dlc09_special_numas_secondary		false
	wh3_main_primary_core_generic_minor	wh2_dlc09_special_quatar_primary		false
	wh3_main_secondary_addon_garrison_minor	wh2_dlc09_special_quatar_secondary		false
	wh3_main_secondary_addon_landmark_quatar	wh2_dlc09_special_quatar_secondary		false
	wh3_main_secondary_core_generic_minor	wh2_dlc09_special_quatar_secondary		false
	wh3_main_primary_core_generic_minor	wh2_dlc09_special_zandri_primary		false
	wh3_main_secondary_addon_garrison_minor	wh2_dlc09_special_zandri_secondary		false
	wh3_main_secondary_addon_landmark_zandri	wh2_dlc09_special_zandri_secondary		false
	wh3_main_secondary_addon_res_pottery	wh2_dlc09_special_zandri_secondary		false
	wh3_main_secondary_core_generic_minor	wh2_dlc09_special_zandri_secondary		false
	wh3_main_primary_core_special_major_gaean_vale	wh2_dlc10_special_gaean_vale_primary		false
	wh3_main_secondary_addon_garrison_major	wh2_dlc10_special_gaean_vale_secondary		false
	wh3_main_secondary_addon_landmark_gaean_vale	wh2_dlc10_special_gaean_vale_secondary		false
	wh3_main_secondary_addon_res_exotic_animals	wh2_dlc10_special_gaean_vale_secondary		false
	wh3_main_secondary_core_generic_major_variant_wef_forest	wh2_dlc10_special_gaean_vale_secondary		false
	wh3_main_foreign_slot_addon_laboratory	wh2_dlc12_underempire_laboratory		false
	wh3_main_foreign_slot_core_generic	wh2_dlc12_underempire_laboratory		false
	wh3_main_foreign_slot_core_generic	wh2_dlc12_underempire		false
	wh3_main_port_core_special_copher	wh2_dlc14_special_copher_port		false
	wh3_main_port_core_special_dragon_isles	wh2_dlc14_special_dragon_isle_port		false
	wh3_main_secondary_addon_garrison_minor	wh2_dlc14_special_fyrus_secondary		false
	wh3_main_secondary_addon_landmark_fyrus	wh2_dlc14_special_fyrus_secondary		false
	wh3_main_secondary_core_generic_minor	wh2_dlc14_special_fyrus_secondary		false
	wh3_main_secondary_addon_garrison_minor	wh2_dlc14_special_gnoblar_country_flayed_rock_secondary		false
	wh3_main_secondary_core_generic_minor	wh2_dlc14_special_gnoblar_country_flayed_rock_secondary		false
	wh3_main_primary_core_generic_major	wh2_dlc14_special_gnoblar_country_pigbarter_primary		false
	wh3_main_secondary_addon_garrison_major	wh2_dlc14_special_gnoblar_country_pigbarter_secondary		false
	wh3_main_secondary_addon_landmark_pigbarter	wh2_dlc14_special_gnoblar_country_pigbarter_secondary		false
	wh3_main_secondary_addon_res_spices	wh2_dlc14_special_gnoblar_country_pigbarter_secondary		false
	wh3_main_secondary_core_generic_major	wh2_dlc14_special_gnoblar_country_pigbarter_secondary		false
	wh3_main_secondary_addon_garrison_major	wh2_dlc14_special_the_broken_teeth_nagashizar_secondary		false
	wh3_main_secondary_addon_landmark_nagashizar	wh2_dlc14_special_the_broken_teeth_nagashizar_secondary		false
	wh3_main_secondary_core_generic_major	wh2_dlc14_special_the_broken_teeth_nagashizar_secondary		false
	wh3_main_primary_core_generic_major	wh2_dlc14_special_the_wolf_lands_crookback_mountain_primary		false
	wh3_main_secondary_addon_garrison_major	wh2_dlc14_special_the_wolf_lands_crookback_mountain_secondary		false
	wh3_main_secondary_addon_landmark_crookback_mountain	wh2_dlc14_special_the_wolf_lands_crookback_mountain_secondary		false
	wh3_main_secondary_addon_res_iron	wh2_dlc14_special_the_wolf_lands_crookback_mountain_secondary		false
	wh3_main_secondary_core_generic_major	wh2_dlc14_special_the_wolf_lands_crookback_mountain_secondary		false
	wh3_main_secondary_addon_garrison_major	wh2_dlc15_special_grom_peak_secondary		false
	wh3_main_secondary_addon_landmark_grom_peak	wh2_dlc15_special_grom_peak_secondary		false
	wh3_main_secondary_addon_res_pastures	wh2_dlc15_special_grom_peak_secondary		false
	wh3_main_secondary_core_generic_major	wh2_dlc15_special_grom_peak_secondary		false
	wh3_main_secondary_addon_garrison_major	wh2_dlc15_special_morgheim_secondary		false
	wh3_main_secondary_addon_landmark_morgheim	wh2_dlc15_special_morgheim_secondary		false
	wh3_main_secondary_core_generic_major	wh2_dlc15_special_morgheim_secondary		false
	wh3_main_primary_core_generic_minor	wh2_dlc15_special_mount_arachnos_primary		false
	wh3_main_secondary_addon_garrison_minor	wh2_dlc15_special_mount_arachnos_secondary		false
	wh3_main_secondary_addon_landmark_mount_arachnos	wh2_dlc15_special_mount_arachnos_secondary		false
	wh3_main_secondary_addon_res_exotic_animals	wh2_dlc15_special_mount_arachnos_secondary		false
	wh3_main_secondary_core_generic_minor	wh2_dlc15_special_mount_arachnos_secondary		false
	wh3_main_primary_core_special_major_tor_yvresse	wh2_dlc15_special_tor_yvresse_primary		false
	wh3_main_secondary_addon_garrison_major	wh2_dlc16_forest_of_gloom_secondary		false
	wh3_main_secondary_addon_landmark_forest_of_gloom	wh2_dlc16_forest_of_gloom_secondary		false
	wh3_main_secondary_core_generic_major_variant_wef_forest	wh2_dlc16_forest_of_gloom_secondary		false
	wh3_main_secondary_addon_garrison_major	wh2_dlc16_gryphon_wood_secondary		false
	wh3_main_secondary_addon_landmark_gryphon_wood	wh2_dlc16_gryphon_wood_secondary		false
	wh3_main_secondary_core_generic_major_variant_wef_forest	wh2_dlc16_gryphon_wood_secondary		false
	wh3_main_secondary_addon_garrison_major	wh2_dlc16_sacred_pools_secondary		false
	wh3_main_secondary_addon_landmark_sacred_pools	wh2_dlc16_sacred_pools_secondary		false
	wh3_main_secondary_core_generic_major_variant_wef_forest	wh2_dlc16_sacred_pools_secondary		false
	wh3_main_secondary_addon_garrison_major	wh2_dlc16_witchwood_secondary		false
	wh3_main_secondary_addon_landmark_the_witchwood	wh2_dlc16_witchwood_secondary		false
	wh3_main_secondary_core_generic_major_variant_wef_forest	wh2_dlc16_witchwood_secondary		false
	wh3_main_primary_core_generic_major	wh2_dlc17_mine_of_bearded_skulls_major_primary		false
	wh3_main_secondary_addon_garrison_major	wh2_dlc17_mine_of_bearded_skulls_major_secondary		false
