key	faction_criteria	military_force_criteria	region_criteria	enable_outline_highlight	highlight_colour_selected_target	highlight_colour_no_target_selected	highlight_colour_with_target_selected
#ritual_targets_tables;2;db/ritual_targets_tables/data__							
ONLY_USE_ONE_CRITERIA	ONLY_USE_ONE_CRITERIA			false	FFFFFF	FFFFFF	FFFFFF
ritual_target_all_factions_ai	ritual_target_all_factions_ai			false	FFFFFF	FFFFFF	FFFFFF
ritual_target_all_factions_exclude_chaos_human	ritual_target_all_factions_exclude_chaos_human			false	FFFFFF	FFFFFF	FFFFFF
ritual_target_all_factions_excluding_self	ritual_target_all_factions_excluding_self			false	FFFFFF	FFFFFF	FFFFFF
ritual_target_all_factions_excluding_self_ai_only	ritual_target_all_factions_excluding_self_ai_only			false	FFFFFF	FFFFFF	FFFFFF
ritual_target_all_factions_excluding_self_not_human_or_human_vassals	ritual_target_all_factions_excluding_self_not_human_or_human_vassals			false	FFFFFF	FFFFFF	FFFFFF
ritual_target_faction_all	ritual_target_all_factions			false	FFFFFF	FFFFFF	FFFFFF
ritual_target_faction_all_exclude_allies_and_self	ritual_target_all_factions_exclude_allies_and_self			false	FFFFFF	FFFFFF	FFFFFF
ritual_target_faction_ally	ritual_target_faction_ally			false	FFFFFF	FFFFFF	FFFFFF
ritual_target_faction_emp_elector_counts	ritual_target_faction_emp_elector_counts			false	FFFFFF	FFFFFF	FFFFFF
ritual_target_faction_empire_not_human_not_war	ritual_target_faction_empire_not_human_not_war			false	FFFFFF	FFFFFF	FFFFFF
ritual_target_faction_ksl	ritual_target_faction_kislev			false	FFFFFF	FFFFFF	FFFFFF
ritual_target_faction_ksl_ice_court	ritual_target_faction_ksl_ice_court			false	FFFFFF	FFFFFF	FFFFFF
ritual_target_faction_ksl_orthodoxy	ritual_target_faction_ksl_orthodoxy			false	FFFFFF	FFFFFF	FFFFFF
ritual_target_faction_ksl_ostankya_exclude_human	ritual_target_faction_ksl_ostankya_exclude_human			false	FFFFFF	FFFFFF	FFFFFF
ritual_target_faction_norsca_beastmen	ritual_target_beastmen_norsca_exclude_allies_human			false	FFFFFF	FFFFFF	FFFFFF
ritual_target_faction_seducible_exclude_human	ritual_target_seducible_factions_exclude_human			false	FFFFFF	FFFFFF	FFFFFF
ritual_target_force_all_exclude_allies_and_self		ritual_target_force_any_but_allies		false	FFFFFF	FFFFFF	FFFFFF
ritual_target_force_all_exclude_allies_and_self_ai		ritual_target_force_any_but_allies		false	FFFFFF	FFFFFF	FFFFFF
ritual_target_force_allied_neutral_enemy_land		ritual_target_force_allied_neutral_enemy_land		false	FFFFFF	FFFFFF	FFFFFF
