key	positive_effect_for_factions	negative_effect_for_factions	positive_blessed_effect_for_factions	negative_blessed_effect_for_factions
#plague_effects_tables;2;db/plague_effects_tables/data__				
wh2_dlc14_feature_skaven_skrolk_force	wh2_main_plague_skaven_force_1	wh2_main_plague_skaven_force_2		
wh2_dlc14_feature_skaven_skrolk_settlement	wh2_main_plague_skaven_settlement_1	wh2_main_plague_skaven_settlement_2		
wh2_dlc17_plague_beastmen_force	wh2_dlc17_plague_beastmen_force_1	wh2_dlc17_plague_beastmen_force_2		
wh2_dlc17_plague_beastmen_settlement	wh2_dlc17_plague_beastmen_settlement_1	wh2_dlc17_plague_beastmen_settlement_2		
wh2_main_plague_skaven_force	wh2_main_plague_skaven_force_1	wh2_main_plague_skaven_force_2		
wh2_main_plague_skaven_settlement	wh2_main_plague_skaven_settlement_1	wh2_main_plague_skaven_settlement_2		
wh3_dlc25_nur_base_hidden_epidemius_force	wh3_dlc25_nur_base_hidden_positive_force	wh3_dlc25_nur_base_hidden_epidemius_force		
wh3_dlc25_nur_base_hidden_epidemius_region	wh3_dlc25_nur_base_hidden_positive_region	wh3_dlc25_nur_base_hidden_epidemius_region		
wh3_dlc25_nur_battle_1	wh3_dlc25_nur_battle_1_positive	wh3_dlc25_nur_battle_1_negative	wh3_dlc25_nur_battle_1_positive_blessed	wh3_dlc25_nur_battle_1_negative_blessed
wh3_dlc25_nur_battle_2	wh3_dlc25_nur_battle_2_positive	wh3_dlc25_nur_battle_2_negative	wh3_dlc25_nur_battle_2_positive_blessed	wh3_dlc25_nur_battle_2_negative_blessed
wh3_dlc25_nur_battle_3	wh3_dlc25_nur_battle_3_positive	wh3_dlc25_nur_battle_3_negative	wh3_dlc25_nur_battle_3_positive_blessed	wh3_dlc25_nur_battle_3_negative_blessed
wh3_dlc25_nur_battle_4	wh3_dlc25_nur_battle_4_positive	wh3_dlc25_nur_battle_4_negative	wh3_dlc25_nur_battle_4_positive_blessed	wh3_dlc25_nur_battle_4_negative_blessed
wh3_dlc25_nur_battle_5	wh3_dlc25_nur_battle_5_positive	wh3_dlc25_nur_battle_5_negative	wh3_dlc25_nur_battle_5_positive_blessed	wh3_dlc25_nur_battle_5_negative_blessed
