army_name	character_name	script_name
#battle_set_piece_armies_characters_junctions_tables;0;db/battle_set_piece_armies_characters_junctions_tables/data__		
wh2_dlc09_qb_tmb_arkhan_staff_of_nagash_attacker_slaves_1	wh2_dlc09_qb_tmb_skrolk_staff_of_nagash_attacker_slaves_warlord_01	enemy_army_north
wh2_dlc09_qb_tmb_arkhan_staff_of_nagash_attacker_slaves_2	wh2_dlc09_qb_tmb_skrolk_staff_of_nagash_attacker_moulder_warlord_01	south_2
wh2_dlc09_qb_tmb_arkhan_staff_of_nagash_attacker_slaves_2	wh2_dlc09_qb_tmb_skrolk_staff_of_nagash_attacker_skryre_warlock_engineer_01	south_3
wh2_dlc09_qb_tmb_arkhan_staff_of_nagash_attacker_slaves_2	wh2_dlc09_qb_tmb_skrolk_staff_of_nagash_attacker_skryre_warlock_engineer_02	south_3
wh2_dlc09_qb_tmb_arkhan_staff_of_nagash_attacker_slaves_3	wh2_dlc09_qb_tmb_skrolk_staff_of_nagash_attacker_eshin_assassin_01	west_1
wh2_dlc09_qb_tmb_arkhan_staff_of_nagash_attacker_slaves_3	wh2_dlc09_qb_tmb_skrolk_staff_of_nagash_attacker_eshin_assassin_02	west_1
wh2_dlc09_qb_tmb_arkhan_staff_of_nagash_attacker_slaves_4	wh2_dlc09_qb_tmb_skrolk_staff_of_nagash_attacker_mors_warlord_01	north_2
wh2_dlc09_qb_tmb_arkhan_staff_of_nagash_player_1	wh2_dlc09_qb_tmb_arkhan_staff_of_nagash_defender_arkhan	
wh2_dlc09_qb_tmb_arkhan_staff_of_nagash_player_1	wh2_dlc09_qb_tmb_arkhan_staff_of_nagash_defender_liche_priest_nehekhara	
wh2_dlc09_qb_tmb_arkhan_staff_of_nagash_player_1	wh2_dlc09_qb_tmb_arkhan_staff_of_nagash_defender_tomb_prince	
wh2_dlc09_qb_tmb_arkhan_the_tomb_blade_of_arkhan_3_mortuary_of_tzulaqua_attacker_01	wh2_dlc09_qb_tmb_arkhan_the_tomb_blade_of_arkhan_stage_3_mortuary_of_tzulaqua_attacker_slann_01	First
wh2_dlc09_qb_tmb_arkhan_the_tomb_blade_of_arkhan_3_mortuary_of_tzulaqua_attacker_02	wh2_dlc09_qb_tmb_arkhan_the_tomb_blade_of_arkhan_stage_3_mortuary_of_tzulaqua_attacker_old_blood_01	Second
