component_type	payload
#campaign_payload_basic_components_tables;0;db/campaign_payload_basic_components_tables/data__	
scripted_logic	wh3_dlc29_skv_explode_region_scripted
chaotic_plan_copy_positive_token	wh3_dlc29_skv_favour_rat
chaotic_plan_remove_pinned_tokens_from_drawn	wh3_dlc29_skv_remove_pinned_tokens_from_drawn
scripted_logic	wh3_dlc29_skv_sack_region_scripted
scripted_logic	wh3_dlc29_skv_spawn_corruptor_verminlord_army_scripted
scripted_logic	wh3_dlc29_skv_spawn_death_daemon_army_scripted
scripted_logic	wh3_dlc29_skv_spawn_deceiver_verminlord_army_scripted
scripted_logic	wh3_dlc29_skv_spawn_fire_daemon_army_scripted
scripted_logic	wh3_dlc29_skv_spawn_hashut_daemon_army_scripted
scripted_logic	wh3_dlc29_skv_spawn_metal_daemon_army_scripted
scripted_logic	wh3_dlc29_skv_spawn_verminlord_corruptor_1
scripted_logic	wh3_dlc29_skv_spawn_verminlord_deceiver_1
scripted_logic	wh3_dlc29_skv_spawn_verminlord_warbringer_1
scripted_logic	wh3_dlc29_skv_spawn_verminlord_warpseer_1
scripted_logic	wh3_dlc29_skv_spawn_warbringer_verminlord_army_scripted
scripted_logic	wh3_dlc29_skv_spawn_warpseer_verminlord_army_scripted
scripted_logic	wh3_dlc29_skv_teleport_daemon_lord_scripted
scripted_logic	wh3_dlc29_skv_thanquol_create_undercity
scripted_logic	wh3_dlc29_skv_thanquol_pull_moon
diplomatic_attitude_bonus_medium	wh3_main_mis_gen_diplomatic_assassinate_character
diplomatic_attitude_bonus_medium	wh3_main_mis_gen_diplomatic_capture_region
diplomatic_attitude_bonus_medium	wh3_main_mis_gen_diplomatic_eliminate_character_in_battle
diplomatic_attitude_bonus_medium	wh3_main_mis_gen_diplomatic_engage_force
diplomatic_attitude_bonus_medium	wh3_main_mis_gen_diplomatic_raid_region
diplomatic_attitude_bonus_medium	wh3_main_mis_gen_diplomatic_raze_sack_settlement
form_confederation	wh3_main_ritual_ksl_devotion_confederate
rebellion	wh3_main_ritual_tze_cotw_force_rebellion
