key	animation	entity	audio_armour_type	variant	voiceover
#mounts_tables;10;db/mounts_tables/data__					
wh2_dlc09_tmb_mnt_arkhan_tomb_steed_chariot	hr1_tomb_steed_draught_arkhan	wh2_dlc09_tmb_skeletal_steed_chariot_arkhan	bone	dummy_variant	vo_culture_None
wh2_dlc09_tmb_mnt_necroserpent	sn1_serpent	wh2_dlc09_tmb_cav_necroserpent	bone	wh2_dlc09_tmb_necro_serpent	vo_culture_None
wh2_dlc09_tmb_mnt_necroserpent_khalida	sn1_khalida_serpent	wh2_dlc09_tmb_cav_necroserpent	bone	wh2_dlc09_tmb_necro_serpent_khalida	vo_culture_None
wh2_dlc09_tmb_mnt_necroserpent_ror	sn1_serpent	wh2_dlc09_tmb_cav_necroserpent_ror	bone	wh2_dlc09_tmb_necro_serpent_ror	vo_culture_None
wh2_dlc09_tmb_mnt_tomb_steed	hr1_tomb_steed	wh2_dlc09_tmb_cav_skeletal_steed	bone	wh2_dlc09_tmb_skeletal_steed	vo_culture_None
wh2_dlc09_tmb_mnt_tomb_steed_chariot	hr1_tomb_steed_draught	wh2_dlc09_tmb_cav_skeletal_steed_chariot	bone	wh2_dlc09_tmb_skeletal_steed_chariot	vo_culture_None
wh2_dlc09_tmb_mnt_tomb_steed_chariot_settra	hr1_tomb_steed_draught	wh2_dlc09_tmb_skeletal_steed_chariot_settra	bone	wh2_dlc09_tmb_skeletal_steed_chariot	vo_culture_None
wh2_dlc09_tmb_mnt_tomb_steed_hero	hr1_tomb_steed	wh2_dlc09_tmb_cav_skeletal_steed_hero	bone	wh2_dlc09_tmb_skeletal_steed_hero	vo_culture_None
wh2_dlc09_tmb_mnt_tomb_steed_nehekhara_horsemen	hr1_tomb_steed	wh2_dlc09_tmb_cav_skeletal_steed_barded	bone	wh2_dlc09_tmb_skeletal_steed_chariot	vo_culture_None
wh2_dlc09_tmb_mnt_tomb_steed_ror	hr1_tomb_steed	wh2_dlc09_tmb_cav_skeletal_steed_ror	bone	wh2_dlc09_tmb_skeletal_steed_phakth_ror	vo_culture_None
wh2_dlc09_tmb_mnt_warsphinx	bc1_warsphinx	wh2_dlc09_tmb_mon_warsphinx	bone	wh2_dlc09_tmb_khemrian_warsphinx	vo_culture_None
wh2_dlc10_def_mnt_cold_one_armoured_ror	rp3_cold_one	wh2_main_def_cavalry_cold_one_blood	body	wh2_dlc10_def_cold_one_armoured_ror	wh2_main_vo_culture_Dark_Elves
wh2_dlc10_def_mnt_manticore	bc3_manticore	wh_dlc01_flying_manticore_blood	body	wh2_dlc10_def_manticore	wh_main_vo_culture_Manticore
wh2_dlc10_hef_mnt_dragon_princes_ror	hr1_warhorse	wh2_main_hef_mnt_barded_steed_dragon_princes	plate	wh2_dlc10_hef_dragon_steed_ror	wh_main_vo_culture_Horse
wh2_dlc10_hef_mnt_steed_heralds	hr1_warhorse	wh2_dlc10_hef_cavalry_heralds_blood	leather	wh2_dlc10_hef_steed_ror	wh_main_vo_culture_Horse
wh2_dlc11_cst_mnt_damned_questing_knight_warhorse	hr1_warhorse	wh2_dlc11_cst_cavalry_damned_barded_no_blood	plate	wh2_dlc11_cst_damned_questing_knight_warhorse	wh_main_vo_culture_Horse
wh2_dlc11_cst_mnt_damned_warhorse_barded	hr1_warhorse	wh2_dlc11_cst_cavalry_damned_barded_no_blood	plate	wh2_dlc11_cst_damned_warhorses_barded	wh_main_vo_culture_Horse
wh2_dlc11_cst_mnt_necrofex_colossus	gi2_cst_colossus	wh2_dlc11_cst_mon_necrofex_colossus	body	wh2_dlc11_cst_necrofex_colossus	vo_culture_Invalid
wh2_dlc11_cst_mnt_necrofex_colossus_noctilus	gi2_cst_colossus	wh2_dlc11_cst_mon_necrofex_colossus	bone	wh2_dlc11_cst_necrofex_colossus	vo_culture_Invalid
wh2_dlc11_cst_mnt_necrofex_colossus_ror	gi2_cst_colossus_flame_thrower	wh2_dlc11_cst_mon_necrofex_colossus_ror	body	wh2_dlc11_cst_necrofex_colossus_ror	vo_culture_Invalid
wh2_dlc11_cst_mnt_rotting_leviathan	cr1_cst_leviathon	wh2_dlc11_cst_mon_rotting_leviathan_blood	body	wh2_dlc11_cst_rotting_leviathan	vo_culture_None
wh2_dlc11_cst_mnt_rotting_promethean	cr1_cst_promethean	wh2_dlc11_cst_mon_rotting_promethean_blood		wh2_dlc11_cst_rotting_promethean	vo_culture_None
wh2_dlc11_cst_mnt_rotting_promethean_ror	cr1_cst_promethean	wh2_dlc11_cst_mon_rotting_promethean_blood		wh2_dlc11_cst_rotting_promethean_ror	vo_culture_None
wh2_dlc11_cst_mnt_terrorgheist	bi2_terrorgheist	wh2_dlc11_cst_terrorgheist_blood	bone	wh2_dlc11_cst_deathshriek_terrorgheist	wh_main_vo_culture_Terrorgheist
