trait	vow	order
#bretonnia_vows_to_traits_tables;0;db/bretonnia_vows_to_traits_tables/data__		
wh_dlc07_trait_brt_grail_vow_destroy_pledge_agent	grail_vow_agent	3
wh_dlc07_trait_brt_grail_vow_untaint_pledge_agent	grail_vow_agent	1
wh_dlc07_trait_brt_grail_vow_valour_pledge_agent	grail_vow_agent	2
wh_dlc07_trait_brt_grail_vow_destroy_pledge	grail_vow	3
wh_dlc07_trait_brt_grail_vow_untaint_pledge	grail_vow	1
wh_dlc07_trait_brt_grail_vow_valour_pledge	grail_vow	2
wh_dlc07_trait_brt_knights_vow_chivalry_pledge_agent	knights_vow_agent	3
wh_dlc07_trait_brt_knights_vow_knowledge_pledge_agent	knights_vow_agent	1
wh_dlc07_trait_brt_knights_vow_order_pledge_agent	knights_vow_agent	2
wh_dlc07_trait_brt_knights_vow_chivalry_pledge	knights_vow	3
wh_dlc07_trait_brt_knights_vow_knowledge_pledge	knights_vow	1
wh_dlc07_trait_brt_knights_vow_order_pledge	knights_vow	2
wh_dlc07_trait_brt_questing_vow_campaign_pledge_agent	questing_vow_agent	1
wh_dlc07_trait_brt_questing_vow_heroism_pledge_agent	questing_vow_agent	2
wh_dlc07_trait_brt_questing_vow_protect_pledge_agent	questing_vow_agent	3
wh_dlc07_trait_brt_questing_vow_campaign_pledge	questing_vow	1
wh_dlc07_trait_brt_questing_vow_heroism_pledge	questing_vow	2
wh_dlc07_trait_brt_questing_vow_protect_pledge	questing_vow	3
wh_dlc07_trait_brt_protection_troth_chivalry_pledge	troth_of_protection	3
wh_dlc07_trait_brt_protection_troth_knowledge_pledge	troth_of_protection	1
wh_dlc07_trait_brt_protection_troth_order_pledge	troth_of_protection	2
wh_dlc07_trait_brt_virtue_troth_destroy_pledge_fay	troth_of_virtue_fay	3
wh_dlc07_trait_brt_virtue_troth_untaint_pledge_fay	troth_of_virtue_fay	1
wh_dlc07_trait_brt_virtue_troth_valour_pledge_fay	troth_of_virtue_fay	2
wh_dlc07_trait_brt_virtue_troth_destroy_pledge	troth_of_virtue	3
wh_dlc07_trait_brt_virtue_troth_untaint_pledge	troth_of_virtue	1
wh_dlc07_trait_brt_virtue_troth_valour_pledge	troth_of_virtue	2
wh_dlc07_trait_brt_wisdom_troth_campaign_pledge	troth_of_wisdom	2
wh_dlc07_trait_brt_wisdom_troth_heroism_pledge	troth_of_wisdom	1
wh_dlc07_trait_brt_wisdom_troth_protect_pledge	troth_of_wisdom	3
