bonus_value_id	effect	ritual_category
#effect_bonus_value_ritual_category_junctions_tables;0;db/effect_bonus_value_ritual_category_junctions_tables/data__		
global_cooldown_mod	wh2_dlc16_effect_ritual_cooldown_deeproots	WORLDROOTS_TELEPORTATION
disable_ritual_targeting	wh3_dlc23_ritual_target_block_labour_actions	LABOUR_ACTIONS
disable_ritual_targeting	wh3_dlc24_invalid_matters_of_state_target_force	YUAN_BO_ACTION
ritual_percentage_cost_mod_targeted	wh3_dlc24_invalid_matters_of_state_target_force	SLAVE_RITUAL
global_cooldown_mod	wh3_dlc25_effect_cooldown_emperors_decrees	EMPERORS_DECREES
global_cooldown_mod	wh3_dlc25_effect_underway_teleport_cooldown_mod	UNDERWAY_TELEPORTATION
global_cooldown_mod	wh3_dlc26_effect_cooldown_mod_ritual_skull_throne_global	SKULLS_RITUAL
disable_ritual_targeting	wh3_main_effect_ksl_motherland_ritual_cooldown_force	MOTHERLAND_RITUAL_FORCE
disable_ritual_targeting	wh3_main_effect_ksl_motherland_ritual_cooldown_region	MOTHERLAND_RITUAL_PROVINCE
disable_ritual_targeting	wh3_main_effect_ksl_motherland_ritual_disable_enemy_territory	MOTHERLAND_RITUAL_FORCE
disable_ritual_targeting	wh3_main_effect_ksl_motherland_ritual_disable_enemy_territory	MOTHERLAND_RITUAL_PROVINCE
disable_ritual_targeting	wh3_main_effect_ksl_motherland_ritual_disable_force_hidden	MOTHERLAND_RITUAL_FORCE
disable_ritual_targeting	wh3_main_effect_ksl_motherland_ritual_disable_neutral_territory	MOTHERLAND_RITUAL_FORCE
disable_ritual_targeting	wh3_main_effect_ksl_motherland_ritual_disable_neutral_territory	MOTHERLAND_RITUAL_PROVINCE
disable_ritual_targeting	wh3_main_effect_ksl_motherland_ritual_disable_region_hidden	MOTHERLAND_RITUAL_PROVINCE
disable_ritual_targeting	wh3_main_effect_ksl_motherland_ritual_disable_unowned_territory	MOTHERLAND_RITUAL_FORCE
disable_ritual_targeting	wh3_main_effect_ksl_motherland_ritual_disable_unowned_territory	MOTHERLAND_RITUAL_PROVINCE
disable_ritual_targeting	wh3_main_ritual_target_block_slaanesh_pleasure_activities	DEVOTEES_RITUAL
disable_ritual_targeting	wh3_main_ritual_target_block_slave_actions	SLAVE_RITUAL
