shared_state_key	default_bool	max_value	min_value	ui_template_type	default_min_value	default_max_value	order	slider_step_size
#end_game_settings_tables;2;db/end_game_settings_tables/data__								
campaign_wound_trait	true	0.0000	0.0000	CHECKBOX	0.0000	0.0000	1	1
crisis_all_scenarios	false	0.0000	0.0000	CHECKBOX	0.0000	0.0000	504	1
crisis_difficulty_mod	true	200.0000	25.0000	SLIDER_VALUE	100.0000	0.0000	500	25
crisis_diplomacy_enabled	false	0.0000	0.0000	CHECKBOX	0.0000	0.0000	503	1
crisis_early_warning_delay	true	25.0000	0.0000	SLIDER_VALUE	10.0000	0.0000	502	1
crisis_grudge_too_far	true	0.0000	0.0000	CHECKBOX	0.0000	0.0000	508	1
crisis_turn_trigger_range	true	200.0000	20.0000	SLIDER_RANGE	60.0000	100.0000	501	5
crisis_vampires_rise	true	0.0000	0.0000	CHECKBOX	0.0000	0.0000	509	1
crisis_waaagh	true	0.0000	0.0000	CHECKBOX	0.0000	0.0000	506	1
crisis_wild_hunt	true	0.0000	0.0000	CHECKBOX	0.0000	0.0000	507	1
crisis_will_of_hashut	true	0.0000	0.0000	CHECKBOX	0.0000	0.0000	505	1
endgame_chaos_invasion_enabled	true	0.0000	0.0000	CHECKBOX	0.0000	0.0000	3	1
endgame_max_scenarios_allowed	true	3.0000	0.0000	SLIDER_VALUE	1.0000	0.0000	1	1
endgame_nagash_rises_enabled	true	0.0000	0.0000	CHECKBOX	0.0000	0.0000	5	1
endgame_skaven_vermintide_enabled	true	0.0000	0.0000	CHECKBOX	0.0000	0.0000	4	1
endgame_turn_trigger_range	true	200.0000	20.0000	SLIDER_RANGE	80.0000	120.0000	2	5
minor_cult_cabal	true	0.0000	0.0000	CHECKBOX	0.0000	0.0000	1006	1
minor_cult_chaos_portal	true	0.0000	0.0000	CHECKBOX	0.0000	0.0000	1001	1
minor_cult_crimson_plague	false	0.0000	0.0000	CHECKBOX	0.0000	0.0000	1005	1
minor_cult_crimson_skull	true	0.0000	0.0000	CHECKBOX	0.0000	0.0000	1002	1
minor_cult_doomsphere	true	0.0000	0.0000	CHECKBOX	0.0000	0.0000	1003	1
minor_cult_purple_hand	false	0.0000	0.0000	CHECKBOX	0.0000	0.0000	1004	1
