category	min_uniqueness_score	campaign_group	salvage_resources
#ancillary_salvage_resources_tables;1;db/ancillary_salvage_resources_tables/data__			
arcane_item	0	wh_main_feature_all	wh3_main_salvage_anc_group_common
arcane_item	199	wh_main_feature_all	wh3_main_salvage_anc_group_crafted
arcane_item	30	wh_main_feature_all	wh3_main_salvage_anc_group_uncommon
arcane_item	50	wh_main_feature_all	wh3_main_salvage_anc_group_rare
armour	0	wh_main_feature_all	wh3_main_salvage_anc_group_common
armour	0	wh_main_feature_dwarfs	wh2_dlc10_dwf_scrap_common_magic_item
armour	199	wh_main_feature_all	wh3_main_salvage_anc_group_crafted
armour	200	wh_main_feature_dwarfs	wh2_dlc10_dwf_scrap_legendary_magic_item
armour	30	wh_main_feature_all	wh3_main_salvage_anc_group_uncommon
armour	30	wh_main_feature_dwarfs	wh2_dlc10_dwf_scrap_uncommon_magic_item
armour	50	wh_main_feature_all	wh3_main_salvage_anc_group_rare
armour	50	wh_main_feature_dwarfs	wh2_dlc10_dwf_scrap_rare_magic_item
enchanted_item	0	wh_main_feature_all	wh3_main_salvage_anc_group_common
enchanted_item	0	wh_main_feature_dwarfs	wh2_dlc10_dwf_scrap_common_magic_item
enchanted_item	199	wh_main_feature_all	wh3_main_salvage_anc_group_crafted
enchanted_item	200	wh_main_feature_dwarfs	wh2_dlc10_dwf_scrap_legendary_magic_item
enchanted_item	30	wh_main_feature_all	wh3_main_salvage_anc_group_uncommon
enchanted_item	30	wh_main_feature_dwarfs	wh2_dlc10_dwf_scrap_uncommon_magic_item
enchanted_item	50	wh_main_feature_all	wh3_main_salvage_anc_group_rare
enchanted_item	50	wh_main_feature_dwarfs	wh2_dlc10_dwf_scrap_rare_magic_item
general	0	wh_main_feature_all	wh3_main_salvage_anc_group_common
general	199	wh_main_feature_all	wh3_main_salvage_anc_group_crafted
general	30	wh_main_feature_all	wh3_main_salvage_anc_group_uncommon
general	50	wh_main_feature_all	wh3_main_salvage_anc_group_rare
talisman	0	wh_main_feature_all	wh3_main_salvage_anc_group_common
talisman	0	wh_main_feature_dwarfs	wh2_dlc10_dwf_scrap_common_magic_item
talisman	199	wh_main_feature_all	wh3_main_salvage_anc_group_crafted
talisman	200	wh_main_feature_dwarfs	wh2_dlc10_dwf_scrap_legendary_magic_item
talisman	30	wh_main_feature_all	wh3_main_salvage_anc_group_uncommon
talisman	30	wh_main_feature_dwarfs	wh2_dlc10_dwf_scrap_uncommon_magic_item
talisman	50	wh_main_feature_all	wh3_main_salvage_anc_group_rare
talisman	50	wh_main_feature_dwarfs	wh2_dlc10_dwf_scrap_rare_magic_item
weapon	0	wh_main_feature_all	wh3_main_salvage_anc_group_common
weapon	0	wh_main_feature_dwarfs	wh2_dlc10_dwf_scrap_common_magic_item
weapon	199	wh_main_feature_all	wh3_main_salvage_anc_group_crafted
weapon	200	wh_main_feature_dwarfs	wh2_dlc10_dwf_scrap_legendary_magic_item
weapon	30	wh_main_feature_all	wh3_main_salvage_anc_group_uncommon
weapon	30	wh_main_feature_dwarfs	wh2_dlc10_dwf_scrap_uncommon_magic_item
weapon	50	wh_main_feature_all	wh3_main_salvage_anc_group_rare
weapon	50	wh_main_feature_dwarfs	wh2_dlc10_dwf_scrap_rare_magic_item
