key	campaign	region_group	initial_strength	percentage_chance_to_change_per_round	max_strength_level	strength_locked
#campaign_map_winds_of_magic_areas_tables;0;db/campaign_map_winds_of_magic_areas_tables/data__						
wh3_dlc20_chaos_province_albion	wh3_main_chaos	wh3_dlc20_chaos_province_albion		5.0000	4	false
wh3_dlc20_chaos_province_marches_of_couronne	wh3_main_chaos	wh3_dlc20_chaos_province_marches_of_couronne		5.0000	4	false
wh3_dlc20_chaos_province_middle_mountains	wh3_main_chaos	wh3_dlc20_chaos_province_middle_mountains		5.0000	4	false
wh3_dlc20_chaos_province_northern_wasteland	wh3_main_chaos	wh3_dlc20_chaos_province_northern_wasteland		5.0000	4	false
wh3_dlc20_combi_province_frigid_wasteland	wh3_main_combi	wh3_dlc20_combi_province_frigid_wasteland		5.0000	4	false
wh3_dlc20_combi_province_middle_mountains	wh3_main_combi	wh3_dlc20_combi_province_middle_mountains		5.0000	4	false
wh3_dlc23_chaos_province_dragon_isles	wh3_main_chaos	wh3_dlc23_chaos_province_dragon_isles		5.0000	4	false
wh3_dlc23_chaos_province_gnoblar_country	wh3_main_chaos	wh3_dlc23_chaos_province_gnoblar_country		5.0000	4	false
wh3_dlc23_chaos_province_scalded_delta	wh3_main_chaos	wh3_dlc23_chaos_province_scalded_delta		5.0000	4	false
wh3_dlc23_chaos_province_silver_road	wh3_main_chaos	wh3_dlc23_chaos_province_silver_road		5.0000	4	false
wh3_dlc23_chaos_province_the_plain_of_bones	wh3_main_chaos	wh3_dlc23_chaos_province_the_plain_of_bones		5.0000	4	false
wh3_main_chaos_province_ancient_giant_lands	wh3_main_chaos	wh3_main_chaos_province_ancient_giant_lands		5.0000	4	false
wh3_main_chaos_province_black_blood_pass	wh3_main_chaos	wh3_main_chaos_province_black_blood_pass		5.0000	4	false
wh3_main_chaos_province_black_water	wh3_main_chaos	wh3_main_chaos_province_black_water		5.0000	4	false
wh3_main_chaos_province_bloodfire_falls	wh3_main_chaos	wh3_main_chaos_province_bloodfire_falls	wom_strength_2	5.0000	4	false
wh3_main_chaos_province_bone_road	wh3_main_chaos	wh3_main_chaos_province_bone_road		5.0000	4	false
wh3_main_chaos_province_broken_lands_of_tian_li	wh3_main_chaos	wh3_main_chaos_province_broken_lands_of_tian_li		5.0000	4	false
wh3_main_chaos_province_celestial_riverlands	wh3_main_chaos	wh3_main_chaos_province_celestial_riverlands		5.0000	4	false
wh3_main_chaos_province_central_great_bastion	wh3_main_chaos	wh3_main_chaos_province_central_great_bastion		5.0000	4	false
wh3_main_chaos_province_dukhlys_forest	wh3_main_chaos	wh3_main_chaos_province_dukhlys_forest		5.0000	4	false
wh3_main_chaos_province_eastern_great_bastion	wh3_main_chaos	wh3_main_chaos_province_eastern_great_bastion		5.0000	4	false
wh3_main_chaos_province_eastern_oblast	wh3_main_chaos	wh3_main_chaos_province_eastern_oblast		5.0000	4	false
wh3_main_chaos_province_eastern_steppes	wh3_main_chaos	wh3_main_chaos_province_eastern_steppes	wom_strength_2	5.0000	4	false
wh3_main_chaos_province_forests_of_the_moon	wh3_main_chaos	wh3_main_chaos_province_forests_of_the_moon		5.0000	4	false
wh3_main_chaos_province_gash_kadrak	wh3_main_chaos	wh3_main_chaos_province_gash_kadrak		5.0000	4	false
