key	auto_generate	is_caster	small_icon	associated_unit_override	audio_voiceover_actor_group	show_in_ui	cap	has_female_name	can_gain_xp	loyalty_is_applicable	contributes_to_agent_cap	recruitment_category	magic_lore	names_group	can_be_loaned	recruitable	saving_settings	audio_vo_culture_override	spam_click_vo_enabled	can_equip_ancillaries	cost	recruitment_button_active_icon_path	recruitment_button_background_icon_path
#agent_subtypes_tables;2;db/agent_subtypes_tables/data__																							
wh2_dlc09_skv_tretch_craventail	false	false		wh2_dlc09_skv_cha_tretch_craventail	wh2_dlc09_vo_actor_Skaven_Tretch_Craventail	true	-1	false	true	false	true	legendary_lords			false	true	cannot_be_loaded_in_campaign		false	true	750		
wh2_dlc09_tmb_arkhan	false	true		wh2_dlc09_tmb_cha_arkhan_0	wh2_dlc09_vo_actor_Tomb_Kings_Arkhan	true	-1	false	true	false	true	legendary_lords			false	true	cannot_be_loaded_in_campaign		false	true	1500		
wh2_dlc09_tmb_khalida	false	false		wh2_dlc09_tmb_cha_khalida_0	wh2_dlc09_vo_actor_Tomb_Kings_High_Queen_Khalida	true	-1	true	true	false	true	legendary_lords			false	true	cannot_be_loaded_in_campaign		false	true	1100		
wh2_dlc09_tmb_khatep	false	true		wh2_dlc09_tmb_cha_khatep_0	wh2_dlc09_vo_actor_Tomb_Kings_Khatep	true	-1	false	true	false	true	legendary_lords			false	true	cannot_be_loaded_in_campaign		false	true	1050		
wh2_dlc09_tmb_liche_priest_death	true	true	ui/campaign ui/agents/wh_main_lore_death.png	wh2_dlc09_tmb_cha_liche_priest_death_0	wh2_dlc09_vo_actor_Tomb_Kings_Liche_Priest	true	-1	false	true	false	true				true	true	can_be_saved_loaded		false	true	800		
wh2_dlc09_tmb_liche_priest_light	true	true	ui/campaign ui/agents/wh_main_lore_light.png	wh2_dlc09_tmb_cha_liche_priest_light_0	wh2_dlc09_vo_actor_Tomb_Kings_Liche_Priest	true	-1	false	true	false	true				true	true	can_be_saved_loaded		false	true	800		
wh2_dlc09_tmb_liche_priest_nehekhara	true	true	ui/campaign ui/agents/wh2_dlc09_lore_nehekhara.png	wh2_dlc09_tmb_cha_liche_priest_nehekhara_0	wh2_dlc09_vo_actor_Tomb_Kings_Liche_Priest	true	-1	false	true	false	true				true	true	can_be_saved_loaded		false	true	800		
wh2_dlc09_tmb_liche_priest_shadow	true	true	ui/campaign ui/agents/wh_dlc05_lore_shadow.png	wh2_dlc09_tmb_cha_liche_priest_shadow_0	wh2_dlc09_vo_actor_Tomb_Kings_Liche_Priest	true	-1	false	true	false	true				true	true	can_be_saved_loaded		false	true	800		
wh2_dlc09_tmb_necrotect	true	false		wh2_dlc09_tmb_cha_necrotect_0	wh2_dlc09_vo_actor_Tomb_Kings_Necrotect	true	-1	false	true	false	true				true	true	can_be_saved_loaded		false	true	550		
