key	campaign_map
#campaign_map_areas_of_interest_tables;1;db/campaign_map_areas_of_interest_tables/data__	
wh3_main_ancient_dragon_cave	wh3_main_chaos_map_4
wh3_main_brazen_altar	wh3_main_chaos_map_4
wh3_main_firemouth_volcano	wh3_main_chaos_map_4
wh3_main_floating_chaos_island	wh3_main_chaos_map_4
wh3_main_golden_monolith	wh3_main_chaos_map_4
wh3_main_grimmenhagen	wh3_main_chaos_map_4
wh3_main_hel_fenn	wh3_main_chaos_map_4
wh3_main_ice_caverns_of_ymirdrak	wh3_main_chaos_map_4
wh3_main_ie_ancient_dragon_cave	wh3_main_combi_map_5
wh3_main_ie_barrier_idols	wh3_main_combi_map_5
wh3_main_ie_black_fire_pass	wh3_main_combi_map_5
wh3_main_ie_bloodpine_woods	wh3_main_combi_map_5
wh3_main_ie_brazen_altar	wh3_main_combi_map_5
wh3_main_ie_burial_ground_of_grudsnik	wh3_main_combi_map_5
wh3_main_ie_estalian_tomb	wh3_main_combi_map_5
wh3_main_ie_firemouth_volcano	wh3_main_combi_map_5
wh3_main_ie_floating_chaos_island	wh3_main_combi_map_5
wh3_main_ie_glacial_lake	wh3_main_combi_map_5
wh3_main_ie_golden_monolith	wh3_main_combi_map_5
wh3_main_ie_gouger_gully	wh3_main_combi_map_5
wh3_main_ie_grimmenhagen	wh3_main_combi_map_5
wh3_main_ie_hel_fenn	wh3_main_combi_map_5
wh3_main_ie_ice_caverns_of_ymirdrak	wh3_main_combi_map_5
wh3_main_ie_la_maisontall_abbey	wh3_main_combi_map_5
wh3_main_ie_leitziger_ford	wh3_main_combi_map_5
wh3_main_ie_lucent_maze	wh3_main_combi_map_5
wh3_main_ie_marbads_tomb	wh3_main_combi_map_5
wh3_main_ie_ogham_shard	wh3_main_combi_map_5
wh3_main_ie_pillar_of_bone	wh3_main_combi_map_5
wh3_main_ie_shrine_of_ill_omen	wh3_main_combi_map_5
wh3_main_ie_shrine_of_ursun	wh3_main_combi_map_5
wh3_main_ie_stir_river	wh3_main_combi_map_5
wh3_main_ie_the_fallen_gates	wh3_main_combi_map_5
wh3_main_ie_the_frozen_falls	wh3_main_combi_map_5
wh3_main_ie_the_great_maw	wh3_main_combi_map_5
wh3_main_ie_the_great_vortex	wh3_main_combi_map_5
wh3_main_ie_the_howling_citadel	wh3_main_combi_map_5
wh3_main_ie_warpshard_caverns	wh3_main_combi_map_5
wh3_main_kho_machina_daemonium	wh3_main_chaos_map_4
wh3_main_kho_skull_of_the_first	wh3_main_chaos_map_4
wh3_main_kho_the_tree_of_souls	wh3_main_chaos_map_4
wh3_main_kho_the_wrathgate	wh3_main_chaos_map_4
wh3_main_leitziger_ford	wh3_main_chaos_map_4
wh3_main_lucent_maze	wh3_main_chaos_map_4
wh3_main_marbads_tomb	wh3_main_chaos_map_4
wh3_main_nur_arghus_the_plague_moon	wh3_main_chaos_map_4
wh3_main_nur_lair_of_the_maggot_lord	wh3_main_chaos_map_4
wh3_main_nur_the_great_tree	wh3_main_chaos_map_4
wh3_main_nur_the_septic_isle	wh3_main_chaos_map_4
wh3_main_shrine_of_ursun	wh3_main_chaos_map_4
wh3_main_the_frozen_falls	wh3_main_chaos_map_4
wh3_main_the_great_maw	wh3_main_chaos_map_4
wh3_main_the_howling_citadel	wh3_main_chaos_map_4
wh3_main_tze_citadel_of_the_iron_knight	wh3_main_chaos_map_4
wh3_main_tze_the_eternity_stair	wh3_main_chaos_map_4
wh3_main_tze_the_eyrie_of_the_watcher	wh3_main_chaos_map_4
wh3_main_tze_the_heavenward_halls	wh3_main_chaos_map_4
wh3_main_tze_the_ruins_of_the_dead_king	wh3_main_chaos_map_4
wh3_main_tze_the_true_liars_monolith	wh3_main_chaos_map_4
