attrition	faction
#campaign_map_attrition_faction_immunities_tables;0;db/campaign_map_attrition_faction_immunities_tables/data__	
athel_loren	wh2_dlc13_lzd_avengers
athel_loren	wh2_dlc13_wef_laurelorn_forest
athel_loren	wh2_dlc16_wef_drycha
athel_loren	wh2_dlc16_wef_sisters_of_twilight
athel_loren	wh2_dlc16_wef_waystone_faction_1
athel_loren	wh2_dlc16_wef_waystone_faction_2
athel_loren	wh2_dlc16_wef_waystone_faction_3
athel_loren	wh2_dlc16_wef_wood_elves_qb4
athel_loren	wh2_dlc16_wef_wood_elves_qb5
athel_loren	wh2_dlc16_wef_wood_elves_qb6
athel_loren	wh2_dlc16_wef_wood_elves_qb7
athel_loren	wh_dlc05_wef_argwylon
athel_loren	wh_dlc05_wef_torgovann
athel_loren	wh_dlc05_wef_wood_elves
athel_loren	wh_dlc05_wef_wood_elves_rebels
athel_loren	wh_dlc05_wef_wydrioth
besieged	wh2_dlc13_lzd_avengers
besieged	wh3_prologue_dervingard_garrison
besieging	wh2_dlc13_lzd_avengers
besieging	wh3_prologue_dervingard_garrison
besieging	wh3_prologue_gharhars
blockaded	wh2_dlc11_cst_vampire_coast_rebellion_rebels
blockaded	wh2_dlc13_lzd_avengers
blockaded	wh2_dlc15_dwf_clan_helhein
blockaded	wh2_dlc16_vmp_lahmian_sisterhood
blockaded	wh2_dlc17_dwf_thorek_ironbrow
blockaded	wh3_dlc21_vmp_jiangshi_rebels
blockaded	wh3_dlc24_cst_vampire_coast_bloated_rebels
blockading	wh2_dlc13_lzd_avengers
building_attrition	wh2_dlc13_lzd_avengers
building_attrition	wh3_prologue_kislev_expedition
chaos_territory	wh2_dlc09_rogue_black_creek_raiders
chaos_territory	wh2_dlc09_rogue_dwellers_of_zardok
chaos_territory	wh2_dlc09_rogue_eyes_of_the_jungle
chaos_territory	wh2_dlc09_rogue_pilgrims_of_myrmidia
chaos_territory	wh2_dlc11_brt_bretonnia_dil
chaos_territory	wh2_dlc11_cst_harpoon_the_sunken_land_corsairs
chaos_territory	wh2_dlc11_cst_rogue_bleak_coast_buccaneers
chaos_territory	wh2_dlc11_cst_rogue_boyz_of_the_forbidden_coast
chaos_territory	wh2_dlc11_cst_rogue_freebooters_of_port_royale
chaos_territory	wh2_dlc11_cst_rogue_grey_point_scuttlers
chaos_territory	wh2_dlc11_cst_rogue_terrors_of_the_dark_straights
chaos_territory	wh2_dlc11_cst_rogue_the_churning_gulf_raiders
chaos_territory	wh2_dlc11_cst_rogue_tyrants_of_the_black_ocean
chaos_territory	wh2_dlc11_cst_shanty_dragon_spine_privateers
chaos_territory	wh2_dlc11_cst_shanty_middle_sea_brigands
chaos_territory	wh2_dlc11_cst_shanty_shark_straight_seadogs
chaos_territory	wh2_dlc11_def_dark_elves_dil
chaos_territory	wh2_dlc11_emp_empire_dil
chaos_territory	wh2_dlc11_nor_norsca_dil
chaos_territory	wh2_dlc13_bst_beastmen_invasion
chaos_territory	wh2_dlc13_lzd_avengers
chaos_territory	wh2_dlc13_nor_norsca_invasion
chaos_territory	wh2_dlc16_chs_acolytes_of_the_keeper
chaos_territory	wh2_dlc16_emp_empire_qb8
chaos_territory	wh2_dlc17_bst_beastmen_qb4
chaos_territory	wh2_dlc17_bst_beastmen_qb5
chaos_territory	wh2_dlc17_bst_beastmen_qb6
chaos_territory	wh2_dlc17_bst_beastmen_qb7
chaos_territory	wh2_dlc17_bst_malagor
chaos_territory	wh2_dlc17_bst_taurox
chaos_territory	wh2_dlc17_lzd_oxyotl
chaos_territory	wh2_dlc17_nor_deadwood_ravagers
chaos_territory	wh2_main_bst_blooded_axe
chaos_territory	wh2_main_bst_manblight
chaos_territory	wh2_main_bst_ripper_horn
chaos_territory	wh2_main_bst_shadowgor
chaos_territory	wh2_main_bst_skrinderkin
chaos_territory	wh2_main_bst_stone_horn
chaos_territory	wh2_main_chs_chaos_incursion_def
chaos_territory	wh2_main_chs_chaos_incursion_hef
chaos_territory	wh2_main_chs_chaos_incursion_lzd
chaos_territory	wh2_main_chs_chaos_incursion_skv
chaos_territory	wh2_main_def_cult_of_excess
chaos_territory	wh2_main_def_cult_of_pleasure
chaos_territory	wh2_main_def_cult_of_pleasure_separatists
chaos_territory	wh2_main_def_ssildra_tor
chaos_territory	wh2_main_nor_aghol
chaos_territory	wh2_main_nor_hung_incursion_def
chaos_territory	wh2_main_nor_hung_incursion_hef
chaos_territory	wh2_main_nor_hung_incursion_lzd
chaos_territory	wh2_main_nor_hung_incursion_skv
chaos_territory	wh2_main_nor_mung
chaos_territory	wh2_main_nor_skeggi
chaos_territory	wh2_main_rogue_abominations
chaos_territory	wh2_main_rogue_beastcatchas
chaos_territory	wh2_main_rogue_bernhoffs_brigands
chaos_territory	wh2_main_rogue_black_spider_tribe
chaos_territory	wh2_main_rogue_boneclubbers_tribe
chaos_territory	wh2_main_rogue_celestial_storm
chaos_territory	wh2_main_rogue_college_of_pyrotechnics
chaos_territory	wh2_main_rogue_def_chs_vashnaar
chaos_territory	wh2_main_rogue_def_mengils_manflayers
chaos_territory	wh2_main_rogue_doomseekers
chaos_territory	wh2_main_rogue_gerhardts_mercenaries
chaos_territory	wh2_main_rogue_hef_tor_elithis
chaos_territory	wh2_main_rogue_hung_warband
chaos_territory	wh2_main_rogue_jerrods_errantry
chaos_territory	wh2_main_rogue_mangy_houndz
chaos_territory	wh2_main_rogue_morrsliebs_howlers
chaos_territory	wh2_main_rogue_pirates_of_the_far_sea
chaos_territory	wh2_main_rogue_pirates_of_the_southern_ocean
chaos_territory	wh2_main_rogue_pirates_of_trantio
chaos_territory	wh2_main_rogue_scions_of_tesseninck
chaos_territory	wh2_main_rogue_scourge_of_aquitaine
chaos_territory	wh2_main_rogue_stuff_snatchers
chaos_territory	wh2_main_rogue_teef_snatchaz
chaos_territory	wh2_main_rogue_the_wandering_dead
chaos_territory	wh2_main_rogue_troll_skullz
chaos_territory	wh2_main_rogue_vauls_expedition
