key	effects	duration	expended_cost	required_cost	image_path	upkeep_cost	point_cost	cooldown	swap_cost	sort_order	on_trigger_vo_event
#initiatives_tables;10;db/initiatives_tables/data__											
wh3_cp1_feature_initiatives_cth_ancillaries_armours	wh3_cp1_feature_initiatives_cth_ancillaries_armours_effects	-1					0	0		0	
wh3_cp1_feature_initiatives_cth_ancillaries_talisman	wh3_cp1_feature_initiatives_cth_ancillaries_talisman_effects	-1					0	0		0	
wh3_cp1_feature_initiatives_cth_ancillaries_weapons	wh3_cp1_feature_initiatives_cth_ancillaries_weapons_effects	-1					0	0		0	
wh3_cp1_feature_initiatives_cth_buildings_celestial	wh3_cp1_feature_initiatives_cth_military_buildings_3	-1					0	0		0	
wh3_cp1_feature_initiatives_cth_buildings_gun	wh3_cp1_feature_initiatives_cth_military_buildings_2	-1					0	0		0	
wh3_cp1_feature_initiatives_cth_buildings_jade	wh3_cp1_feature_initiatives_cth_military_buildings_1	-1					0	0		0	
wh3_cp1_feature_initiatives_cth_buildings_machines	wh3_cp1_feature_initiatives_cth_military_buildings_4	-1					0	0		0	
wh3_cp1_feature_initiatives_cth_court_decrees_bhashiva_1	wh3_cp1_feature_initiatives_cth_court_decrees_bhashiva_1	-1			UI\skins\default\cp1_cth_tiger_court\icons_decrees\wh3_cp1_tiger_court_decree_white_tiger_3.png		0	1		0	
wh3_cp1_feature_initiatives_cth_court_decrees_bhashiva_2	wh3_cp1_feature_initiatives_cth_court_decrees_bhashiva_2	-1			UI\skins\default\cp1_cth_tiger_court\icons_decrees\wh3_cp1_tiger_court_decree_white_tiger_2.png		0	1		0	
wh3_cp1_feature_initiatives_cth_court_decrees_bhashiva_3	wh3_cp1_feature_initiatives_cth_court_decrees_bhashiva_3	-1			UI\skins\default\cp1_cth_tiger_court\icons_decrees\wh3_cp1_tiger_court_decree_white_tiger_1.png		0	1		0	
wh3_cp1_feature_initiatives_cth_court_decrees_military_1	wh3_cp1_feature_initiatives_cth_court_decrees_military_1	-1			UI\skins\default\cp1_cth_tiger_court\icons_decrees\wh3_cp1_tiger_court_decree_kamau_3.png		0	1		0	
wh3_cp1_feature_initiatives_cth_court_decrees_military_2	wh3_cp1_feature_initiatives_cth_court_decrees_military_2	-1			UI\skins\default\cp1_cth_tiger_court\icons_decrees\wh3_cp1_tiger_court_decree_kamau_2.png		0	1		0	
wh3_cp1_feature_initiatives_cth_court_decrees_military_3	wh3_cp1_feature_initiatives_cth_court_decrees_military_3	-1			UI\skins\default\cp1_cth_tiger_court\icons_decrees\wh3_cp1_tiger_court_decree_kamau_1.png		0	1		0	
