key	hit_points	model	battle_entity	gun_type	docking_clearance	engine	image_path	recruitment_cap	uses_8m_wall	uses_15m_wall	cost	category_image_path	special_edition_mask	ignition_threshold	attack_damage	selection_priority	sort_order	autoresolver_effectiveness	audio_type
#battlefield_siege_vehicles_tables;18;db/battlefield_siege_vehicles_tables/data__																			
brt_battering_ram	16000	brt_batteringram	battering_ram		2.0000		UI/Battle UI/siege_vehicle_icons/battering_ram_medium.png	-1	true	true	0	UI/Battle UI/siege_vehicle_icons/battering_ram_cat.png	0	3000	3000.0000	1.0000	0	0.5000	
brt_siege_tower_15m	12000	brt_siege_tower_15m	siege_tower		3.2000		UI/Battle UI/siege_vehicle_icons/siege_tower_medium.png	-1	false	true	0	UI/Battle UI/siege_vehicle_icons/tower_cat.png	0	2000	0.0000	2.0000	6	1.0000	wh_war_machine_brt_large
bst_battering_ram	16000	bst_batteringram	battering_ram		2.0000		UI/Battle UI/siege_vehicle_icons/battering_ram_medium.png	-1	true	true	0	UI/Battle UI/siege_vehicle_icons/battering_ram_cat.png	0	3000	3000.0000	1.0000	13	0.5000	
bst_siege_tower_15m	12000	bst_siege_tower_15m	siege_tower		3.2000		UI/Battle UI/siege_vehicle_icons/siege_tower_medium.png	-1	false	true	0	UI/Battle UI/siege_vehicle_icons/tower_cat.png	0	2000	0.0000	2.0000	14	1.0000	
chs_battering_ram	16000	chs_batteringram	battering_ram		2.0000		UI/Battle UI/siege_vehicle_icons/battering_ram_medium.png	-1	true	true	0	UI/Battle UI/siege_vehicle_icons/battering_ram_cat.png	0	3000	3000.0000	1.0000	1	0.5000	
chs_siege_tower_15m	12000	chs_siege_tower_15m	siege_tower		3.2000		UI/Battle UI/siege_vehicle_icons/siege_tower_medium.png	-1	false	true	0	UI/Battle UI/siege_vehicle_icons/tower_cat.png	0	2000	0.0000	2.0000	7	1.0000	
cst_battering_ram	16000	cst_batteringram	battering_ram		2.0000		UI/Battle UI/siege_vehicle_icons/battering_ram_medium.png	-1	true	true	0	UI/Battle UI/siege_vehicle_icons/battering_ram_cat.png	0	3000	3000.0000	1.0000	3	0.5000	
cst_siege_tower_15m	12000	cst_siege_tower_15m	siege_tower		3.2000		UI/Battle UI/siege_vehicle_icons/siege_tower_medium.png	-1	false	true	0	UI/Battle UI/siege_vehicle_icons/tower_cat.png	0	2000	0.0000	2.0000	13	1.0000	
cth_battering_ram	16000	cth_batteringram	battering_ram		2.0000		UI/Battle UI/siege_vehicle_icons/battering_ram_medium.png	-1	true	true	0	UI/Battle UI/siege_vehicle_icons/battering_ram_cat.png	0	3000	3000.0000	1.0000	3	0.5000	
cth_batteringram	500	cth_batteringram	battering_ram		2.0000		UI/Battle UI/siege_vehicle_icons/siege_tower.png	-1	false	false	0	PLACEHOLDER	0	100	0.0000	1.0000	0	0.0000	
cth_siege_tower_15m	12000	cth_siege_tower_15m	siege_tower		3.2000		UI/Battle UI/siege_vehicle_icons/siege_tower_medium.png	-1	false	true	0	UI/Battle UI/siege_vehicle_icons/tower_cat.png	0	2000	0.0000	2.0000	13	1.0000	
def_battering_ram	16000	def_batteringram	battering_ram		2.0000		UI/Battle UI/siege_vehicle_icons/battering_ram_medium.png	-1	true	true	0	UI/Battle UI/siege_vehicle_icons/battering_ram_cat.png	0	3000	3000.0000	1.0000	3	0.5000	
def_siege_tower_15m	12000	def_siege_tower_15m	siege_tower		3.2000		UI/Battle UI/siege_vehicle_icons/siege_tower_medium.png	-1	false	true	0	UI/Battle UI/siege_vehicle_icons/tower_cat.png	0	2000	0.0000	2.0000	14	1.0000	
dwf_battering_ram	16000	dwf_batteringram	battering_ram		2.0000		UI/Battle UI/siege_vehicle_icons/battering_ram_medium.png	-1	true	true	0	UI/Battle UI/siege_vehicle_icons/battering_ram_cat.png	0	3000	3000.0000	1.0000	2	0.5000	
dwf_siege_tower_15m	12000	dwf_siege_tower_15m	siege_tower		3.2000		UI/Battle UI/siege_vehicle_icons/siege_tower_medium.png	-1	false	true	0	UI/Battle UI/siege_vehicle_icons/tower_cat.png	0	2000	0.0000	2.0000	8	1.0000	
emp_battering_ram	16000	emp_batteringram	battering_ram		2.0000		UI/Battle UI/siege_vehicle_icons/battering_ram_medium.png	-1	true	true	0	UI/Battle UI/siege_vehicle_icons/battering_ram_cat.png	0	3000	3000.0000	1.0000	3	0.5000	
emp_siege_tower_15m	12000	emp_siege_tower_15m	siege_tower		3.2000		UI/Battle UI/siege_vehicle_icons/siege_tower_medium.png	-1	false	true	0	UI/Battle UI/siege_vehicle_icons/tower_cat.png	0	2000	0.0000	2.0000	10	1.0000	
grn_battering_ram	16000	grn_batteringram	battering_ram		2.0000		UI/Battle UI/siege_vehicle_icons/battering_ram_medium.png	-1	true	true	0	UI/Battle UI/siege_vehicle_icons/battering_ram_cat.png	0	3000	3000.0000	1.0000	4	0.5000	
grn_siege_tower_15m	12000	grn_siege_tower_15m	siege_tower		3.2000		UI/Battle UI/siege_vehicle_icons/siege_tower_medium.png	-1	false	true	0	UI/Battle UI/siege_vehicle_icons/tower_cat.png	0	2000	0.0000	2.0000	11	1.0000	
hef_battering_ram	16000	hef_batteringram	battering_ram		2.0000		UI/Battle UI/siege_vehicle_icons/battering_ram_medium.png	-1	true	true	0	UI/Battle UI/siege_vehicle_icons/battering_ram_cat.png	0	3000	3000.0000	1.0000	3	0.5000	
hef_siege_tower_15m	12000	hef_siege_tower_15m	siege_tower		3.2000		UI/Battle UI/siege_vehicle_icons/siege_tower_medium.png	-1	false	true	0	UI/Battle UI/siege_vehicle_icons/tower_cat.png	0	2000	0.0000	2.0000	10	1.0000	
kho_battering_ram	16000	kho_batteringram	battering_ram		2.0000		UI/Battle UI/siege_vehicle_icons/battering_ram_medium.png	-1	true	true	0	UI/Battle UI/siege_vehicle_icons/battering_ram_cat.png	0	3000	3000.0000	1.0000	3	0.5000	
kho_batteringram	500	kho_batteringram	battering_ram		2.0000		UI/Battle UI/siege_vehicle_icons/siege_tower.png	-1	false	false	0	PLACEHOLDER	0	100	0.0000	1.0000	0	0.0000	
