special_ability_groups	unit_special_abilities
#special_ability_groups_to_unit_abilities_junctions_tables;1;db/special_ability_groups_to_unit_abilities_junctions_tables/data__	
wh2_dlc09_lore_nehekhara_upgraded	wh2_dlc09_spell_nehekhara_djafs_incantation_of_cursed_blades_upgraded
wh2_dlc09_lore_nehekhara_upgraded	wh2_dlc09_spell_nehekhara_nerus_incantation_of_protection_upgraded
wh2_dlc09_lore_nehekhara_upgraded	wh2_dlc09_spell_nehekhara_ptras_incantation_of_righteous_smiting_upgraded
wh2_dlc09_lore_nehekhara_upgraded	wh2_dlc09_spell_nehekhara_sakhmets_incantation_of_the_skullstorm_upgraded
wh2_dlc09_lore_nehekhara_upgraded	wh2_dlc09_spell_nehekhara_usekhps_incantation_of_desiccation_upgraded
wh2_dlc09_lore_nehekhara_upgraded	wh2_dlc09_spell_nehekhara_usirians_incantation_of_vengeance_upgraded
wh2_dlc09_lore_nehekhara	wh2_dlc09_lore_passive_the_restless_dead
wh2_dlc09_lore_nehekhara	wh2_dlc09_spell_nehekhara_djafs_incantation_of_cursed_blades
wh2_dlc09_lore_nehekhara	wh2_dlc09_spell_nehekhara_nerus_incantation_of_protection
wh2_dlc09_lore_nehekhara	wh2_dlc09_spell_nehekhara_ptras_incantation_of_righteous_smiting
wh2_dlc09_lore_nehekhara	wh2_dlc09_spell_nehekhara_sakhmets_incantation_of_the_skullstorm
wh2_dlc09_lore_nehekhara	wh2_dlc09_spell_nehekhara_usekhps_incantation_of_desiccation
wh2_dlc09_lore_nehekhara	wh2_dlc09_spell_nehekhara_usirians_incantation_of_vengeance
wh2_dlc10_lore_alarielle	wh2_main_lore_passive_shield_of_saphery
wh2_dlc10_lore_alarielle	wh2_main_spell_high_magic_arcane_unforging
wh2_dlc10_lore_alarielle	wh2_main_spell_high_magic_tempest
wh2_dlc10_lore_alarielle	wh_dlc05_lore_passive_life_bloom
wh2_dlc10_lore_alarielle	wh_dlc05_spell_life_earth_blood
wh2_dlc10_lore_alarielle	wh_dlc05_spell_life_shield_of_thorns
wh2_dlc10_lore_alarielle	wh_main_spell_light_banishment
wh2_dlc10_lore_alarielle	wh_main_spell_light_phas_protection
wh2_dlc11_lore_deep_upgraded	wh2_dlc11_spell_deep_fog_of_the_damned_upgraded
wh2_dlc11_lore_deep_upgraded	wh2_dlc11_spell_deep_ghost_ship_upgraded
wh2_dlc11_lore_deep_upgraded	wh2_dlc11_spell_deep_krakens_pull_upgraded
wh2_dlc11_lore_deep_upgraded	wh2_dlc11_spell_deep_spiteful_shot_upgraded
wh2_dlc11_lore_deep_upgraded	wh2_dlc11_spell_deep_tidecall_upgraded
wh2_dlc11_lore_deep	wh2_dlc11_lore_passive_kiss_of_the_deep
wh2_dlc11_lore_deep	wh2_dlc11_spell_deep_denizens_of_the_deep
wh2_dlc11_lore_deep	wh2_dlc11_spell_deep_fog_of_the_damned
wh2_dlc11_lore_deep	wh2_dlc11_spell_deep_ghost_ship
wh2_dlc11_lore_deep	wh2_dlc11_spell_deep_krakens_pull
wh2_dlc11_lore_deep	wh2_dlc11_spell_deep_spiteful_shot
wh2_dlc11_lore_deep	wh2_dlc11_spell_deep_tidecall
wh2_dlc11_lore_noctilus	wh2_dlc11_spell_vampires_drowned_dead
wh2_dlc11_lore_noctilus	wh_dlc05_lore_passive_smoke_and_mirrors
wh2_dlc11_lore_noctilus	wh_dlc05_spell_shadow_melkoths_mystifying_miasma
wh2_dlc11_lore_noctilus	wh_dlc05_spell_shadow_pit_of_shades
wh2_dlc11_lore_noctilus	wh_dlc05_spell_shadow_the_withering
wh2_dlc11_lore_noctilus	wh_main_lore_passive_the_curse_of_undeath
wh2_dlc11_lore_noctilus	wh_main_spell_vampires_invocation_of_nehek
wh2_dlc11_lore_noctilus	wh_main_spell_vampires_wind_of_death
wh2_dlc11_lore_vampire_pirates	wh2_dlc11_spell_vampires_drowned_dead
wh2_dlc11_lore_vampire_pirates	wh_main_lore_passive_the_curse_of_undeath
wh2_dlc11_lore_vampire_pirates	wh_main_spell_vampires_curse_of_years
wh2_dlc11_lore_vampire_pirates	wh_main_spell_vampires_gaze_of_nagash
wh2_dlc11_lore_vampire_pirates	wh_main_spell_vampires_invocation_of_nehek
wh2_dlc11_lore_vampire_pirates	wh_main_spell_vampires_vanhels_danse_macabre
wh2_dlc11_lore_vampire_pirates	wh_main_spell_vampires_wind_of_death
wh2_dlc11_vmp_lore_lahmian	wh_dlc05_spell_shadow_okkams_mindrazor
wh2_dlc11_vmp_lore_lahmian	wh_dlc05_spell_shadow_the_enfeebling_foe
wh2_dlc11_vmp_lore_lahmian	wh_dlc05_spell_shadow_the_penumbral_pendulum
wh2_dlc11_vmp_lore_lahmian	wh_main_lore_passive_the_curse_of_undeath
wh2_dlc11_vmp_lore_lahmian	wh_main_spell_vampires_invocation_of_nehek
wh2_dlc11_vmp_lore_lahmian	wh_main_spell_vampires_raise_dead
wh2_dlc11_vmp_lore_lahmian	wh_main_spell_vampires_wind_of_death
wh2_dlc11_vmp_lore_necrarch	wh_dlc03_lore_passive_wild_heart
wh2_dlc11_vmp_lore_necrarch	wh_dlc03_spell_beasts_panns_impenetrable_pelt
wh2_dlc11_vmp_lore_necrarch	wh_dlc03_spell_beasts_the_curse_of_anraheir
wh2_dlc11_vmp_lore_necrarch	wh_main_lore_passive_life_leeching
wh2_dlc11_vmp_lore_necrarch	wh_main_lore_passive_the_curse_of_undeath
wh2_dlc11_vmp_lore_necrarch	wh_main_spell_death_spirit_leech
wh2_dlc11_vmp_lore_necrarch	wh_main_spell_death_the_purple_sun_of_xereus
wh2_dlc11_vmp_lore_necrarch	wh_main_spell_vampires_invocation_of_nehek
wh2_dlc11_vmp_lore_necrarch	wh_main_spell_vampires_raise_dead
wh2_dlc11_vmp_lore_von_carstein	wh2_dlc11_spell_beasts_transformation_of_kadon
wh2_dlc11_vmp_lore_von_carstein	wh_dlc03_spell_beasts_flock_of_doom
wh2_dlc11_vmp_lore_von_carstein	wh_main_lore_passive_the_curse_of_undeath
wh2_dlc11_vmp_lore_von_carstein	wh_main_spell_vampires_invocation_of_nehek
wh2_dlc11_vmp_lore_von_carstein	wh_main_spell_vampires_raise_dead
wh2_dlc11_vmp_lore_von_carstein	wh_main_spell_vampires_vanhels_danse_macabre
wh2_dlc11_vmp_lore_von_carstein	wh_main_spell_vampires_wind_of_death
wh2_dlc12_lore_lord_kroak	wh2_dlc12_spell_kroak_deliverance_of_itza_1
wh2_dlc12_lore_lord_kroak	wh2_dlc12_spell_kroak_deliverance_of_itza_2
wh2_dlc12_lore_lord_kroak	wh2_dlc12_spell_kroak_deliverance_of_itza_3
wh2_dlc14_lore_stealth_upgraded	wh2_dlc14_spell_stealth_armour_of_darkness_upgraded
wh2_dlc14_lore_stealth_upgraded	wh2_dlc14_spell_stealth_black_whirlwind_upgraded
wh2_dlc14_lore_stealth_upgraded	wh2_dlc14_spell_stealth_brittle_bone_upgraded
wh2_dlc14_lore_stealth_upgraded	wh2_dlc14_spell_stealth_veil_of_shadows_upgraded
wh2_dlc14_lore_stealth_upgraded	wh2_dlc14_spell_stealth_warp_stars_upgraded
wh2_dlc14_lore_stealth_upgraded	wh2_main_spell_ruin_skitterleap_upgraded
wh2_dlc14_lore_stealth	wh2_dlc14_lore_passive_toxic_rain
wh2_dlc14_lore_stealth	wh2_dlc14_spell_stealth_armour_of_darkness
wh2_dlc14_lore_stealth	wh2_dlc14_spell_stealth_black_whirlwind
wh2_dlc14_lore_stealth	wh2_dlc14_spell_stealth_brittle_bone
wh2_dlc14_lore_stealth	wh2_dlc14_spell_stealth_veil_of_shadows
wh2_dlc14_lore_stealth	wh2_dlc14_spell_stealth_warp_stars
wh2_dlc14_lore_stealth	wh2_main_spell_ruin_skitterleap
wh2_dlc15_lore_beasts_eagle	wh2_dlc15_spell_beasts_transformation_of_kadon
wh2_dlc15_lore_beasts_eagle	wh_dlc03_lore_passive_wild_heart
wh2_dlc15_lore_beasts_eagle	wh_dlc03_spell_beasts_flock_of_doom
wh2_dlc15_lore_beasts_eagle	wh_dlc03_spell_beasts_panns_impenetrable_pelt
wh2_dlc15_lore_beasts_eagle	wh_dlc03_spell_beasts_the_amber_spear
wh2_dlc15_lore_beasts_eagle	wh_dlc03_spell_beasts_the_curse_of_anraheir
wh2_dlc15_lore_beasts_eagle	wh_dlc03_spell_beasts_wyssans_wildform
wh2_dlc16_lore_ariel	wh2_dlc16_lore_passive_ancients_protection
wh2_dlc16_lore_ariel	wh2_dlc16_lore_passive_wrath_of_the_wood
wh2_dlc16_lore_ariel	wh2_main_spell_dark_magic_soul_stealer
wh2_dlc16_lore_ariel	wh2_main_spell_dark_magic_word_of_pain
wh2_dlc16_lore_ariel	wh2_main_spell_high_magic_apotheosis
wh2_dlc16_lore_ariel	wh2_main_spell_high_magic_tempest
wh2_dlc16_lore_ariel	wh_dlc05_lore_passive_life_bloom
wh2_dlc16_lore_ariel	wh_dlc05_spell_life_shield_of_thorns
wh2_dlc16_lore_ariel	wh_dlc05_spell_life_the_dwellers_below
wh2_dlc16_lore_coeddil	wh2_main_lore_passive_spiteful_conjuration
wh2_dlc16_lore_coeddil	wh2_main_spell_dark_magic_doombolt
wh2_dlc16_lore_coeddil	wh2_main_spell_dark_magic_power_of_darkness
wh2_dlc16_lore_coeddil	wh2_main_spell_dark_magic_word_of_pain
wh2_dlc16_lore_coeddil	wh_dlc03_spell_beasts_flock_of_doom
wh2_dlc16_lore_coeddil	wh_dlc03_spell_beasts_transformation_of_kadon
wh2_dlc16_lore_coeddil	wh_dlc03_spell_beasts_wyssans_wildform
