key	text_to_display
#food_factors_tables;0;db/food_factors_tables/data__	
wh_dlc05_amber_allies	{{tr:amber_cost_allies}}
wh_dlc05_amber_events	{{tr:amber_cost_events}}
wh_dlc05_amber_regions	{{tr:amber_cost_region}}
wh_dlc07_chivalry_ambushing	{{tr:chivalry_ambushing}}
wh_dlc07_chivalry_battle_close_defeat	[[sortorder:3]][[/sortorder]]{{tr:chivalry_battle_close_defeat}}
wh_dlc07_chivalry_battle_close_victory	[[sortorder:3]][[/sortorder]]{{tr:chivalry_battle_close_victory}}
wh_dlc07_chivalry_battle_crushing_defeat	[[sortorder:1]][[/sortorder]]{{tr:chivalry_battle_crushing_defeat}}
wh_dlc07_chivalry_battle_decisive_defeat	[[sortorder:2]][[/sortorder]]{{tr:chivalry_battle_decisive_defeat}}
wh_dlc07_chivalry_battle_decisive_victory	[[sortorder:2]][[/sortorder]]{{tr:chivalry_battle_decisive_victory}}
wh_dlc07_chivalry_battle_heroic_victory	[[sortorder:1]][[/sortorder]]{{tr:chivalry_battle_heroic_victory}}
wh_dlc07_chivalry_battle_pyrrhic_victory	[[sortorder:4]][[/sortorder]]{{tr:chivalry_battle_pyrrhic_victory}}
wh_dlc07_chivalry_battle_valiant_defeat	[[sortorder:4]][[/sortorder]]{{tr:chivalry_battle_valiant_defeat}}
wh_dlc07_chivalry_dilemmas	{{tr:chivalry_dilemmas}}
wh_dlc07_chivalry_events	{{tr:chivalry_events}}
wh_dlc07_chivalry_raiding	{{tr:chivalry_raiding}}
wh_dlc07_chivalry_ransom	{{tr:chivalry_ransom}}
wh_dlc07_chivalry_razing	{{tr:chivalry_razing}}
wh_dlc07_chivalry_razing_humans	{{tr:chivalry_razing_humans}}
wh_dlc07_chivalry_sacking	{{tr:chivalry_sacking}}
wh_dlc07_chivalry_traits_bad	{{tr:chivalry_traits_bad}}
wh_dlc07_chivalry_traits_good	{{tr:chivalry_traits_good}}
wh_dlc07_chivalry_war	{{tr:chivalry_war}}
