operation_armory_item	operation_set
#campaign_operation_set_armory_item_elements_tables;0;db/campaign_operation_set_armory_item_elements_tables/data__	
wh3_main_dae_cha_daemon_prince_tail_living_5	wh3_main_operation_set_dae_khorne_1120
wh3_main_dae_cha_daemon_prince_torso_brasscollar_4	wh3_main_operation_set_dae_khorne_1260
wh3_main_dae_cha_daemon_prince_arm_l_armoured_2	wh3_main_operation_set_dae_khorne_1400
wh3_main_dae_cha_daemon_prince_torso_brasscollar_1	wh3_main_operation_set_dae_khorne_140
wh3_main_dae_cha_daemon_prince_head_beast_1	wh3_main_operation_set_dae_khorne_1540
wh3_main_dae_cha_daemon_prince_legs_beast_8	wh3_main_operation_set_dae_khorne_1680
wh3_main_dae_cha_daemon_prince_wings_beast_4	wh3_main_operation_set_dae_khorne_1820
wh3_main_dae_cha_daemon_prince_tail_living_4	wh3_main_operation_set_dae_khorne_1960
wh3_main_dae_cha_daemon_prince_arm_l_armoured_5	wh3_main_operation_set_dae_khorne_2100
wh3_main_dae_cha_daemon_prince_wings_beast_6	wh3_main_operation_set_dae_khorne_2240
wh3_main_dae_cha_daemon_prince_arm_r_armoured_5	wh3_main_operation_set_dae_khorne_2380
wh3_main_dae_cha_daemon_prince_torso_brasscollar_2	wh3_main_operation_set_dae_khorne_2520
wh3_main_dae_cha_daemon_prince_tail_living_3	wh3_main_operation_set_dae_khorne_2660
wh3_main_dae_cha_daemon_prince_arm_r_armoured_4	wh3_main_operation_set_dae_khorne_2800
wh3_main_dae_cha_daemon_prince_tail_living_2	wh3_main_operation_set_dae_khorne_280
wh3_main_dae_cha_daemon_prince_head_beast_5	wh3_main_operation_set_dae_khorne_2940
wh3_main_dae_cha_daemon_prince_wings_beast_2	wh3_main_operation_set_dae_khorne_3080
wh3_main_dae_cha_daemon_prince_arm_l_armoured_3	wh3_main_operation_set_dae_khorne_3220
wh3_main_dae_cha_daemon_prince_head_beast_3	wh3_main_operation_set_dae_khorne_3360
wh3_main_dae_cha_daemon_prince_arm_r_armoured_3	wh3_main_operation_set_dae_khorne_3500
wh3_main_dae_cha_daemon_prince_torso_brasscollar_5	wh3_main_operation_set_dae_khorne_3640
wh3_main_dae_cha_daemon_prince_torso_base_2	wh3_main_operation_set_dae_khorne_4060
wh3_main_dae_cha_daemon_prince_weapon_bloodletter_sword_1	wh3_main_operation_set_dae_khorne_4060
wh3_main_dae_cha_daemon_prince_tail_living_1	wh3_main_operation_set_dae_khorne_4200
wh3_main_dae_cha_daemon_prince_weapon_bloodthirster_great_axe_1	wh3_main_operation_set_dae_khorne_4200
wh3_main_dae_cha_daemon_prince_weapon_skullcrusher_halberd_1	wh3_main_operation_set_dae_khorne_4200
wh3_main_dae_cha_daemon_prince_head_beast_2	wh3_main_operation_set_dae_khorne_420
wh3_main_dae_cha_daemon_prince_legs_beast_2	wh3_main_operation_set_dae_khorne_4340
wh3_main_dae_cha_daemon_prince_torso_magical_heavy_2	wh3_main_operation_set_dae_khorne_4340
wh3_main_dae_cha_daemon_prince_weapon_bloodthirster_axe_1	wh3_main_operation_set_dae_khorne_4340
wh3_main_dae_cha_daemon_prince_legs_beast_4	wh3_main_operation_set_dae_khorne_4480
wh3_main_dae_cha_daemon_prince_weapon_skullcrusher_shield_1	wh3_main_operation_set_dae_khorne_4480
wh3_main_dae_cha_daemon_prince_wings_beast_5	wh3_main_operation_set_dae_khorne_4480
wh3_main_dae_cha_daemon_prince_legs_beast_1	wh3_main_operation_set_dae_khorne_4620
wh3_main_dae_cha_daemon_prince_weapon_skullcrusher_halberd_2	wh3_main_operation_set_dae_khorne_4620
wh3_main_dae_cha_daemon_prince_wings_beast_3	wh3_main_operation_set_dae_khorne_4620
wh3_main_dae_cha_daemon_prince_arm_l_armoured_1	wh3_main_operation_set_dae_khorne_4760
wh3_main_dae_cha_daemon_prince_arm_r_armoured_1	wh3_main_operation_set_dae_khorne_4760
wh3_main_dae_cha_daemon_prince_weapon_bloodthirster_axe_2	wh3_main_operation_set_dae_khorne_4760
wh3_main_dae_cha_daemon_prince_head_beast_4	wh3_main_operation_set_dae_khorne_4900
wh3_main_dae_cha_daemon_prince_legs_beast_3	wh3_main_operation_set_dae_khorne_4900
wh3_main_dae_cha_daemon_prince_torso_brasscollar_3	wh3_main_operation_set_dae_khorne_4900
wh3_main_dae_cha_daemon_prince_weapon_bloodletter_sword_2	wh3_main_operation_set_dae_khorne_5040
wh3_main_dae_cha_daemon_prince_weapon_bloodletter_sword_3	wh3_main_operation_set_dae_khorne_5040
wh3_main_dae_cha_daemon_prince_weapon_skullcrusher_shield_2	wh3_main_operation_set_dae_khorne_5040
wh3_main_dae_cha_daemon_prince_arm_l_armoured_6	wh3_main_operation_set_dae_khorne_5180
wh3_main_dae_cha_daemon_prince_arm_r_armoured_6	wh3_main_operation_set_dae_khorne_5180
wh3_main_dae_cha_daemon_prince_legs_beast_6	wh3_main_operation_set_dae_khorne_5180
wh3_main_dae_cha_daemon_prince_head_beast_6	wh3_main_operation_set_dae_khorne_5320
wh3_main_dae_cha_daemon_prince_torso_brasscollar_6	wh3_main_operation_set_dae_khorne_5320
wh3_main_dae_cha_daemon_prince_weapon_bloodthirster_great_axe_3	wh3_main_operation_set_dae_khorne_5320
wh3_main_dae_cha_daemon_prince_legs_beast_5	wh3_main_operation_set_dae_khorne_5460
wh3_main_dae_cha_daemon_prince_tail_living_6	wh3_main_operation_set_dae_khorne_5460
wh3_main_dae_cha_daemon_prince_weapon_skullcrusher_halberd_3	wh3_main_operation_set_dae_khorne_5460
wh3_main_dae_cha_daemon_prince_weapon_bloodthirster_axe_3	wh3_main_operation_set_dae_khorne_5600
wh3_main_dae_cha_daemon_prince_weapon_bloodthirster_great_axe_2	wh3_main_operation_set_dae_khorne_5600
wh3_main_dae_cha_daemon_prince_weapon_skullcrusher_shield_3	wh3_main_operation_set_dae_khorne_5600
wh3_main_dae_cha_daemon_prince_arm_l_armoured_4	wh3_main_operation_set_dae_khorne_560
wh3_main_dae_cha_daemon_prince_wings_beast	wh3_main_operation_set_dae_khorne_700
wh3_main_dae_cha_daemon_prince_legs_beast_7	wh3_main_operation_set_dae_khorne_840
wh3_main_dae_cha_daemon_prince_arm_r_armoured_2	wh3_main_operation_set_dae_khorne_980
wh3_main_dae_cha_daemon_prince_head_base_11	wh3_main_operation_set_dae_nurgle_1120
wh3_main_dae_cha_daemon_prince_legs_corpulent_6	wh3_main_operation_set_dae_nurgle_1260
wh3_main_dae_cha_daemon_prince_torso_magical_medium_6	wh3_main_operation_set_dae_nurgle_1400
wh3_main_dae_cha_daemon_prince_wings_corpulent	wh3_main_operation_set_dae_nurgle_140
wh3_main_dae_cha_daemon_prince_arm_l_corpulent_6	wh3_main_operation_set_dae_nurgle_1540
wh3_main_dae_cha_daemon_prince_arm_r_corpulent_5	wh3_main_operation_set_dae_nurgle_1680
wh3_main_dae_cha_daemon_prince_wings_corpulent_3	wh3_main_operation_set_dae_nurgle_1820
wh3_main_dae_cha_daemon_prince_head_base_7	wh3_main_operation_set_dae_nurgle_1960
wh3_main_dae_cha_daemon_prince_weapon_dragon_ogre_shaggoth_axe_1	wh3_main_operation_set_dae_nurgle_2100
wh3_main_dae_cha_daemon_prince_legs_corpulent_7	wh3_main_operation_set_dae_nurgle_2240
wh3_main_dae_cha_daemon_prince_torso_magical_heavy_4	wh3_main_operation_set_dae_nurgle_2380
wh3_main_dae_cha_daemon_prince_wings_corpulent_2	wh3_main_operation_set_dae_nurgle_2520
wh3_main_dae_cha_daemon_prince_tail_corpulent_6	wh3_main_operation_set_dae_nurgle_2660
wh3_main_dae_cha_daemon_prince_weapon_dragon_ogre_hammer_1	wh3_main_operation_set_dae_nurgle_2800
wh3_main_dae_cha_daemon_prince_tail_corpulent_3	wh3_main_operation_set_dae_nurgle_280
wh3_main_dae_cha_daemon_prince_head_base_9	wh3_main_operation_set_dae_nurgle_2940
wh3_main_dae_cha_daemon_prince_wings_corpulent_6	wh3_main_operation_set_dae_nurgle_3080
wh3_main_dae_cha_daemon_prince_weapon_dragon_ogre_hammer_4	wh3_main_operation_set_dae_nurgle_3220
