armory_item	slot
#armory_item_slot_blacklists_tables;0;db/armory_item_slot_blacklists_tables/data__	
wh3_main_dae_cha_daemon_prince_arm_l_scythe_1	shield
wh3_main_dae_cha_daemon_prince_arm_l_scythe_1	weapon_1
wh3_main_dae_cha_daemon_prince_arm_l_scythe_2	shield
wh3_main_dae_cha_daemon_prince_arm_l_scythe_2	weapon_1
wh3_main_dae_cha_daemon_prince_arm_l_scythe_3	shield
wh3_main_dae_cha_daemon_prince_arm_l_scythe_3	weapon_1
wh3_main_dae_cha_daemon_prince_arm_l_scythe_4	shield
wh3_main_dae_cha_daemon_prince_arm_l_scythe_4	weapon_1
wh3_main_dae_cha_daemon_prince_arm_l_scythe_5	shield
wh3_main_dae_cha_daemon_prince_arm_l_scythe_5	weapon_1
wh3_main_dae_cha_daemon_prince_arm_l_scythe_6	shield
wh3_main_dae_cha_daemon_prince_arm_l_scythe_6	weapon_1
wh3_main_dae_cha_daemon_prince_arm_r_scythe_1	weapon_1
wh3_main_dae_cha_daemon_prince_arm_r_scythe_1	weapon_2
wh3_main_dae_cha_daemon_prince_arm_r_scythe_2	weapon_1
wh3_main_dae_cha_daemon_prince_arm_r_scythe_2	weapon_2
wh3_main_dae_cha_daemon_prince_arm_r_scythe_3	weapon_1
wh3_main_dae_cha_daemon_prince_arm_r_scythe_3	weapon_2
wh3_main_dae_cha_daemon_prince_arm_r_scythe_4	weapon_1
wh3_main_dae_cha_daemon_prince_arm_r_scythe_4	weapon_2
wh3_main_dae_cha_daemon_prince_arm_r_scythe_5	weapon_1
wh3_main_dae_cha_daemon_prince_arm_r_scythe_5	weapon_2
wh3_main_dae_cha_daemon_prince_arm_r_scythe_6	weapon_1
wh3_main_dae_cha_daemon_prince_arm_r_scythe_6	weapon_2
wh3_main_dae_cha_daemon_prince_weapon_bloodletter_sword_1	shield
wh3_main_dae_cha_daemon_prince_weapon_bloodletter_sword_1	weapon_2
wh3_main_dae_cha_daemon_prince_weapon_bloodletter_sword_2	shield
wh3_main_dae_cha_daemon_prince_weapon_bloodletter_sword_2	weapon_2
wh3_main_dae_cha_daemon_prince_weapon_bloodletter_sword_3	shield
wh3_main_dae_cha_daemon_prince_weapon_bloodletter_sword_3	weapon_2
wh3_main_dae_cha_daemon_prince_weapon_bloodthirster_axe_1	weapon_1
wh3_main_dae_cha_daemon_prince_weapon_bloodthirster_axe_2	weapon_1
wh3_main_dae_cha_daemon_prince_weapon_bloodthirster_axe_3	weapon_1
wh3_main_dae_cha_daemon_prince_weapon_bloodthirster_great_axe_1	shield
wh3_main_dae_cha_daemon_prince_weapon_bloodthirster_great_axe_1	weapon_2
wh3_main_dae_cha_daemon_prince_weapon_bloodthirster_great_axe_2	shield
wh3_main_dae_cha_daemon_prince_weapon_bloodthirster_great_axe_2	weapon_2
wh3_main_dae_cha_daemon_prince_weapon_bloodthirster_great_axe_3	shield
wh3_main_dae_cha_daemon_prince_weapon_bloodthirster_great_axe_3	weapon_2
wh3_main_dae_cha_daemon_prince_weapon_chaos_knight_lance_1	weapon_1
wh3_main_dae_cha_daemon_prince_weapon_chaos_knight_lance_2	weapon_1
wh3_main_dae_cha_daemon_prince_weapon_chaos_knight_lance_3	weapon_1
wh3_main_dae_cha_daemon_prince_weapon_chaos_knight_sword_1	weapon_1
wh3_main_dae_cha_daemon_prince_weapon_chaos_knight_sword_2	weapon_1
wh3_main_dae_cha_daemon_prince_weapon_chaos_knight_sword_3	weapon_1
wh3_main_dae_cha_daemon_prince_weapon_chaos_shield_1	weapon_1
wh3_main_dae_cha_daemon_prince_weapon_chaos_shield_2	weapon_1
wh3_main_dae_cha_daemon_prince_weapon_chaos_shield_3	weapon_1
wh3_main_dae_cha_daemon_prince_weapon_chaos_sorcerer_staff_1	weapon_1
wh3_main_dae_cha_daemon_prince_weapon_chaos_sorcerer_staff_2	weapon_1
wh3_main_dae_cha_daemon_prince_weapon_chaos_sorcerer_staff_3	weapon_1
