unit_special_ability	special_ability_toggle_groups
#unit_special_ability_to_special_ability_toggle_groups_junctions_tables;0;db/unit_special_ability_to_special_ability_toggle_groups_junctions_tables/data__	
wh2_dlc16_unit_abilities_whirling_death	wardancer_dances
wh3_dlc20_lord_abilities_harbinger_of_pestilence	wh3_dlc20_festus_exclusive_toggle
wh3_dlc20_lord_abilities_healing_elixirs	wh3_dlc20_festus_exclusive_toggle
wh3_dlc24_unit_abilities_bastion_of_the_great_cities	wh3_dlc24_zhangu_war_drum_exclusive_toggle
wh3_dlc24_unit_abilities_disdain_of_the_dragon_emperor	wh3_dlc24_zhangu_war_drum_exclusive_toggle
wh3_dlc24_unit_abilities_fury_of_the_falling_blade	wh3_dlc24_zhangu_war_drum_exclusive_toggle
wh_dlc05_unit_abilities_storm_of_blades	wardancer_dances
wh_dlc05_unit_abilities_the_shadows_coil	wardancer_dances
wh_dlc05_unit_abilities_woven_mist	wardancer_dances
