key	impact_dust	melee_dust	run_dust	walk_dust	footsteps	blood_spurt_small	blood_spurt_small	blood_spurt_large	blood_explosion	blood_spurt_large_decal	blood_explosion_decal	barrier_breaking	barrier_depleting	barrier_full	barrier_recharging	barrier_hit	teleport_out
#battle_entity_effects_junctions_tables;8;db/battle_entity_effects_junctions_tables/data__																	
artillery_effects		unit_artillery_combat	unit_artillery_running	unit_artillery_walking	entity_artillery_footstep	wh_dlc02_arrow_impact_blood_medium	wh_dlc02_arrow_impact_blood_medium	wh_dlc02_blood_dismember_stump_large	wh_dlc02_blood_explosion_medium	wh_dlc02_blood_dismember_stump_large_onground	wh_dlc02_blood_explosion_medium_onground	wh3_main_barrier_breaking_banner	wh3_main_barrier_depleting_banner	wh3_main_barrier_full_banner	wh3_main_barrier_recharging_banner	wh3_main_barrier_hit	wh3_main_teleport_out_entity
cavalry_effects	unit_cavalry_impact	unit_cavalry_combat	unit_cavalry_running	unit_cavalry_walking	entity_cavalry_footstep	wh_dlc02_arrow_impact_blood_medium	wh_dlc02_arrow_impact_blood_medium	wh_dlc02_blood_dismember_stump_large	wh_dlc02_blood_explosion_medium	wh_dlc02_blood_dismember_stump_large_onground	wh_dlc02_blood_explosion_medium_onground	wh3_main_barrier_breaking_banner	wh3_main_barrier_depleting_banner	wh3_main_barrier_full_banner	wh3_main_barrier_recharging_banner	wh3_main_barrier_hit	wh3_main_teleport_out_entity
cth_sentinel_effects	entity_artillery_footstep	entity_artillery_footstep	unit_giant_running	unit_giant_walking	wh3_cth_sentinel_effects	wh_dlc02_arrow_impact_blood_medium	wh_dlc02_arrow_impact_blood_medium	wh_dlc02_blood_dismember_stump_large	wh_dlc02_blood_explosion_medium	wh_dlc02_blood_dismember_stump_large_onground	wh_dlc02_blood_explosion_medium_onground	wh3_main_barrier_breaking_banner	wh3_main_barrier_depleting_banner	wh3_main_barrier_full_banner	wh3_main_barrier_recharging_banner	wh3_main_barrier_hit	wh3_main_teleport_out_entity
cth_sentinel_ror_effects	entity_artillery_footstep	entity_artillery_footstep	unit_giant_running	unit_giant_walking	wh3_cth_sentinel_effects_ror	wh_dlc02_arrow_impact_blood_medium	wh_dlc02_arrow_impact_blood_medium	wh_dlc02_blood_dismember_stump_large	wh_dlc02_blood_explosion_medium	wh_dlc02_blood_dismember_stump_large_onground	wh_dlc02_blood_explosion_medium_onground	wh3_main_barrier_breaking_banner	wh3_main_barrier_depleting_banner	wh3_main_barrier_full_banner	wh3_main_barrier_recharging_banner	wh3_main_barrier_hit	wh3_main_teleport_out_entity
ethereal_effects						wh_dlc02_arrow_impact_blood_medium	wh_dlc02_arrow_impact_blood_medium	wh_dlc02_blood_dismember_stump_large	wh_dlc02_blood_explosion_medium	wh_dlc02_blood_dismember_stump_large_onground	wh_dlc02_blood_explosion_medium_onground	wh3_main_barrier_breaking_banner	wh3_main_barrier_depleting_banner	wh3_main_barrier_full_banner	wh3_main_barrier_recharging_banner	wh3_main_barrier_hit	wh3_main_teleport_out_entity
giant_effects	unit_giant_impact	unit_giant_combat	unit_giant_running	unit_giant_walking	entity_giant_footstep	wh_dlc02_arrow_impact_blood_medium	wh_dlc02_arrow_impact_blood_medium	wh_dlc02_blood_dismember_stump_large	wh_dlc02_blood_explosion_medium	wh_dlc02_blood_dismember_stump_large_onground	wh_dlc02_blood_explosion_medium_onground	wh3_main_barrier_breaking_banner	wh3_main_barrier_depleting_banner	wh3_main_barrier_full_banner	wh3_main_barrier_recharging_banner	wh3_main_barrier_hit	wh3_main_teleport_out_entity
hovering_effects						wh_dlc02_arrow_impact_blood_medium	wh_dlc02_arrow_impact_blood_medium	wh_dlc02_blood_dismember_stump_large	wh_dlc02_blood_explosion_medium	wh_dlc02_blood_dismember_stump_large_onground	wh_dlc02_blood_explosion_medium_onground	wh3_main_barrier_breaking_banner	wh3_main_barrier_depleting_banner	wh3_main_barrier_full_banner	wh3_main_barrier_recharging_banner	wh3_main_barrier_hit	wh3_main_teleport_out_entity
infantry_effects	unit_infantry_impact	unit_infantry_combat	unit_infantry_running	unit_infantry_walking	entity_infantry_footstep	wh_dlc02_arrow_impact_blood_medium	wh_dlc02_arrow_impact_blood_medium	wh_dlc02_blood_dismember_stump_large	wh_dlc02_blood_explosion_medium	wh_dlc02_blood_dismember_stump_large_onground	wh_dlc02_blood_explosion_medium_onground	wh3_main_barrier_breaking_banner	wh3_main_barrier_depleting_banner	wh3_main_barrier_full_banner	wh3_main_barrier_recharging_banner	wh3_main_barrier_hit	wh3_main_teleport_out_entity
infantry_effects_noblood	unit_infantry_impact	unit_infantry_combat	unit_infantry_running	unit_infantry_walking	entity_infantry_footstep							wh3_main_barrier_breaking_banner	wh3_main_barrier_depleting_banner	wh3_main_barrier_full_banner	wh3_main_barrier_recharging_banner	wh3_main_barrier_hit	wh3_main_teleport_out_entity
