key	value
#_kv_fatigue_tables;0;db/_kv_fatigue_tables/data__	
charging	34.0000
climbing_ladders	10000.0000
climbing_walls	10000.0000
combat	19.0000
gradient_shallow_movement_multiplier	50.0000
gradient_steep_movement_multiplier	100.0000
gradient_very_steep_movement_multiplier	150.0000
idle	-18.0000
idle_in_building	-18.0000
idle_rain	-10.0000
idle_snow	-10.0000
limbering	6.0000
ready	-7.0000
running	4.0000
running_artillery_horse	6.0000
running_cavalry	6.0000
running_cavalry_light	6.0000
shooting	18.0000
threshold_active	2800.0000
threshold_exhausted	27000.0000
threshold_fresh	0.0000
threshold_max	30000.0000
threshold_tired	12600.0000
threshold_very_tired	18000.0000
threshold_winded	6600.0000
walking	-1.0000
walking_artillery	12.0000
walking_horse_artillery	2.0000
working	20.0000
