key	night_battles_only	your_force_type	their_force_type	war_contract_battles_only
#campaign_bonus_value_battle_context_specifiers_tables;1;db/campaign_bonus_value_battle_context_specifiers_tables/data__				
fighting_against_caravan	false		CARAVAN	false
fighting_against_contract_target	false			true
fighting_against_convoy	false		CONVOY	false
fighting_against_ogre_camp	false		OGRE_CAMP	false
fighting_battle_type_siege	false			false
fighting_battle_type_siege_subterranean	false			false
fighting_battle_type_subterranean	false			false
fighting_culture_any_elves	false			false
fighting_culture_any_elves_dwarfs_men	false			false
fighting_culture_beastmen	false			false
fighting_culture_beastmen_chaos_daemons_norsca	false			false
fighting_culture_beastmen_chaos_daemons_norsca_chaos_dwarfs	false			false
fighting_culture_beastmen_chaos_daemons_norsca_skaven	false			false
fighting_culture_beastmen_chaos_daemons_norsca_skaven_chaos_dwarfs	false			false
fighting_culture_beastmen_chaos_norsca	false			false
fighting_culture_bretonnia	false			false
fighting_culture_bretonnia_enemies	false			false
fighting_culture_cathay	false			false
fighting_culture_chaos	false			false
fighting_culture_chaos_dwarfs	false			false
fighting_culture_chaos_norsca	false			false
fighting_culture_corruption_inducing	false			false
fighting_culture_daemon_prince	false			false
fighting_culture_daemons	false			false
fighting_culture_daemons_chaos	false			false
fighting_culture_daemons_chaos_chaos_dwarfs_norsca	false			false
fighting_culture_daemons_chaos_norsca	false			false
fighting_culture_daemons_chaos_norsca_chaos_dwarfs	false			false
fighting_culture_daemons_undead	false			false
fighting_culture_darkelf	false			false
fighting_culture_death_and_destruction	false			false
fighting_culture_dwarfs	false			false
fighting_culture_dwarfs_greenskins	false			false
fighting_culture_dwarfs_lizardmen	false			false
fighting_culture_empire	false			false
fighting_culture_empire_and_bretonnia	false			false
fighting_culture_forces_of_destruction	false			false
fighting_culture_forces_of_order	false			false
fighting_culture_greenskin_skaven_lizardman_ogre	false			false
fighting_culture_greenskins	false			false
fighting_culture_greenskins_daemons_chaos_norsca	false			false
fighting_culture_greenskins_ogres_skaven	false			false
fighting_culture_highelf	false			false
fighting_culture_khorne	false			false
fighting_culture_kislev	false			false
fighting_culture_lizardmen	false			false
fighting_culture_men	false			false
fighting_culture_norsca	false			false
fighting_culture_nurgle	false			false
fighting_culture_ogres	false			false
fighting_culture_ogres_skaven	false			false
fighting_culture_rogue_armies	false			false
fighting_culture_skaven	false			false
fighting_culture_slaanesh	false			false
fighting_culture_tomb_kings	false			false
fighting_culture_tzeentch	false			false
fighting_culture_undead	false			false
fighting_culture_vampire_coast	false			false
fighting_culture_vampire_counts	false			false
fighting_culture_wood_elves	false			false
fighting_faction_Kurgan_Warband	false			false
fighting_faction_bretonnia	false			false
fighting_faction_empire	false			false
fighting_faction_tilea	false			false
fighting_force_status_theirs_besieging	false			false
fighting_force_status_theirs_plagued	false			false
fighting_force_status_yours_ambushing	false			false
fighting_force_status_yours_ambushing_ground_type_forest	false			false
fighting_force_status_yours_attacking	false			false
fighting_force_status_yours_attacking_at_sea	false			false
fighting_force_status_yours_attacking_lightning_strike	true			false
fighting_force_status_yours_besieging	false			false
fighting_force_status_yours_defending	false			false
fighting_ground_type_desert	false			false
fighting_ground_type_forest	false			false
fighting_ground_type_sea	false			false
fighting_territory_allied	false			false
fighting_territory_enemy_or_neutral_or_allied_army	false			false
fighting_territory_foreign	false			false
fighting_territory_own	false			false
fighting_territory_own_or_allied	false			false
