attrition_record	bonus_value_id	effect
#effect_bonus_value_attrition_record_junctions_tables;0;db/effect_bonus_value_attrition_record_junctions_tables/data__		
desert	immunity	wh2_dlc09_effect_force_army_campaign_attrition_desert_immunity
storm_sandstorm	immunity	wh2_dlc09_effect_force_army_campaign_attrition_sandstorm_immunity
chaos_territory	immunity	wh2_dlc11_effect_attrition_immunity_chaos
chaos_wastes	immunity	wh2_dlc11_effect_attrition_immunity_chaos
sea_monster_storm	immunity	wh2_dlc11_effect_attrition_immunity_sea_monster
mist	immunity	wh2_dlc11_effect_force_army_campaign_attrition_cursed_mist_immunity
non_vampire_territory	immunity	wh2_dlc11_effect_force_army_campaign_attrition_immunity_land_of_living_blood_dragon
non_vampire_territory	immunity	wh2_dlc11_effect_force_army_campaign_attrition_immunity_land_of_living
reef	immunity	wh2_dlc11_effect_force_army_campaign_attrition_immunity_reef
reef	immunity	wh2_dlc11_effect_force_army_campaign_attrition_storm_reef_immunity
storm_level_1	immunity	wh2_dlc11_effect_force_army_campaign_attrition_storm_reef_immunity
storm_level_2	immunity	wh2_dlc11_effect_force_army_campaign_attrition_storm_reef_immunity
storm_level_3	immunity	wh2_dlc11_effect_force_army_campaign_attrition_storm_reef_immunity
storm_level_4	immunity	wh2_dlc11_effect_force_army_campaign_attrition_storm_reef_immunity
storm_level_5	immunity	wh2_dlc11_effect_force_army_campaign_attrition_storm_reef_immunity
lizard_defenders	active	wh2_dlc13_effect_region_enable_lizard_defenders_attrition
besieged	damage_mod	wh2_dlc14_effect_attrition_enemy_siege_hidden
vampire_territory	immunity	wh2_dlc14_effect_attrition_immunity_undead
event_attrition	active	wh2_dlc14_effect_campaign_enable_attrition
disease	immunity	wh2_dlc14_skrolk_plague_immunity
desert	immunity	wh2_dlc15_effect_attrition_immunity_mountain_desert_imrik
mountain	immunity	wh2_dlc15_effect_attrition_immunity_mountain_desert_imrik
mist_of_yvresse	damage_mod	wh2_dlc15_effect_campaign_attrition_mist_of_yvresse_damage_modifier
regionless	immunity	wh2_dlc16_effect_attition_immunity_regionless
disease	immunity	wh2_dlc16_effect_attrition_immunity_plague
nurgle_plague	immunity	wh2_dlc16_effect_attrition_immunity_plague
plague_nurgle	immunity	wh2_dlc16_effect_attrition_immunity_plague
awakened_forest	active	wh2_dlc16_effect_campaign_enable_attrition_awakened_forest
chaos_territory	active	wh2_dlc16_effect_campaign_enable_attrition_chaos
chaos_wastes	active	wh2_dlc16_effect_campaign_enable_attrition_chaos
dlc17_despoiler_raiding	active	wh2_dlc17_effect_campaign_enable_attrition_chaos_raiding
dlc17_despoiler_raiding	damage_mod	wh2_dlc17_effect_force_army_campaign_attrition_despoiler_raiding_enemy
deep_sea	immunity	wh2_dlc17_effect_force_army_campaign_attrition_environmental_immunity
reef	immunity	wh2_dlc17_effect_force_army_campaign_attrition_environmental_immunity
sea_monster_storm	immunity	wh2_dlc17_effect_force_army_campaign_attrition_environmental_immunity
storm_level_1	immunity	wh2_dlc17_effect_force_army_campaign_attrition_environmental_immunity
storm_level_2	immunity	wh2_dlc17_effect_force_army_campaign_attrition_environmental_immunity
storm_level_3	immunity	wh2_dlc17_effect_force_army_campaign_attrition_environmental_immunity
storm_level_4	immunity	wh2_dlc17_effect_force_army_campaign_attrition_environmental_immunity
storm_level_5	immunity	wh2_dlc17_effect_force_army_campaign_attrition_environmental_immunity
mountain	damage_mod	wh2_dlc17_effect_force_army_campaign_attrition_mountain
disease	active	wh2_main_effect_force_all_campaign_enable_disease_attrition
deep_sea	damage_mod	wh2_main_effect_force_army_campaign_attrition_all_sea_resistance
reef	damage_mod	wh2_main_effect_force_army_campaign_attrition_all_sea_resistance
storm_level_1	damage_mod	wh2_main_effect_force_army_campaign_attrition_all_sea_resistance
storm_level_2	damage_mod	wh2_main_effect_force_army_campaign_attrition_all_sea_resistance
storm_level_3	damage_mod	wh2_main_effect_force_army_campaign_attrition_all_sea_resistance
storm_level_4	damage_mod	wh2_main_effect_force_army_campaign_attrition_all_sea_resistance
storm_level_5	damage_mod	wh2_main_effect_force_army_campaign_attrition_all_sea_resistance
athel_loren	immunity	wh2_main_effect_force_army_campaign_attrition_immunity_athel_loren
awakened_forest	immunity	wh2_main_effect_force_army_campaign_attrition_immunity_athel_loren
storm_level_1	damage_mod	wh2_main_effect_force_army_campaign_attrition_storm_resistance
storm_level_2	damage_mod	wh2_main_effect_force_army_campaign_attrition_storm_resistance
storm_level_3	damage_mod	wh2_main_effect_force_army_campaign_attrition_storm_resistance
storm_level_4	damage_mod	wh2_main_effect_force_army_campaign_attrition_storm_resistance
storm_level_5	damage_mod	wh2_main_effect_force_army_campaign_attrition_storm_resistance
hostile_territory	active	wh2_main_effect_region_enable_hostile_territory_attrition
deep_sea	immunity	wh2_twa03_attrition_immunity_high_seas_reef_storm
reef	immunity	wh2_twa03_attrition_immunity_high_seas_reef_storm
storm_level_1	immunity	wh2_twa03_attrition_immunity_high_seas_reef_storm
storm_level_2	immunity	wh2_twa03_attrition_immunity_high_seas_reef_storm
storm_level_3	immunity	wh2_twa03_attrition_immunity_high_seas_reef_storm
storm_level_4	immunity	wh2_twa03_attrition_immunity_high_seas_reef_storm
storm_level_5	immunity	wh2_twa03_attrition_immunity_high_seas_reef_storm
blood_voyage_desertion	active	wh2_twa03_effect_blood_voyage_attrition_hidden
blood_voyage_desertion	damage_mod	wh2_twa03_effect_blood_voyage_heavy_attrition
blood_voyage_desertion	damage_mod	wh2_twa03_effect_blood_voyage_low_attrition
blood_voyage_desertion	damage_mod	wh2_twa03_effect_blood_voyage_moderate_attrition
blood_voyage_desertion	immunity	wh2_twa03_effect_blood_voyage_no_attrition
chaos_territory	damage_mod	wh3_dlc23_effect_force_army_campaign_attrition_chaos
chaos_wastes	damage_mod	wh3_dlc23_effect_force_army_campaign_attrition_chaos
chd_summoned_army	active	wh3_dlc23_effect_force_chaos_dwarfs_hobgoblin_summon_attrition_activate
chd_summoned_army	immunity	wh3_dlc23_effect_force_chaos_dwarfs_hobgoblin_summon_attrition_immunity
chaos_wastes	immunity	wh3_dlc24_effect_attrition_immunity_chaos_wastes
malediction_of_ruin	active	wh3_dlc24_effect_campaign_enable_attrition_malediction_of_ruin
recreant_spirit	active	wh3_dlc24_effect_campaign_enable_attrition_recreant_spirit
yuan_garrison_degradation	active	wh3_dlc24_effect_campaign_enable_attrition_yuan_bo_garrisons
athel_loren	damage_mod	wh3_dlc25_effect_force_army_campaign_attrition_all_resistance_sphere_hidden
awakened_forest	damage_mod	wh3_dlc25_effect_force_army_campaign_attrition_all_resistance_sphere_hidden
besieged	damage_mod	wh3_dlc25_effect_force_army_campaign_attrition_all_resistance_sphere_hidden
besieging	damage_mod	wh3_dlc25_effect_force_army_campaign_attrition_all_resistance_sphere_hidden
blockaded	damage_mod	wh3_dlc25_effect_force_army_campaign_attrition_all_resistance_sphere_hidden
blockading	damage_mod	wh3_dlc25_effect_force_army_campaign_attrition_all_resistance_sphere_hidden
blood_voyage_desertion	damage_mod	wh3_dlc25_effect_force_army_campaign_attrition_all_resistance_sphere_hidden
building_attrition	damage_mod	wh3_dlc25_effect_force_army_campaign_attrition_all_resistance_sphere_hidden
chaos_territory	damage_mod	wh3_dlc25_effect_force_army_campaign_attrition_all_resistance_sphere_hidden
chaos_wastes	damage_mod	wh3_dlc25_effect_force_army_campaign_attrition_all_resistance_sphere_hidden
chaos_wastes_bonus_value	damage_mod	wh3_dlc25_effect_force_army_campaign_attrition_all_resistance_sphere_hidden
compass	damage_mod	wh3_dlc25_effect_force_army_campaign_attrition_all_resistance_sphere_hidden
deep_sea	damage_mod	wh3_dlc25_effect_force_army_campaign_attrition_all_resistance_sphere_hidden
desert	damage_mod	wh3_dlc25_effect_force_army_campaign_attrition_all_resistance_sphere_hidden
disciple_army	damage_mod	wh3_dlc25_effect_force_army_campaign_attrition_all_resistance_sphere_hidden
disease	damage_mod	wh3_dlc25_effect_force_army_campaign_attrition_all_resistance_sphere_hidden
dlc17_despoiler_raiding	damage_mod	wh3_dlc25_effect_force_army_campaign_attrition_all_resistance_sphere_hidden
event_attrition	damage_mod	wh3_dlc25_effect_force_army_campaign_attrition_all_resistance_sphere_hidden
event_attrition_no_immunity	damage_mod	wh3_dlc25_effect_force_army_campaign_attrition_all_resistance_sphere_hidden
horde_infighting	damage_mod	wh3_dlc25_effect_force_army_campaign_attrition_all_resistance_sphere_hidden
hostile_territory	damage_mod	wh3_dlc25_effect_force_army_campaign_attrition_all_resistance_sphere_hidden
kho_summoned_army	damage_mod	wh3_dlc25_effect_force_army_campaign_attrition_all_resistance_sphere_hidden
khorne_infighting	damage_mod	wh3_dlc25_effect_force_army_campaign_attrition_all_resistance_sphere_hidden
kislev_winter	damage_mod	wh3_dlc25_effect_force_army_campaign_attrition_all_resistance_sphere_hidden
lizard_defenders	damage_mod	wh3_dlc25_effect_force_army_campaign_attrition_all_resistance_sphere_hidden
low_morale	damage_mod	wh3_dlc25_effect_force_army_campaign_attrition_all_resistance_sphere_hidden
mist	damage_mod	wh3_dlc25_effect_force_army_campaign_attrition_all_resistance_sphere_hidden
mist_of_yvresse	damage_mod	wh3_dlc25_effect_force_army_campaign_attrition_all_resistance_sphere_hidden
mountain	damage_mod	wh3_dlc25_effect_force_army_campaign_attrition_all_resistance_sphere_hidden
non_vampire_territory	damage_mod	wh3_dlc25_effect_force_army_campaign_attrition_all_resistance_sphere_hidden
nurgle_plague	damage_mod	wh3_dlc25_effect_force_army_campaign_attrition_all_resistance_sphere_hidden
nurgle_realm	damage_mod	wh3_dlc25_effect_force_army_campaign_attrition_all_resistance_sphere_hidden
ogre_meat	damage_mod	wh3_dlc25_effect_force_army_campaign_attrition_all_resistance_sphere_hidden
plague_nurgle	damage_mod	wh3_dlc25_effect_force_army_campaign_attrition_all_resistance_sphere_hidden
reef	damage_mod	wh3_dlc25_effect_force_army_campaign_attrition_all_resistance_sphere_hidden
regionless	damage_mod	wh3_dlc25_effect_force_army_campaign_attrition_all_resistance_sphere_hidden
sabotage	damage_mod	wh3_dlc25_effect_force_army_campaign_attrition_all_resistance_sphere_hidden
sea_monster_storm	damage_mod	wh3_dlc25_effect_force_army_campaign_attrition_all_resistance_sphere_hidden
snow	damage_mod	wh3_dlc25_effect_force_army_campaign_attrition_all_resistance_sphere_hidden
storm_level_1	damage_mod	wh3_dlc25_effect_force_army_campaign_attrition_all_resistance_sphere_hidden
storm_level_2	damage_mod	wh3_dlc25_effect_force_army_campaign_attrition_all_resistance_sphere_hidden
storm_level_3	damage_mod	wh3_dlc25_effect_force_army_campaign_attrition_all_resistance_sphere_hidden
storm_level_4	damage_mod	wh3_dlc25_effect_force_army_campaign_attrition_all_resistance_sphere_hidden
storm_level_5	damage_mod	wh3_dlc25_effect_force_army_campaign_attrition_all_resistance_sphere_hidden
storm_sandstorm	damage_mod	wh3_dlc25_effect_force_army_campaign_attrition_all_resistance_sphere_hidden
swamp	damage_mod	wh3_dlc25_effect_force_army_campaign_attrition_all_resistance_sphere_hidden
vampire_territory	damage_mod	wh3_dlc25_effect_force_army_campaign_attrition_all_resistance_sphere_hidden
very_low_morale	damage_mod	wh3_dlc25_effect_force_army_campaign_attrition_all_resistance_sphere_hidden
wasteland	damage_mod	wh3_dlc25_effect_force_army_campaign_attrition_all_resistance_sphere_hidden
dlc25_chieftain_attrition	active	wh3_dlc25_nur_chieftain_ritual_ability_attrition_scripted
event_attrition_no_immunity	active	wh3_dlc26_effect_enable_attrition_offerings_to_the_maw
disciple_army	damage_mod	wh3_main_effect_attrition_disciple_army_damage_mod
disciple_army	immunity	wh3_main_effect_attrition_disciple_army_immunity
athel_loren	immunity	wh3_main_effect_attrition_immunity_all_except_plague
awakened_forest	immunity	wh3_main_effect_attrition_immunity_all_except_plague
besieging	immunity	wh3_main_effect_attrition_immunity_all_except_plague
blockaded	immunity	wh3_main_effect_attrition_immunity_all_except_plague
blockading	immunity	wh3_main_effect_attrition_immunity_all_except_plague
building_attrition	immunity	wh3_main_effect_attrition_immunity_all_except_plague
chaos_territory	immunity	wh3_main_effect_attrition_immunity_all_except_plague
chaos_wastes	immunity	wh3_main_effect_attrition_immunity_all_except_plague
chaos_wastes_bonus_value	immunity	wh3_main_effect_attrition_immunity_all_except_plague
deep_sea	immunity	wh3_main_effect_attrition_immunity_all_except_plague
desert	immunity	wh3_main_effect_attrition_immunity_all_except_plague
disease	immunity	wh3_main_effect_attrition_immunity_all_except_plague
event_attrition	immunity	wh3_main_effect_attrition_immunity_all_except_plague
hostile_territory	immunity	wh3_main_effect_attrition_immunity_all_except_plague
kislev_winter	immunity	wh3_main_effect_attrition_immunity_all_except_plague
