key	campaign_payload	index	decision_key
#campaign_decision_choices_tables;0;db/campaign_decision_choices_tables/data__			
wh3_main_campaign_decision_ataman_blood_money_first	wh3_main_campaign_payload_ataman_blood_money_first	FIRST	wh3_main_campaign_decision_ataman_blood_money
wh3_main_campaign_decision_ataman_blood_money_second	wh3_main_campaign_payload_ataman_blood_money_second	SECOND	wh3_main_campaign_decision_ataman_blood_money
wh3_main_campaign_decision_ataman_innovate_or_die_first	wh3_main_campaign_payload_ataman_innovate_or_die_first	FIRST	wh3_main_campaign_decision_ataman_innovate_or_die
wh3_main_campaign_decision_ataman_innovate_or_die_second	wh3_main_campaign_payload_ataman_innovate_or_die_second	SECOND	wh3_main_campaign_decision_ataman_innovate_or_die
wh3_main_campaign_decision_ataman_judgement_first	wh3_main_campaign_payload_ataman_judgement_first	FIRST	wh3_main_campaign_decision_ataman_judgement
wh3_main_campaign_decision_ataman_judgement_second	wh3_main_campaign_payload_ataman_judgement_second	SECOND	wh3_main_campaign_decision_ataman_judgement
wh3_main_campaign_decision_ataman_kislev_still_needs_you_first	wh3_main_campaign_payload_ataman_kislev_still_needs_you_first	FIRST	wh3_main_campaign_decision_ataman_kislev_still_needs_you
wh3_main_campaign_decision_ataman_kislev_still_needs_you_second	wh3_main_campaign_payload_ataman_kislev_still_needs_you_second	SECOND	wh3_main_campaign_decision_ataman_kislev_still_needs_you
wh3_main_campaign_decision_ataman_kislevian_coin_first	wh3_main_campaign_payload_ataman_kislevian_coin_first	FIRST	wh3_main_campaign_decision_ataman_kislevian_coin
wh3_main_campaign_decision_ataman_kislevian_coin_second	wh3_main_campaign_payload_ataman_kislevian_coin_second	SECOND	wh3_main_campaign_decision_ataman_kislevian_coin
wh3_main_campaign_decision_ataman_labour_shortage_first	wh3_main_campaign_payload_ataman_labour_shortage_first	FIRST	wh3_main_campaign_decision_ataman_labour_shortage
wh3_main_campaign_decision_ataman_labour_shortage_second	wh3_main_campaign_payload_ataman_labour_shortage_second	SECOND	wh3_main_campaign_decision_ataman_labour_shortage
wh3_main_campaign_decision_ataman_loyalties_proven_first	wh3_main_campaign_payload_ataman_loyalties_proven_first	FIRST	wh3_main_campaign_decision_ataman_loyalties_proven
wh3_main_campaign_decision_ataman_loyalties_proven_second	wh3_main_campaign_payload_ataman_loyalties_proven_second	SECOND	wh3_main_campaign_decision_ataman_loyalties_proven
wh3_main_campaign_decision_ataman_loyalties_revealed_first	wh3_main_campaign_payload_ataman_loyalties_revealed_first	FIRST	wh3_main_campaign_decision_ataman_loyalties_revealed
wh3_main_campaign_decision_ataman_loyalties_revealed_second	wh3_main_campaign_payload_ataman_loyalties_revealed_second	SECOND	wh3_main_campaign_decision_ataman_loyalties_revealed
wh3_main_campaign_decision_ataman_seeking_refuge_first	wh3_main_campaign_payload_ataman_seeking_refuge_first	FIRST	wh3_main_campaign_decision_ataman_seeking_refuge
wh3_main_campaign_decision_ataman_seeking_refuge_second	wh3_main_campaign_payload_ataman_seeking_refuge_second	SECOND	wh3_main_campaign_decision_ataman_seeking_refuge
wh3_main_campaign_decision_ataman_the_black_glove_first	wh3_main_campaign_payload_ataman_the_black_glove_first	FIRST	wh3_main_campaign_decision_ataman_the_black_glove
wh3_main_campaign_decision_ataman_the_black_glove_second	wh3_main_campaign_payload_ataman_the_black_glove_second	SECOND	wh3_main_campaign_decision_ataman_the_black_glove
wh3_main_campaign_decision_ataman_the_hunt_first	wh3_main_campaign_payload_ataman_the_hunt_first	FIRST	wh3_main_campaign_decision_ataman_the_hunt
wh3_main_campaign_decision_ataman_the_hunt_second	wh3_main_campaign_payload_ataman_the_hunt_second	SECOND	wh3_main_campaign_decision_ataman_the_hunt
wh3_main_campaign_decision_ataman_time_of_dazh_first	wh3_main_campaign_payload_ataman_time_of_dazh_first	FIRST	wh3_main_campaign_decision_ataman_time_of_dazh
wh3_main_campaign_decision_ataman_time_of_dazh_second	wh3_main_campaign_payload_ataman_time_of_dazh_second	SECOND	wh3_main_campaign_decision_ataman_time_of_dazh
wh3_main_campaign_decision_ataman_within_or_without_first	wh3_main_campaign_payload_ataman_within_or_without_first	FIRST	wh3_main_campaign_decision_ataman_within_or_without
wh3_main_campaign_decision_ataman_within_or_without_second	wh3_main_campaign_payload_ataman_within_or_without_second	SECOND	wh3_main_campaign_decision_ataman_within_or_without
