event	target	icon	instant_open	located	persistent	primary_detail	target_criteria	ignore_instant_open_filters
#event_feed_targeted_events_tables;2;db/event_feed_targeted_events_tables/data__								
agent_action_vs_army_with_immortal_general	event_feed_target_agent_faction	event_agent_activity_neutral.png	true	event_feed_none	true	wh_event_feed_string_agent_action_all_primary_detail	event_feed_target_criteria_result_and_agent	false
agent_action_vs_army_with_immortal_general	event_feed_target_target_faction	event_agent_activity_negative.png	false	event_feed_none	true	wh_event_feed_string_agent_action_all_primary_detail	event_feed_target_criteria_result_and_agent	false
agent_action_vs_army	event_feed_target_agent_faction	event_agent_activity_neutral.png	true	event_feed_none	true	wh_event_feed_string_agent_action_all_primary_detail	event_feed_target_criteria_result_and_agent	false
agent_action_vs_army	event_feed_target_target_faction	event_agent_activity_negative.png	false	event_feed_none	true	wh_event_feed_string_agent_action_all_primary_detail	event_feed_target_criteria_result_and_agent	false
agent_action_vs_character	event_feed_target_agent_faction	event_agent_activity_neutral.png	true	event_feed_none	true	wh_event_feed_string_agent_action_all_primary_detail	event_feed_target_criteria_result_and_agent	false
agent_action_vs_character	event_feed_target_target_faction	event_agent_activity_negative.png	false	event_feed_none	true	wh_event_feed_string_agent_action_all_primary_detail	event_feed_target_criteria_result_and_agent	false
agent_action_vs_immortal_character	event_feed_target_agent_faction	event_agent_activity_neutral.png	true	event_feed_none	true	wh_event_feed_string_agent_action_all_primary_detail	event_feed_target_criteria_result_and_agent	false
agent_action_vs_immortal_character	event_feed_target_target_faction	event_agent_activity_negative.png	false	event_feed_none	true	wh_event_feed_string_agent_action_all_primary_detail	event_feed_target_criteria_result_and_agent	false
agent_action_vs_settlement	event_feed_target_agent_faction	event_agent_activity_neutral.png	true	event_feed_location_target	true	wh_event_feed_string_agent_action_all_primary_detail	event_feed_target_criteria_result_and_agent	false
agent_action_vs_settlement	event_feed_target_target_faction	event_agent_activity_negative.png	false	event_feed_location_target	true	wh_event_feed_string_agent_action_all_primary_detail	event_feed_target_criteria_result_and_agent	false
agent_recruited	event_feed_target_agent_faction	event_agent_activity_positive.png	false	event_feed_context_location_agent	true	wh_event_feed_string_agent_recruited_primary_detail	event_feed_none	false
allied_foreign_slot_added	event_feed_target_allied_faction	event_region_positive.png	true	event_feed_location_target_region	true	wh3_main_event_feed_string_allied_foreign_slot_added_primary_detail	event_feed_none	false
allied_foreign_slot_added	event_feed_target_faction	event_region_positive.png	true	event_feed_location_target_region	true	wh3_main_event_feed_string_allied_foreign_slot_added_yours_primary_detail	event_feed_none	false
allied_foreign_slot_invalidated_diplomacy_changed	event_feed_target_allied_faction	event_region_negative.png	true	event_feed_location_target_region	true	wh3_main_event_feed_string_allied_foreign_slot_added_primary_detail	event_feed_none	false
allied_foreign_slot_invalidated_diplomacy_changed	event_feed_target_faction	event_region_negative.png	true	event_feed_location_target_region	true	wh3_main_event_feed_string_allied_foreign_slot_added_yours_primary_detail	event_feed_none	false
allied_foreign_slot_invalidated_region_owner_changed	event_feed_target_allied_faction	event_region_negative.png	true	event_feed_location_target_region	true	wh3_main_event_feed_string_allied_foreign_slot_added_primary_detail	event_feed_none	false
allied_foreign_slot_invalidated_region_owner_changed	event_feed_target_faction	event_region_negative.png	true	event_feed_location_target_region	true	wh3_main_event_feed_string_allied_foreign_slot_added_yours_primary_detail	event_feed_none	false
allied_foreign_slot_invalidated_region_owner_died	event_feed_target_allied_faction	event_region_negative.png	true	event_feed_location_target_region	true	wh3_main_event_feed_string_allied_foreign_slot_added_primary_detail	event_feed_none	false
armory_item_unlocked	event_feed_target_family_member_faction	event_char_activity_positive.png	false	event_feed_none	true	wh3_main_event_feed_string_armory_item_unlocked_primary_detail	event_feed_none	false
army_loaning_time_expired	event_feed_target_agent_faction	event_region_neutral.png	false	event_feed_context_location_agent	true	wh3_main_event_feed_string_loaned_army_returned_after_alliance_broke_primary_detail	event_feed_none	false
caravan_journey_completed	event_feed_target_faction	event_caravan_positive.png	true	event_feed_target_caravan_completed	true	wh3_main_event_feed_string_caravan_completed_primary_detail	event_feed_target_caravan_completed	false
character_ancillary_gained	event_feed_target_character_faction	event_char_activity_positive.png	true	event_feed_none	true	wh_event_feed_string_character_ancillary_all_primary_detail	event_feed_none	false
character_ancillary_lost_stolen	event_feed_target_character_faction	event_char_activity_negative.png	true	event_feed_none	true	wh_event_feed_string_character_ancillary_all_primary_detail	event_feed_none	false
character_ancillary_lost	event_feed_target_character_faction	event_char_activity_negative.png	true	event_feed_none	true	wh_event_feed_string_character_ancillary_all_primary_detail	event_feed_none	false
character_dies_battle	event_feed_target_character_faction	event_death_negative.png	true	event_feed_context_location_character	true	wh_event_feed_string_character_all_primary_detail	event_feed_none	false
character_dies_battle	event_feed_target_opponent	event_death_positive.png	true	event_feed_context_location_character	true	wh_event_feed_string_character_all_primary_detail	event_feed_target_criteria_character_culture	false
character_dies_in_action	event_feed_target_character_faction	event_death_negative.png	true	event_feed_context_location_character	true	wh_event_feed_string_character_all_primary_detail_type	event_feed_none	false
character_dies_suspicious	event_feed_target_character_faction	event_death_negative.png	true	event_feed_context_location_character	true	wh_event_feed_string_character_all_primary_detail	event_feed_none	false
character_enters_rift	event_feed_target_character_faction	event_rift_positive.png	true	event_feed_none	true	wh_event_feed_string_character_all_primary_detail	event_feed_target_criteria_character	false
character_initiative_unlocked	event_feed_target_character_faction	event_char_activity_positive.png	true	event_feed_none	true	wh_event_feed_string_character_all_primary_detail	event_feed_target_criteria_character	false
character_loyalty_critical	event_feed_target_character_faction	event_commander_activity_negative.png	true	event_feed_context_location_character	true	wh2_event_feed_string_character_loyalty_primary_detail	event_feed_none	false
character_loyalty_impeding_defection	event_feed_target_character_faction	event_commander_activity_negative.png	true	event_feed_context_location_character	true	wh2_event_feed_string_character_loyalty_primary_detail	event_feed_none	false
character_loyalty_low	event_feed_target_character_faction	event_commander_activity_negative.png	true	event_feed_context_location_character	true	wh2_event_feed_string_character_loyalty_primary_detail	event_feed_none	false
character_loyalty_not_critical_anymore	event_feed_target_character_faction	event_commander_activity_positive.png	true	event_feed_context_location_character	true	wh2_event_feed_string_character_loyalty_primary_detail	event_feed_none	false
character_loyalty_not_low_anymore	event_feed_target_character_faction	event_commander_activity_positive.png	true	event_feed_context_location_character	true	wh2_event_feed_string_character_loyalty_primary_detail	event_feed_none	false
character_rank_gained	event_feed_target_character_faction	event_char_activity_positive.png	false	event_feed_none	true	wh_event_feed_string_character_all_primary_detail	event_feed_target_criteria_character	false
character_ready_for_duty_starting_general	event_feed_target_character_faction	event_char_activity_positive.png	true	event_feed_context_location_character	false	wh_event_feed_string_character_all_primary_detail	event_feed_target_criteria_character	false
character_ready_for_duty	event_feed_target_character_faction	event_char_activity_positive.png	true	event_feed_context_location_character	true	wh_event_feed_string_character_all_primary_detail_type	event_feed_target_criteria_character	false
character_training_complete	event_feed_target_faction	event_ice_court_positive.png	true	event_feed_none	true	wh3_main_event_feed_string_character_training_dilemma_available_primary_detail	event_feed_none	false
character_training_dilemma_available	event_feed_target_faction	event_ice_court_positive.png	false	event_feed_none	true	wh3_main_event_feed_string_character_training_dilemma_available_primary_detail	event_feed_none	false
character_trait_gained	event_feed_target_character_faction	event_char_activity_neutral.png	true	event_feed_none	true	wh_event_feed_string_character_trait_all_primary_detail	event_feed_none	false
character_trait_lost	event_feed_target_character_faction	event_char_activity_neutral.png	true	event_feed_none	true	wh_event_feed_string_character_trait_all_primary_detail	event_feed_none	false
character_wounded	event_feed_target_character_faction	event_char_activity_negative.png	true	event_feed_context_location_character	true	wh_event_feed_string_character_all_primary_detail_type	event_feed_none	false
conquest_battle	event_feed_target_conquest_battle_attacker	event_military_neutral.png	false	event_feed_location_character_battle_defender_primary_general	true	wh_event_feed_string_conquest_battle_primary_detail_attacker_result	event_feed_target_criteria_attack_outcome	false
conquest_battle	event_feed_target_conquest_battle_attacker_parent_army_faction	event_military_neutral.png	true	event_feed_location_character_battle_attacker_primary_general	true	wh_event_feed_string_conquest_battle_primary_detail_attacker_result_parent	event_feed_target_criteria_attack_outcome	false
conquest_battle	event_feed_target_conquest_battle_defender	event_military_neutral.png	false	event_feed_location_character_battle_attacker_primary_general	true	wh_event_feed_string_conquest_battle_primary_detail_defender_result	event_feed_target_criteria_attack_outcome	false
