key	character_for_vo
#scripted_subtitles_tables;2;db/scripted_subtitles_tables/data__	
Nor_Throgg_Final_Battle_vs_Crow_pt_01	
Nor_Throgg_Final_Battle_vs_Crow_pt_02	
Nor_Throgg_Final_Battle_vs_Crow_pt_03	
Nor_Throgg_Final_Battle_vs_Eagle_pt_01	
Nor_Throgg_Final_Battle_vs_Eagle_pt_02	
Nor_Throgg_Final_Battle_vs_Eagle_pt_03	
Nor_Throgg_Final_Battle_vs_Hound_pt_01	
Nor_Throgg_Final_Battle_vs_Hound_pt_02	
Nor_Throgg_Final_Battle_vs_Serpent_pt_01	
Nor_Throgg_Final_Battle_vs_Serpent_pt_02	
Nor_Throgg_Final_Battle_vs_Serpent_pt_03	
Nor_Throgg_QB_Wintertooth_Crown_pt_01	
Nor_Throgg_QB_Wintertooth_Crown_pt_02	
Nor_Throgg_QB_Wintertooth_Crown_pt_03	
Nor_Wulfrik_Final_Battle_vs_Crow_pt_01	
Nor_Wulfrik_Final_Battle_vs_Crow_pt_02	
Nor_Wulfrik_Final_Battle_vs_Crow_pt_03	
Nor_Wulfrik_Final_Battle_vs_Eagle_pt_01	
Nor_Wulfrik_Final_Battle_vs_Eagle_pt_02	
Nor_Wulfrik_Final_Battle_vs_Eagle_pt_03	
Nor_Wulfrik_Final_Battle_vs_Eagle_pt_04	
Nor_Wulfrik_Final_Battle_vs_Hound_pt_01	
Nor_Wulfrik_Final_Battle_vs_Hound_pt_02	
Nor_Wulfrik_Final_Battle_vs_Hound_pt_03	
Nor_Wulfrik_Final_Battle_vs_Serpent_pt_01	
Nor_Wulfrik_Final_Battle_vs_Serpent_pt_02	
Nor_Wulfrik_Final_Battle_vs_Serpent_pt_03	
Nor_Wulfrik_Final_Battle_vs_Serpent_pt_04	
Nor_Wulfrik_QB_Sword_of_Torgald_pt_01	
Nor_Wulfrik_QB_Sword_of_Torgald_pt_02	
Nor_Wulfrik_QB_Sword_of_Torgald_pt_03	
Nor_Wulfrik_QB_Sword_of_Torgald_pt_04	
cat_miao_ying_bat_speeches_01	miao_ying
cat_miao_ying_bat_speeches_02	miao_ying
cat_miao_ying_bat_speeches_03	miao_ying
cat_miao_ying_bat_speeches_04	miao_ying
cat_miao_ying_bat_speeches_05	miao_ying
