key	faction_offset_x	faction_offset_y	faction_scale_x	faction_scale_y	unitcat_offset_x	unitcat_offset_y	unitcat_scale_x	unitcat_scale_y	command_star_offset_x	command_star_offset_y	army_id_offset_y	animation_name	unit_id_offset_y
#unit_banners_tables;3;db/unit_banners_tables/data__													
default	0.2500	0.1500	0.5000	0.5000	0.2500	0.1500	0.5000	0.5000	-1.0000	0.0000	4.0000	banner_ver_01	6.6000
wh2_dlc09_tmb_tomb_kings	0.5150	0.1400	0.5000	0.5000	0.5850	0.1800	0.3500	0.3500	-1.0000	0.0000	4.3000	banner_ver_01	6.6000
wh2_dlc11_cst_vampire_coast	0.0850	0.1550	0.4500	0.4500	0.1490	0.1900	0.3300	0.3300	-1.5000	0.0000	4.3000	banner_ver_01	6.6000
wh2_main_def_cult_of_pleasure	0.4200	0.0850	0.6700	0.6700	0.5700	0.2200	0.3600	0.3600	-1.0000	0.0000	4.6000	banner_ver_01	6.6000
wh2_main_def_dark_elves	0.4200	0.0850	0.6700	0.6700	0.5700	0.2200	0.3600	0.3600	-1.0000	0.0000	4.6000	banner_ver_01	6.6000
wh2_main_hef_high_elves	0.0000	0.0000	1.0000	1.0000	0.1200	0.4000	0.3000	0.3000	-1.0000	0.0000	4.3000	banner_ver_01	6.6000
wh2_main_lzd_lizardmen	0.3200	0.4150	0.6000	0.6000	0.4400	0.5200	0.3800	0.3800	-1.0000	0.0000	4.8000	banner_lzd_01	7.2000
wh2_main_rogue_armies	0.4000	0.2800	0.4000	0.4000	0.4000	0.2800	0.4000	0.4000	-1.0000	0.0000	4.7000	banner_ver_01	6.6000
wh2_main_skv_skaven	0.0200	0.1350	0.4500	0.4500	0.1200	0.2800	0.2500	0.2500	-1.0000	0.0000	4.3000	banner_ver_01	6.6000
wh3_dlc20_coc_champions	0.3900	0.1000	0.6300	0.6300	0.5200	0.1500	0.3700	0.4200	-1.5000	0.0000	4.3000	banner_ver_01	6.6000
wh3_dlc23_chd_chaos_dwarfs	0.1410	0.1200	0.6000	0.6000	0.2550	0.2600	0.3800	0.3800	-1.0000	0.0000	4.6000	banner_ver_01	6.6000
wh3_main_cth_cathay	0.0200	0.1000	0.7500	0.7500	0.0700	0.2000	0.5000	0.5000	-1.0000	0.0000	4.3000	banner_ver_01	6.8000
wh3_main_dae_daemons	0.0650	0.1700	0.5500	0.5500	0.1500	0.2000	0.4000	0.4000	-1.0000	0.0000	4.3000	banner_ver_01	6.8000
wh3_main_kho_khorne	-0.0100	0.1200	0.4800	0.4800	0.0800	0.2300	0.3000	0.3000	-1.0000	0.0000	4.3000	banner_ver_01	6.8000
wh3_main_ksl_kislev	0.0700	0.2600	0.5500	0.5500	0.0700	0.2600	0.5500	0.5500	-1.0000	0.0000	4.3000	banner_hor_01	6.8000
wh3_main_nur_nurgle	0.0400	0.1000	0.5200	0.5200	0.1300	0.1800	0.3500	0.3500	-1.0000	0.0000	4.3000	banner_ver_01	6.8000
wh3_main_ogr_ogre_kingdoms	0.1000	0.3000	0.4600	0.3300	0.1000	0.3000	0.4600	0.3300	-1.0000	0.0000	4.3000	banner_ver_01	6.8000
wh3_main_sla_slaanesh	0.1100	0.2000	0.4500	0.4500	0.1100	0.2000	0.4500	0.4500	-1.0000	0.0000	4.3000	banner_ver_01	6.8000
wh3_main_tze_tzeentch	-0.0300	0.1900	0.5500	0.5500	0.1000	0.2600	0.3500	0.3500	-1.0000	0.0000	4.3000	banner_ver_01	6.8000
wh_dlc03_bst_beastmen	0.5100	0.3900	0.4700	0.4300	0.5700	0.4700	0.3400	0.3400	-1.0000	0.0000	4.7000	banner_ver_01	6.6000
wh_dlc03_bst_beastmen_brayherd	0.2000	0.4650	0.4500	0.4500	0.2000	0.4650	0.4500	0.4500	-1.0000	0.0000	4.6000	banner_hor_01	6.8000
wh_dlc05_wef_wood_elves	0.1000	0.1600	0.4000	0.4000	0.1000	0.1600	0.4000	0.4000	-1.0000	0.0000	4.0000	banner_wef_01	6.6000
wh_dlc08_nor_norsca	0.4320	0.2000	0.6000	0.6000	0.5200	0.2300	0.4400	0.4400	-1.0000	0.0000	4.3000	banner_ver_01	6.6000
wh_main_brt_bretonnia	0.0800	0.1000	0.4700	0.4700	0.1200	0.1500	0.4000	0.3500	-0.8000	0.0000	4.3000	banner_hor_01	6.6000
wh_main_chs_chaos	0.3900	0.1000	0.6300	0.6300	0.5200	0.1500	0.3700	0.4200	-1.5000	0.0000	4.3000	banner_ver_01	6.6000
wh_main_dwf_dwarfs	0.1200	0.1800	0.5100	0.5100	0.1700	0.2300	0.4000	0.4000	-1.5000	0.0000	4.6000	banner_ver_01	6.6000
wh_main_emp_empire	0.1800	0.1500	0.4500	0.4500	0.2200	0.2200	0.3500	0.3000	-0.8000	0.0000	4.3000	banner_hor_01	6.6000
wh_main_grn_greenskins	0.2700	0.2000	0.2800	0.2800	0.2700	0.1700	0.3800	0.3800	-1.0000	0.0000	4.6000	banner_hor_01	6.8000
wh_main_grn_greenskins_vertical	0.5000	0.3500	0.3200	0.3200	0.5000	0.3000	0.3200	0.3200	-1.0000	0.0000	4.3000	banner_ver_01	6.8000
wh_main_vmp_vampire_counts	0.4700	0.1000	0.4000	0.4000	0.4700	0.1100	0.4000	0.3000	-1.5000	0.0000	4.3000	banner_ver_01	6.6000
