key	agent_distribution_profile_key	agent_recruitment_profile_key	budget_policy_key	military_aggressiveness_policy	military_behaviour_policy	reliability_policy_key	technology_manager_key	allowed_for_random_selection	diplomatic_component	strategic_component	cultural_component	deal_generation_component	construction_system_policy	task_management_system_task_generation_profile	negotiation_component	income_allocation_policy	occupation_decision_component	empire_rivalry_component	trespassing_component	agent_embed_profile	character_skill_selection_policy	military_generator_config_override	tms_variables_profile	financial_context_control	ritual_policy	personality_variables_profile	displayed_trait_set	gds_occupation_decision_profile	gds_cultural_occupation_decision_profile	deal_evaluation_profile	strategic_profile	region_group_profile
#cai_personalities_tables;6;db/cai_personalities_tables/data__																																
default	cai_adp_standard	cai_arp_standard	wh3_budget_policy_default	cai_pmap_medium	cai_pmbp_balanced	cai_prp_default	default	true	wh3_default	wh3_strategic_component_default	default	wh3_deal_generation_default	default_construction_system_policy	wh3_combi_tms_generator_profiles_default	wh3_negotiation_passive	wh3_default	dont_use	wh3_default	default	default_all	default_character_skill_selection_policy		wh3_tms_variable_profile_default	default_financial_context_controls	default	wh3_chaos_personality_profile_default	wh3_personality_displayed_trait_set_default	occupation_decision_profile_default		wh3_deal_eval_profile_default	wh3_strategic_profile_default	default
wh2_greenskin_waaagh	cai_adp_standard	cai_arp_standard	wh3_budget_policy_default	cai_pmap_medium	cai_pmbp_balanced	cai_prp_default	default	true	wh3_default	wh3_strategic_component_default	default	wh3_deal_generation_default	default_construction_system_policy	wh3_combi_tms_generator_profiles_default	wh3_negotiation_passive	wh3_default	dont_use	wh3_default	default	default_all	default_character_skill_selection_policy		wh3_tms_variable_profile_default	default_financial_context_controls	default	wh3_chaos_personality_profile_default	wh3_personality_displayed_trait_set_default	occupation_decision_profile_default		wh3_deal_eval_profile_default	wh3_strategic_profile_default	default
wh2_rogue	cai_adp_standard	cai_arp_standard	wh3_budget_policy_rogue	cai_pmap_medium	cai_pmbp_balanced	cai_prp_default	default	true	wh3_default	wh3_strategic_component_aggressive_opportunistic	default	wh3_deal_generation_default	default_construction_system_policy	wh3_tms_generator_profiles_rogue	wh3_negotiation_minor	wh3_default	dont_use	wh3_default	default	default_all	default_character_skill_selection_policy		wh3_tms_variable_profile_default	default_financial_context_controls	default	wh3_chaos_personality_profile_default	wh3_personality_displayed_trait_set_default	occupation_decision_profile_sacking		wh3_deal_eval_profile_rogue	wh3_strategic_profile_aggressive_opportunistic	default
wh3_beastmen_minor	cai_adp_standard	cai_arp_standard	wh3_budget_policy_beastmen	cai_pmap_medium	cai_pmbp_balanced	cai_prp_default	default	true	wh3_default	wh3_strategic_component_aggressive_opportunistic	default	wh3_deal_generation_beastmen_minor	default_construction_system_policy	wh3_tms_generator_profiles_beastmen_minor	wh3_negotiation_minor	wh3_default	dont_use	wh3_default	default	default_all	default_character_skill_selection_policy		wh3_tms_variable_profile_default	default_financial_context_controls	default	wh3_chaos_personality_profile_default	wh3_personality_displayed_trait_set_beastmen_minor	occupation_decision_profile_default		wh3_deal_eval_profile_beastmen_minor	wh3_strategic_profile_aggressive_opportunistic	default
wh3_bretonnia_minor	cai_adp_standard	cai_arp_standard	wh3_budget_policy_default	cai_pmap_medium	cai_pmbp_balanced	cai_prp_default	default	true	wh3_default	wh3_strategic_component_default	default	wh3_deal_generation_bretonnia_minor	default_construction_system_policy	wh3_tms_generator_profiles_bretonnia_minor	wh3_negotiation_minor	wh3_default	dont_use	wh3_default	default	default_all	default_character_skill_selection_policy		wh3_tms_variable_profile_default	default_financial_context_controls	default	wh3_chaos_personality_profile_default	wh3_personality_displayed_trait_set_bretonnia_minor	occupation_decision_profile_brettonia		wh3_deal_eval_profile_bretonnia_minor	wh3_strategic_profile_default	default
wh3_cathay_main	cai_adp_standard	cai_arp_standard	wh3_budget_policy_default	cai_pmap_medium	cai_pmbp_balanced	cai_prp_default	default	true	wh3_default	wh3_strategic_component_default	default	wh3_deal_generation_cathay	default_construction_system_policy	wh3_tms_generator_profiles_cathay_miao_ying	wh3_negotiation_default	wh3_default	dont_use	wh3_default	default	default_all	default_character_skill_selection_policy		wh3_tms_variable_profile_default	default_financial_context_controls	default	wh3_chaos_personality_profile_default	wh3_personality_displayed_trait_set_cathay_miao_ying	occupation_decision_profile_cathay		wh3_deal_eval_profile_cathay	wh3_strategic_profile_default	default
wh3_cathay_miao_ying	cai_adp_standard	cai_arp_standard	wh3_budget_policy_default	cai_pmap_medium	cai_pmbp_balanced	cai_prp_default	default	true	wh3_default	wh3_strategic_component_default	default	wh3_deal_generation_cathay	default_construction_system_policy	wh3_tms_generator_profiles_cathay_miao_ying	wh3_negotiation_default	wh3_default	dont_use	wh3_default	default	default_all	default_character_skill_selection_policy		wh3_tms_variable_profile_default	default_financial_context_controls	default	wh3_chaos_personality_profile_default	wh3_personality_displayed_trait_set_cathay_miao_ying	occupation_decision_profile_cathay		wh3_deal_eval_profile_cathay	wh3_strategic_profile_default	wh3_chaos_region_hint_profile_cathay_miao_ying
wh3_cathay_minor	cai_adp_standard	cai_arp_standard	wh3_budget_policy_default	cai_pmap_medium	cai_pmbp_balanced	cai_prp_default	default	true	wh3_default	wh3_strategic_component_default	default	wh3_deal_generation_cathay_minor	default_construction_system_policy	wh3_tms_generator_profiles_cathay_minor	wh3_negotiation_minor	wh3_default	dont_use	wh3_default	default	default_all	default_character_skill_selection_policy		wh3_tms_variable_profile_default	default_financial_context_controls	default	wh3_chaos_personality_profile_default	wh3_personality_displayed_trait_set_cathay_minor	occupation_decision_profile_cathay		wh3_deal_eval_profile_cathay_minor	wh3_strategic_profile_default	default
wh3_cathay_minor_unfriendly	cai_adp_standard	cai_arp_standard	wh3_budget_policy_default	cai_pmap_medium	cai_pmbp_balanced	cai_prp_default	default	true	wh3_default	wh3_strategic_component_default	dislikes_cathay_internal	wh3_deal_generation_cathay_minor	default_construction_system_policy	wh3_tms_generator_profiles_cathay_minor	wh3_negotiation_minor	wh3_default	dont_use	wh3_default	default	default_all	default_character_skill_selection_policy		wh3_tms_variable_profile_default	default_financial_context_controls	default	wh3_chaos_personality_profile_default	wh3_personality_displayed_trait_set_cathay_minor	occupation_decision_profile_cathay		wh3_deal_eval_profile_cathay_minor	wh3_strategic_profile_default	default
