key	requires_effect_enabling	supersedes_shot_type	icon_name	ui_sound_event
#projectile_shot_type_enum_tables;6;db/projectile_shot_type_enum_tables/data__				
artillery_canister	false		artillery_canister	UI_BAT_SABL_Generic_Enable
artillery_default	false		artillery_default	UI_BAT_SABL_Generic_Enable
artillery_explosive	false		artillery_explosive	UI_BAT_SABL_Generic_Enable
artillery_flammable	true		artillery_flammable	UI_BAT_SABL_Generic_Enable
artillery_poison	false		artillery_poison	UI_BAT_SABL_Generic_Enable
artillery_whistling	true		artillery_whistling	UI_BAT_SABL_Generic_Enable
explosives	false		explosives	UI_BAT_SABL_Generic_Enable
oil	true		oil	UI_BAT_SABL_Generic_Enable
small_arm_default	false		small_arm_default	UI_BAT_SABL_Generic_Enable
small_arm_extended	false		small_arm_extended	UI_BAT_SABL_Generic_Enable
small_arm_flaming	false		small_arm_flaming	UI_BAT_SABL_Generic_Enable
small_arm_heavy	false		small_arm_heavy	UI_BAT_SABL_Generic_Enable
small_arm_poison	false		small_arm_poison	UI_BAT_SABL_Generic_Enable
small_arm_whistling	false		small_arm_whistling	UI_BAT_SABL_Generic_Enable
torch	true		torch	UI_BAT_SABL_Generic_Enable
