faction_status_key	key	strategic_context_key	technology_research_policy_key
#cai_personalities_technology_research_policy_strategic_context_junctions_tables;0;db/cai_personalities_technology_research_policy_strategic_context_junctions_tables/data__			
	default		research_default
cai_faction_status_context_type_standard_horde	default	cai_strategic_context_type_last_stand	research_high_manager
	default	cai_strategic_context_type_peace	research_default
cai_faction_status_context_type_hordeable_regioned	default	cai_strategic_context_type_peace	research_default
cai_faction_status_context_type_hordeable_regioned	default	cai_strategic_context_type_tension	research_high_manager
	default	cai_strategic_context_type_total_war	research_default
	default	cai_strategic_context_type_war	research_default
	dlc09_tmb_default		dlc09_tmb_default
	dlc09_tmb_exiles_of_nehek		dlc09_tmb_exiles_of_nehek
	dlc09_tmb_followers_of_nagash		dlc09_tmb_followers_of_nagash
	dlc09_tmb_khemri		dlc09_tmb_khemri
	dlc09_tmb_lybaras		dlc09_tmb_lybaras
	high_manager		research_high_manager
cai_faction_status_context_type_hordeable_regioned	high_manager	cai_strategic_context_type_war	research_war
	wh3_main_hef_manager		wh3_main_hef
	wh3_main_vmp_manager		wh3_main_vmp
