bonus_value_id	effect	province_growth_factor
#effect_bonus_value_province_growth_factor_junctions_tables;0;db/effect_bonus_value_province_growth_factor_junctions_tables/data__		
value	wh2_dlc15_effect_province_growth_groms_cauldron	groms_cauldron
value	wh2_main_effect_agent_action_passive_stimulate_growth_effect_negative	characters
value	wh2_main_effect_agent_action_passive_stimulate_growth_effect_positive	characters
value	wh2_main_effect_province_growth_characters_factionwide	characters
value	wh2_main_effect_province_growth_rites	rites
value	wh3_dlc24_effect_province_growth_malediction_of_ruin	malediction_of_ruin
value	wh3_dlc25_effect_province_growth_alliances	alliance
value	wh3_dlc25_effect_province_growth_imperial_authority	imperial_authority
value	wh3_main_effect_province_growth_ataman	ataman
value	wh3_main_effect_province_growth_athel_loren_forest_health	forest_health_athel_loren
value	wh3_main_effect_province_growth_bloodletting	bloodletting
value	wh3_main_effect_province_growth_chaos_corruption	chaos_corruption
value	wh3_main_effect_province_growth_climate	climate
value	wh3_main_effect_province_growth_compass	compass
value	wh3_main_effect_province_growth_faction	faction
value	wh3_main_effect_province_growth_harmony	harmony
value	wh3_main_effect_province_growth_khorne_corruption	khorne_corruption
value	wh3_main_effect_province_growth_level_of_control	level_of_control
value	wh3_main_effect_province_growth_motherland	invoking_the_motherland
value	wh3_main_effect_province_growth_nurgle_corruption	nurgle_corruption
value	wh3_main_effect_province_growth_plague	plague
value	wh3_main_effect_province_growth_possession	possession
value	wh3_main_effect_province_growth_slaanesh_corruption	slaanesh_corruption
value	wh3_main_effect_province_growth_tzeentch_corruption	tzeentch_corruption
value	wh3_main_effect_province_growth_unholy_manifestations_bad	unholy_manifestations
value	wh3_main_effect_province_growth_unholy_manifestations	unholy_manifestations
value	wh_main_effect_province_growth_adjacent_provinces	adjacent_provinces
value	wh_main_effect_province_growth_building	buildings
value	wh_main_effect_province_growth_characters	characters
value	wh_main_effect_province_growth_commandment	commandment
value	wh_main_effect_province_growth_events	events
value	wh_main_effect_province_growth_food	food
value	wh_main_effect_province_growth_other	other
value	wh_main_effect_province_growth_tech	technology
