bonus_value_id	effect	unit_attribute
#effect_bonus_value_unit_attribute_junctions_tables;0;db/effect_bonus_value_unit_attribute_junctions_tables/data__		
enable	wh2_dlc10_effect_attribute_enable_perfect_vigour	fatigue_immune
enable	wh2_dlc10_effect_attribute_enable_rampage	rampage
enable	wh2_dlc10_effect_attribute_enable_snipe	snipe
enable	wh2_dlc10_effect_unit_enable_attribute_rampage	rampage
enable	wh2_dlc15_effect_unit_enable_attribute_charge_defence_against_large	charge_defense_vs_large
enable	wh2_dlc15_effect_unit_enable_attribute_woodsman	ignore_trees
enable	wh2_dlc16_effect_force_enable_attribute_guerrilla_deployment_all	guerrilla_deploy
enable	wh2_dlc16_effect_unit_enable_attribute_encourage	encourages
enable	wh2_dlc16_effect_unit_enable_attribute_undead	undead
enable	wh3_dlc20_effect_attribute_immune_to_contact_stat_effects	ignore_imbue_contact_effects_enemy
enable	wh3_dlc20_effect_daemonic_khorne	daemonic
enable	wh3_dlc20_effect_daemonic_nurgle	daemonic
enable	wh3_dlc20_effect_daemonic_slaanesh	daemonic
enable	wh3_dlc20_effect_daemonic_tzeentch	daemonic
enable	wh3_dlc20_effect_daemonic_undivided	daemonic
enable	wh3_dlc24_effect_attribute_enable_360_missile_block	can_block_missiles_360
enable	wh3_dlc24_effect_attribute_enable_cannot_run	cant_run
enable	wh3_dlc24_effect_attribute_enable_executor	executor
enable	wh3_dlc25_nur_chieftain_ritual_ability_perfect_vigour_scripted	fatigue_immune
enable	wh3_dlc26_effect_attribute_enable_glorious_charge	glorious_charge
enable	wh3_dlc26_effect_attribute_enable_immune_to_flanking	flanking_immune
enable	wh3_dlc26_effect_attribute_enable_slayer	slayer
enable	wh3_main_effect_attribute_enable_charge_reflection	charge_reflection
enable	wh3_main_effect_attribute_enable_contempt	contempt
enable	wh3_main_effect_attribute_enable_cth_yin_yang	yang
enable	wh3_main_effect_attribute_enable_cth_yin_yang	yin
enable	wh3_main_effect_attribute_enable_devestating_flanker	devastating_flanker
enable	wh3_main_effect_attribute_enable_flight_hidden	flying
enable	wh3_main_effect_attribute_enable_flight	flying
enable	wh3_main_effect_attribute_enable_revealed	revealed
enable	wh3_main_effect_attribute_unyielding_assault	unyielding_assault
enable	wh3_main_effect_attribute_wallbreaker	wallbreaker
enable	wh_dlc14_effect_unit_enable_attribute_unspottable	unspottable
enable	wh_main_effect_attribute_enable_causes_fear_hidden	causes_fear
enable	wh_main_effect_attribute_enable_causes_fear	causes_fear
enable	wh_main_effect_attribute_enable_causes_terror_hidden	causes_terror
enable	wh_main_effect_attribute_enable_causes_terror	causes_terror
enable	wh_main_effect_attribute_enable_encourage_hidden	encourages
enable	wh_main_effect_attribute_enable_encourage	encourages
disable	wh_main_effect_attribute_enable_expert_charge_defence	charge_defense_vs_large
enable	wh_main_effect_attribute_enable_expert_charge_defence	charge_defense
enable	wh_main_effect_attribute_enable_immune_to_psychology	immune_to_psychology
enable	wh_main_effect_attribute_enable_stalk	stalk
enable	wh_main_effect_attribute_enable_strider	strider
enable	wh_main_effect_attribute_enable_unbreakable	unbreakable
enable	wh_main_effect_attribute_enable_vanguard_deployment_hidden	guerrilla_deploy
enable	wh_main_effect_attribute_enable_vanguard_deployment	guerrilla_deploy
enable	wh_main_effect_unit_enable_attribute_guerrilla_deployment_dummy	guerrilla_deploy
