group	key
#diplomacy_keys_to_diplomacy_key_groups_tables;0;db/diplomacy_keys_to_diplomacy_key_groups_tables/data__	
accept_ultimatum	accept_ultimatum
accept	accept
acknowledge_accept	acknowledge_accept
acknowledge_cancel_treaty	acknowledge_cancel_client_state
acknowledge_cancel_treaty	acknowledge_cancel_defensive_alliance
acknowledge_cancel_treaty	acknowledge_cancel_military_alliance
acknowledge_cancel_treaty	acknowledge_cancel_non_aggression_pact
acknowledge_cancel_treaty	acknowledge_cancel_soft_military_access
acknowledge_cancel_treaty	acknowledge_cancel_trade
acknowledge_cancel_treaty	acknowledge_cancel_vassal
accept	acknowledge_client_state
acknowledge_accept	acknowledge_counter_accept
acknowledge_reject	acknowledge_counter_reject
acknowledge_reject	acknowledge_reject
accept_state_gift	acknowledge_state_gift
accept	acknowledge_vassal
acknowledge_war	acknowledge_war
generic_offer_demand	approach
cancel_treaty	cancel_client_state
cancel_treaty	cancel_defensive_alliance
cancel_treaty	cancel_military_alliance
cancel_treaty	cancel_non_aggression_pact
cancel_treaty	cancel_soft_military_access
cancel_treaty	cancel_trade
cancel_treaty	cancel_vassal
accept	counter_accept
generic_reject	counter_reject
generic_offer_demand	demand_break_client_state
generic_offer_demand	demand_break_defensive_alliance
generic_offer_demand	demand_break_military_alliance
generic_offer_demand	demand_break_non_aggression_pact
generic_offer_demand	demand_break_soft_military_access
generic_offer_demand	demand_break_trade_agreement
generic_offer_demand	demand_break_vassal
offer_cooperation	demand_client_state
generic_offer_demand	demand_confederation
demand_join_war	demand_join_war
generic_offer_demand	demand_regions
demand_payment	demand_single_payment
offer_cooperation	demand_soft_military_access
demand_payment	demand_state_gift_single_payment
generic_offer_demand	demand_technology
offer_cooperation	demand_vassal
generic_offer_demand	generic_offer_demand
generic_reject	generic_reject
generic_ultimatum	generic_ultimatum
offer_cooperation	offer_demand_defensive_alliance
offer_cooperation	offer_demand_military_alliance
offer_cooperation	offer_demand_non_aggression_pact
offer_demand_peace	offer_demand_peace
offer_cooperation	offer_demand_trade
offer_join_war	offer_join_war
offer_peace_and_region	offer_peace_and_region
offer_regions	offer_regions
offer_payment	offer_single_payment
offer_payment	offer_state_gift_single_payment
generic_offer_demand	offer_technology
receive	receive
reject_subjugation	reject_demand_client_state
reject_subjugation	reject_demand_confederation
generic_reject	reject_demand_join_war
generic_reject	reject_demand_regions
generic_reject	reject_demand_single_payment
generic_reject	reject_demand_soft_military_access
generic_reject	reject_demand_state_gift_single_payment
generic_reject	reject_demand_technology
reject_subjugation	reject_demand_vassal
generic_reject	reject_offer_demand_defensive_alliance
generic_reject	reject_offer_demand_military_alliance
generic_reject	reject_offer_demand_non_aggression_pact
reject_offer_demand_peace	reject_offer_demand_peace
generic_reject	reject_offer_demand_trade
generic_reject	reject_offer_regions
generic_reject	reject_offer_single_payment
generic_reject	reject_offer_state_gift_single_payment
reject_ultimatum	reject_ultimatum
offer_payment	state_gift
too_many_counters	too_many_counters
ultimatum_and_demand_region	ultimatum_and_demand_region
war	war
