region_group_profile	default_region_group_policy
#cai_personality_region_group_profiles_tables;0;db/cai_personality_region_group_profiles_tables/data__	
default	default
wh3_chaos_region_hint_profile_cathay_miao_ying	wh3_chaos_region_hint_policy_cathay_miao_ying
wh3_chaos_region_hint_profile_cathay_yuan_bo	wh3_chaos_region_hint_policy_cathay_yuan_bo
wh3_chaos_region_hint_profile_cathay_zhao_ming	wh3_chaos_region_hint_policy_cathay_zhao_ming
wh3_chaos_region_hint_profile_chaos_dwarf_astragoth	wh3_chaos_region_hint_policy_chaos_dwarf_astragoth
wh3_chaos_region_hint_profile_chaos_dwarf_drazoath	wh3_chaos_region_hint_policy_chaos_dwarf_drazoath
wh3_chaos_region_hint_profile_chaos_dwarf_zhatan	wh3_chaos_region_hint_policy_chaos_dwarf_zhatan
wh3_chaos_region_hint_profile_chaos_settled_azazel	wh3_chaos_region_hint_policy_chaos_settled_azazel
wh3_chaos_region_hint_profile_chaos_settled_festus	wh3_chaos_region_hint_policy_chaos_settled_festus
wh3_chaos_region_hint_profile_chaos_settled_valkia	wh3_chaos_region_hint_policy_chaos_settled_valkia
wh3_chaos_region_hint_profile_chaos_settled_vilitch	wh3_chaos_region_hint_policy_chaos_settled_vilitch
wh3_chaos_region_hint_profile_daemon_prince	wh3_chaos_region_hint_policy_daemon_prince
wh3_chaos_region_hint_profile_dwarf_malakai	wh3_chaos_region_hint_policy_dwarfs_malakai
wh3_chaos_region_hint_profile_empire_elspeth	wh3_chaos_region_hint_policy_empire_elspeth
wh3_chaos_region_hint_profile_khorne_arbaal	wh3_chaos_region_hint_policy_khorne_arbaal
wh3_chaos_region_hint_profile_khorne_skarbrand	wh3_chaos_region_hint_policy_khorne_skarbrand
wh3_chaos_region_hint_profile_khorne_skulltaker	wh3_chaos_region_hint_policy_khorne_skulltaker
wh3_chaos_region_hint_profile_kislev_katarin	wh3_chaos_region_hint_policy_kislev_katarin
wh3_chaos_region_hint_profile_kislev_kostaltyn	wh3_chaos_region_hint_policy_kislev_kostaltyn
wh3_chaos_region_hint_profile_kislev_ostankya	wh3_chaos_region_hint_policy_kislev_ostankya
wh3_chaos_region_hint_profile_nurgle_kugath	wh3_chaos_region_hint_policy_nurgle_kugath
wh3_chaos_region_hint_profile_nurlge_tamurkhan	wh3_chaos_region_hint_policy_nurgle_tamurkhan
wh3_chaos_region_hint_profile_ogre_greasus	wh3_chaos_region_hint_policy_ogre_greasus
wh3_chaos_region_hint_profile_slaanesh_nkari	wh3_chaos_region_hint_policy_slaanesh_nkari
wh3_chaos_region_hint_profile_tzeentch_kairos	wh3_chaos_region_hint_policy_tzeentch_kairos
wh3_combi_region_hint_profile_beastmen_khazrak	wh3_combi_region_hint_policy_beastmen_khazrak
wh3_combi_region_hint_profile_beastmen_malagor	wh3_combi_region_hint_policy_beastmen_malagor
wh3_combi_region_hint_profile_beastmen_morghur	wh3_combi_region_hint_policy_beastmen_morghur
wh3_combi_region_hint_profile_bretonnia_fayenchantress	wh3_combi_region_hint_policy_bretonnia_fayenchantress
wh3_combi_region_hint_profile_bretonnia_louen	wh3_combi_region_hint_policy_bretonnia_louen
