stance	culture	subculture	faction	force_type	effect_bundle	resource_cost
#campaign_stance_effects_junctions_tables;1;db/campaign_stance_effects_junctions_tables/data__						
MILITARY_FORCE_ACTIVE_STANCE_TYPE_AMBUSH					wh_main_bundle_stance_army_ambush	
MILITARY_FORCE_ACTIVE_STANCE_TYPE_AMBUSH				HORDE_KHAZRAK	wh2_dlc17_bundle_stance_army_encamp_horde_beastmen_unique_khazrak	
MILITARY_FORCE_ACTIVE_STANCE_TYPE_AMBUSH				HORDE_MALAGOR	wh_dlc03_bundle_stance_army_settlement_horde_beastmen	
MILITARY_FORCE_ACTIVE_STANCE_TYPE_AMBUSH				HORDE_MORGHUR	wh_dlc03_bundle_stance_army_settlement_horde_beastmen	
MILITARY_FORCE_ACTIVE_STANCE_TYPE_AMBUSH				HORDE_TAUROX	wh_dlc03_bundle_stance_army_settlement_horde_beastmen	
MILITARY_FORCE_ACTIVE_STANCE_TYPE_AMBUSH				OXYOTL	wh_dlc07_bundle_stance_army_ambush_wood_elves	
MILITARY_FORCE_ACTIVE_STANCE_TYPE_AMBUSH			wh3_dlc20_chs_valkia		wh3_dlc20_bundle_stance_army_ambush_valkia	
MILITARY_FORCE_ACTIVE_STANCE_TYPE_AMBUSH	wh_dlc03_bst_beastmen			HORDE	wh_dlc03_bundle_stance_army_settlement_horde_beastmen	
MILITARY_FORCE_ACTIVE_STANCE_TYPE_AMBUSH	wh_dlc05_wef_wood_elves				wh_dlc07_bundle_stance_army_ambush_wood_elves	
MILITARY_FORCE_ACTIVE_STANCE_TYPE_AMBUSH	wh_main_brt_bretonnia				wh_dlc07_bundle_stance_army_ambush_bretonnia	
MILITARY_FORCE_ACTIVE_STANCE_TYPE_ASSEMBLE_FLEET					wh_main_bundle_stance_army_mustering	
MILITARY_FORCE_ACTIVE_STANCE_TYPE_ASTROMANCY					wh2_main_bundle_stance_army_astromancy	
MILITARY_FORCE_ACTIVE_STANCE_TYPE_CHANNELING					wh_main_bundle_stance_army_channelling	
MILITARY_FORCE_ACTIVE_STANCE_TYPE_CHANNELING	wh2_dlc11_cst_vampire_coast				wh2_dlc11_bundle_stance_army_treasure_hunting	
MILITARY_FORCE_ACTIVE_STANCE_TYPE_CHANNELING	wh2_main_def_dark_elves				wh_main_bundle_stance_army_channelling_vmp	
MILITARY_FORCE_ACTIVE_STANCE_TYPE_CHANNELING	wh2_main_hef_high_elves				wh2_main_bundle_stance_army_channelling_hef	
MILITARY_FORCE_ACTIVE_STANCE_TYPE_CHANNELING			wh3_dlc20_chs_valkia		wh3_dlc20_bundle_stance_army_channeling_valkia	
MILITARY_FORCE_ACTIVE_STANCE_TYPE_CHANNELING	wh3_main_kho_khorne				wh3_main_bundle_stance_army_channelling_kho	
MILITARY_FORCE_ACTIVE_STANCE_TYPE_CHANNELING	wh_main_vmp_vampire_counts				wh_main_bundle_stance_army_channelling_vmp	
MILITARY_FORCE_ACTIVE_STANCE_TYPE_DEFAULT					wh_main_bundle_stance_army_default	
MILITARY_FORCE_ACTIVE_STANCE_TYPE_DEFAULT				HORDE_KHAZRAK	wh_dlc03_bundle_stance_army_default_beastmen	
MILITARY_FORCE_ACTIVE_STANCE_TYPE_DEFAULT				HORDE_MALAGOR	wh_dlc03_bundle_stance_army_default_beastmen	
MILITARY_FORCE_ACTIVE_STANCE_TYPE_DEFAULT				HORDE_MORGHUR	wh_dlc03_bundle_stance_army_default_beastmen	
MILITARY_FORCE_ACTIVE_STANCE_TYPE_DEFAULT				HORDE_TAUROX	wh_dlc03_bundle_stance_army_default_beastmen	
MILITARY_FORCE_ACTIVE_STANCE_TYPE_DEFAULT			wh2_main_hef_nagarythe		wh2_main_bundle_stance_army_stalking	
MILITARY_FORCE_ACTIVE_STANCE_TYPE_DEFAULT	wh2_main_skv_skaven				wh2_main_bundle_stance_army_stalking	
MILITARY_FORCE_ACTIVE_STANCE_TYPE_DEFAULT	wh_dlc03_bst_beastmen			HORDE	wh_dlc03_bundle_stance_army_default_beastmen	
MILITARY_FORCE_ACTIVE_STANCE_TYPE_DOUBLE_TIME					wh_main_bundle_stance_navy_double_time	
MILITARY_FORCE_ACTIVE_STANCE_TYPE_DOUBLE_TIME	wh2_main_hef_high_elves				wh2_main_bundle_stance_navy_double_time_hef	
