key	face_destination_tolerance_angle	force_initial_turn_angle	max_standing_turn_speed	min_stopping_distance	min_turn_to_move_distance	precise_distance	precise_movement_completion_distance	engine_crew_max_turn_delta	engine_crew_enable_bearing_tolerance	engine_crew_bearing_tolerance
#battle_entity_locomotion_constants_tables;1;db/battle_entity_locomotion_constants_tables/data__										
articulated_entity	1.0000	120.0000	0.2000	0.5000	1000.0000	6.0000	0.2000	35.0000	true	40.0000
cathay_dragon_entity	1.0000	30.0000	1.0000	3.0000	1000.0000	6.0000	0.5000	35.0000	true	40.0000
hovering_entity	1.0000	180.0000	6.0000	3.0000	1000.0000	6.0000	0.5000	35.0000	true	40.0000
large_entity	1.0000	30.0000	1.2000	2.0000	1000.0000	4.0000	0.2000	35.0000	true	40.0000
large_entity_turn_to_move	1.0000	30.0000	1.2000	2.0000	7.5000	4.0000	0.2000	35.0000	true	40.0000
medium_entity	1.0000	90.0000	0.6000	1.0000	1000.0000	2.0000	0.0500	35.0000	true	40.0000
medium_entity_turn_to_move	1.0000	90.0000	0.6000	1.0000	5.0000	2.0000	0.0500	35.0000	true	40.0000
mournfang_entity	1.0000	60.0000	0.9000	1.5000	1000.0000	3.0000	0.1000	35.0000	true	40.0000
rear_wheeled_entity	1.0000	90.0000	0.2000	0.5000	1000.0000	4.0000	0.2000	35.0000	true	40.0000
seeker_chariot_articulated_entity	1.0000	120.0000	0.1000	0.5000	10.0000	6.0000	0.2000	35.0000	true	40.0000
seeker_chariot_entity	1.0000	120.0000	0.1000	0.5000	10.0000	6.0000	0.2000	35.0000	true	40.0000
small_entity	1.0000	180.0000	0.3000	0.5000	0.1000	1.0000	0.0100	35.0000	true	40.0000
small_entity_turn_to_move	1.0000	90.0000	0.3000	0.5000	2.0000	1.0000	0.0100	35.0000	true	40.0000
very_large_entity	1.0000	15.0000	2.0000	3.0000	1000.0000	6.0000	0.5000	35.0000	true	40.0000
very_large_entity_turn_to_move	1.0000	15.0000	2.0000	3.0000	10.0000	6.0000	0.5000	35.0000	true	40.0000
very_small_entity	1.0000	90.0000	0.3000	0.5000	1000.0000	1.0000	0.0100	35.0000	true	40.0000
very_small_entity_turn_to_move	1.0000	90.0000	0.3000	0.5000	2.0000	1.0000	0.0100	35.0000	true	40.0000
wheeled_entity	1.0000	15.0000	2.0000	0.5000	0.1000	4.0000	0.2000	35.0000	true	40.0000
wheeled_train_entity	1.0000	180.0000	1.0000	2.0000	1000.0000	6.0000	0.5000	35.0000	true	40.0000
