token	token_set	weight	amount
#chaotic_plan_tokens_to_token_sets_junctions_tables;1;db/chaotic_plan_tokens_to_token_sets_junctions_tables/data__			
wh3_dlc29_action_any_remove_red_1	wh3_dlc29_skill_innate_skv_schemer_assassin_1	1	1
wh3_dlc29_any_action_basic_diversion_generated	wh3_dlc29_action_economic_dangerous_treasury	1	1
wh3_dlc29_any_action_basic_diversion_generated	wh3_dlc29_action_economic_dangerous_warpstone	1	1
wh3_dlc29_any_action_basic_diversion_generated	wh3_dlc29_action_military_reinforcements	1	1
wh3_dlc29_any_action_basic_diversion_generated	wh3_dlc29_any_action_basic_diversion_generated	1	1
wh3_dlc29_any_action_skill_copy_green_1_economy	wh3_dlc29_skill_innate_skv_schemer_warlock_1	1	1
wh3_dlc29_any_action_skill_copy_green_1_military	wh3_dlc29_skill_innate_skv_schemer_warlock_1	1	1
wh3_dlc29_any_red_alarm_action_cost_1	wh3_dlc29_any_red_green_economic_region_0	1	1
wh3_dlc29_any_red_alarm_action_cost_1	wh3_dlc29_any_red_green_economic_region_1	1	1
wh3_dlc29_any_red_alarm_action_cost_1	wh3_dlc29_any_red_green_economic_region_2	1	1
wh3_dlc29_any_red_alarm_action_cost_1	wh3_dlc29_any_red_green_economic_region_3	1	1
wh3_dlc29_any_red_alarm_action_cost_1	wh3_dlc29_any_red_green_economic_region_4	1	1
wh3_dlc29_any_red_alarm_action_cost_1	wh3_dlc29_any_red_green_economic_region_gdp_based	1	1
wh3_dlc29_any_red_alarm_action_cost_2	wh3_dlc29_any_red_green_economic_region_0	1	1
wh3_dlc29_any_red_alarm_action_cost_2	wh3_dlc29_any_red_green_economic_region_1	1	1
wh3_dlc29_any_red_alarm_action_cost_2	wh3_dlc29_any_red_green_economic_region_2	1	1
wh3_dlc29_any_red_alarm_action_cost_2	wh3_dlc29_any_red_green_economic_region_3	1	1
wh3_dlc29_any_red_alarm_action_cost_2	wh3_dlc29_any_red_green_economic_region_4	1	1
wh3_dlc29_any_red_alarm_action_cost_2	wh3_dlc29_any_red_green_economic_region_gdp_based	1	1
wh3_dlc29_any_red_attention_generated	wh3_dlc29_any_action_draw_warlock_negative	1	1
wh3_dlc29_any_red_attention_generated	wh3_dlc29_any_red_attention_generated	1	1
wh3_dlc29_any_red_basic_alarm_1	wh3_dlc29_any_red_green_economic_region_0	1	1
wh3_dlc29_any_red_basic_alarm_1	wh3_dlc29_any_red_green_economic_region_1	1	1
wh3_dlc29_any_red_basic_alarm_1	wh3_dlc29_any_red_green_economic_region_2	1	1
wh3_dlc29_any_red_basic_alarm_1	wh3_dlc29_any_red_green_economic_region_3	1	1
wh3_dlc29_any_red_basic_alarm_1	wh3_dlc29_any_red_green_economic_region_4	1	1
wh3_dlc29_any_red_basic_alarm_1	wh3_dlc29_any_red_green_economic_region_gdp_based	1	1
wh3_dlc29_any_red_basic_alarm_2	wh3_dlc29_any_red_green_economic_region_0	1	1
