key	commander_agent_subtype	budget_formula	budget_base	composite_scene	trigger_event_feed_events	permitted_units	commander_agent_type
#spawnable_forces_tables;1;db/spawnable_forces_tables/data__							
wh2_dlc14_ritual_def_warmaster		absolute_value	0		false		general
wh2_main_ritual_lzd_primeval_glory		absolute_value	0		false		general
wh3_dlc20_nor_vassal_army	wh_main_nor_marauder_chieftain	absolute_value	0		false		general
wh3_dlc24_ritual_cth_mos_steel_settlement_generate_temporary_army	wh3_main_cth_lord_magistrate_yin	absolute_value	0		false		general
wh3_dlc29_alliance_chaos_bst	wh_dlc03_bst_beastlord	absolute_value	0		false	wh3_dlc29_alliance_chaos_bst	general
wh3_dlc29_alliance_chaos_chd	wh3_dlc23_chd_overseer	absolute_value	0		false	wh3_dlc29_alliance_chaos_chd	general
wh3_dlc29_alliance_chaos_chs	wh_main_chs_lord	absolute_value	0		false	wh3_dlc29_alliance_chaos_chs	general
wh3_dlc29_alliance_chaos_dae	wh3_main_dae_daemon_prince	absolute_value	0		false	wh3_dlc29_alliance_chaos_dae	general
wh3_dlc29_alliance_chaos_kho	wh3_main_kho_herald_of_khorne	absolute_value	0		false	wh3_dlc29_alliance_chaos_kho	general
wh3_dlc29_alliance_chaos_nor	wh_main_nor_marauder_chieftain	absolute_value	0		false	wh3_dlc29_alliance_chaos_nor	general
wh3_dlc29_alliance_chaos_nur	wh3_main_nur_herald_of_nurgle_nurgle	absolute_value	0		false	wh3_dlc29_alliance_chaos_nur	general
wh3_dlc29_alliance_chaos_sla	wh3_main_sla_herald_of_slaanesh_slaanesh	absolute_value	0		false	wh3_dlc29_alliance_chaos_sla	general
wh3_dlc29_alliance_chaos_tze	wh3_main_tze_herald_of_tzeentch_tzeentch	absolute_value	0		false	wh3_dlc29_alliance_chaos_tze	general
wh3_dlc29_alliance_death_cst	wh2_dlc11_cst_admiral_deep	absolute_value	0		false	wh3_dlc29_alliance_death_cst	general
wh3_dlc29_alliance_death_tmb	wh2_dlc09_tmb_tomb_king	absolute_value	0		false	wh3_dlc29_alliance_death_tmb	general
wh3_dlc29_alliance_death_vmp	wh_main_vmp_master_necromancer	absolute_value	0		false	wh3_dlc29_alliance_death_vmp	general
wh3_dlc29_alliance_destruction_grn	wh_main_grn_orc_warboss	absolute_value	0		false	wh3_dlc29_alliance_destruction_grn	general
wh3_dlc29_alliance_destruction_ogr	wh3_main_ogr_tyrant	absolute_value	0		false	wh3_dlc29_alliance_destruction_ogr	general
wh3_dlc29_alliance_elves_def	wh2_main_def_dreadlord	absolute_value	0		false	wh3_dlc29_alliance_elves_def	general
wh3_dlc29_alliance_elves_hef	wh2_main_hef_prince	absolute_value	0		false	wh3_dlc29_alliance_elves_hef	general
wh3_dlc29_alliance_elves_wef	wh_dlc05_wef_glade_lord_fem	absolute_value	0		false	wh3_dlc29_alliance_elves_wef	general
wh3_dlc29_alliance_order_brt	wh_main_brt_lord	absolute_value	0		false	wh3_dlc29_alliance_order_brt	general
wh3_dlc29_alliance_order_cth	wh3_main_cth_lord_magistrate_yin	absolute_value	0		false	wh3_dlc29_alliance_order_cth	general
wh3_dlc29_alliance_order_dwf	wh_main_dwf_lord	absolute_value	0		false	wh3_dlc29_alliance_order_dwf	general
wh3_dlc29_alliance_order_emp	wh_main_emp_lord	absolute_value	0		false	wh3_dlc29_alliance_order_emp	general
wh3_dlc29_alliance_order_ksl	wh3_main_ksl_boyar	absolute_value	0		false	wh3_dlc29_alliance_order_ksl	general
wh3_dlc29_alliance_order_lzd	wh2_main_lzd_saurus_old_blood	absolute_value	0		false	wh3_dlc29_alliance_order_lzd	general
wh3_dlc29_hunting_party	wh_main_emp_lord	absolute_value	5000		false	wh3_dlc29_hunting_party	general
wh3_dlc29_woc_glottkin_spawned_army	wh3_dlc29_nur_herald_of_nurgle_nurgle_rotborne_host_army	absolute_value	0		true		general
wh3_main_ogr_camp	wh3_main_ogr_tyrant_camp	absolute_value	0		true		general
wh3_main_sla_disciple_army	wh3_main_sla_herald_of_slaanesh_slaanesh_disciple_army	slaanesh_disciples	0	wh3_main_sla_summon_disciple_army	true	wh3_main_sla_disciple_army	general
