unit_set	initiative	icon_path	required_number
#initiative_unit_set_requirements_tables;0;db/initiative_unit_set_requirements_tables/data__			
grn_wolf_riders	wh3_dlc26_force_initiative_grn_da_plan_alpha_amma_2	UI\skins\default\dlc26_greenskins_da_plan\unit_set_wolf_riders.png	2
wh2_dlc11_grn_all_orc_infantry	wh3_dlc26_force_initiative_grn_da_plan_alpha_amma_2	UI\skins\default\dlc26_greenskins_da_plan\unit_set_orc_infantry.png	2
grn_archers	wh3_dlc26_force_initiative_grn_da_plan_arrer_catcha_1	UI\skins\default\dlc26_greenskins_da_plan\unit_set_archers.png	1
grn_infantry_goblin	wh3_dlc26_force_initiative_grn_da_plan_arrer_catcha_1	UI\skins\default\dlc26_greenskins_da_plan\unit_set_goblin_infantry.png	2
grn_trolls_all	wh3_dlc26_force_initiative_grn_da_plan_block_an_smash_1	UI\skins\default\dlc26_greenskins_da_plan\unit_set_trolls.png	2
wh2_dlc11_grn_all_orc_infantry	wh3_dlc26_force_initiative_grn_da_plan_block_an_smash_1	UI\skins\default\dlc26_greenskins_da_plan\unit_set_orc_infantry.png	2
grn_arachnarok	wh3_dlc26_force_initiative_grn_da_plan_broodmothers_3	UI\skins\default\dlc26_greenskins_da_plan\unit_set_arachnarock.png	1
grn_spider_riders	wh3_dlc26_force_initiative_grn_da_plan_broodmothers_3	UI\skins\default\dlc26_greenskins_da_plan\unit_set_spiders.png	4
grn_characters	wh3_dlc26_force_initiative_grn_da_plan_cheerleadaz_3	UI\skins\default\dlc26_greenskins_da_plan\unit_set_characters.png	1
grn_infantry_goblin	wh3_dlc26_force_initiative_grn_da_plan_cheerleadaz_3	UI\skins\default\dlc26_greenskins_da_plan\unit_set_goblin_infantry.png	5
grn_gorbad_ironclaw	wh3_dlc26_force_initiative_grn_da_plan_cut_da_chains_3	UI\skins\default\dlc26_greenskins_da_plan\lord_card.png	1
grn_waaagh_wyvern	wh3_dlc26_force_initiative_grn_da_plan_cut_da_chains_3	UI\units\infopics\wh2_dlc15_grn_mon_wyvern_waaagh.png	1
grn_black_orcs	wh3_dlc26_force_initiative_grn_da_plan_da_black_bastion_2	UI/skins/default/dlc26_greenskins_da_plan/unit_set_black_orcs.png	2
mp_cap_unit_grn_inf_orc_boyz	wh3_dlc26_force_initiative_grn_da_plan_da_black_bastion_2	UI\units\infopics\wh_main_grn_orc_boyz_sword.png	2
grn_gorbad_ironclaw	wh3_dlc26_force_initiative_grn_da_plan_da_greatest_warlord_2	UI\skins\default\dlc26_greenskins_da_plan\lord_card.png	1
grn_cav_orc	wh3_dlc26_force_initiative_grn_da_plan_drag_da_wagonz_2	UI\skins\default\dlc26_greenskins_da_plan\unit_set_boar_cavalry.png	2
grn_wolf_riders	wh3_dlc26_force_initiative_grn_da_plan_drag_da_wagonz_2	UI\skins\default\dlc26_greenskins_da_plan\unit_set_wolf_riders.png	2
grn_fanatics	wh3_dlc26_force_initiative_grn_da_plan_drink_an_drive_2	UI\skins\default\dlc26_greenskins_da_plan\unit_set_fanatics.png	2
wh2_dlc15_grn_veh_snotling_pump_wagon_all	wh3_dlc26_force_initiative_grn_da_plan_drink_an_drive_2	UI\skins\default\dlc26_greenskins_da_plan\unit_set_pump_wagons.png	3
grn_large_monsters	wh3_dlc26_force_initiative_grn_da_plan_earthquake_2	UI/skins/default/dlc26_greenskins_da_plan/unit_set_large_monsters.png	5
grn_giants	wh3_dlc26_force_initiative_grn_da_plan_eat_da_runts_2	UI\units\infopics\wh_main_grn_giant.png	2
