campaign_group	ritual_chain	unlock_mission	unlock_turn	shared_progress	initially_unlocked
#campaign_group_ritual_chains_tables;3;db/campaign_group_ritual_chains_tables/data__					
wh2_dlc14_ritual_combi_eshin	wh2_dlc14_ritual_mortal_empires_eshin		0	false	true
wh2_dlc15_feature_eltharion	wh2_dlc15_athel_tamarha_influence		0	false	true
wh2_dlc15_feature_eltharion	wh2_dlc15_athel_tamarha_interrogation		0	false	true
wh2_dlc15_feature_eltharion	wh2_dlc15_athel_tamarha_melee_mistwalkers		0	false	true
wh2_dlc15_feature_eltharion	wh2_dlc15_athel_tamarha_mist		0	false	true
wh2_dlc15_feature_eltharion	wh2_dlc15_athel_tamarha_mistwalkers_recruitment		0	false	true
wh2_dlc15_feature_eltharion	wh2_dlc15_athel_tamarha_mistwalkers_upgrades		0	false	true
wh2_dlc15_feature_eltharion	wh2_dlc15_athel_tamarha_prison		0	false	true
wh2_dlc15_feature_eltharion	wh2_dlc15_athel_tamarha_ranged_mistwalkers		0	false	true
wh2_dlc16_forge_rites	wh2_dlc16_ritual_wef_forge_dragon_armour		0	false	true
wh2_dlc16_forge_rites	wh2_dlc16_ritual_wef_forge_dragon_enchanted_item		0	false	true
wh2_dlc16_forge_rites	wh2_dlc16_ritual_wef_forge_dragon_talisman		0	false	true
wh2_dlc16_forge_rites	wh2_dlc16_ritual_wef_forge_dragon_weapon		0	false	true
wh2_dlc16_forge_rites	wh2_dlc16_ritual_wef_forge_dreaming_armour		0	false	true
wh2_dlc16_forge_rites	wh2_dlc16_ritual_wef_forge_dreaming_enchanted_item		0	false	true
wh2_dlc16_forge_rites	wh2_dlc16_ritual_wef_forge_dreaming_talisman		0	false	true
wh2_dlc16_forge_rites	wh2_dlc16_ritual_wef_forge_dreaming_weapon		0	false	true
wh2_dlc16_forge_rites	wh2_dlc16_ritual_wef_forge_eagle_armour		0	false	true
wh2_dlc16_forge_rites	wh2_dlc16_ritual_wef_forge_eagle_enchanted_item		0	false	true
wh2_dlc16_forge_rites	wh2_dlc16_ritual_wef_forge_eagle_talisman		0	false	true
wh2_dlc16_forge_rites	wh2_dlc16_ritual_wef_forge_eagle_weapon		0	false	true
wh2_dlc16_forge_rites	wh2_dlc16_ritual_wef_forge_twilight_armour		0	false	true
wh2_dlc16_forge_rites	wh2_dlc16_ritual_wef_forge_twilight_enchanted_item		0	false	true
wh2_dlc16_forge_rites	wh2_dlc16_ritual_wef_forge_twilight_talisman		0	false	true
wh2_dlc16_forge_rites	wh2_dlc16_ritual_wef_forge_twilight_weapon		0	false	true
wh2_dlc17_bst_rituals_character_upgrade	wh2_dlc17_ritual_character_upgrades		0	false	true
wh2_dlc17_bst_rituals_herdstone_upgrade	wh2_dlc17_ritual_herdstone_upgrades		0	false	true
wh2_dlc17_bst_rituals_hordes_upgrade	wh2_dlc17_ritual_unit_experience_upgrades		0	false	true
wh_main_feature_vampire_counts	wh2_dlc11_ritual_bloodlines_blood_dragon		0	false	true
wh_main_feature_vampire_counts	wh2_dlc11_ritual_bloodlines_lahmian		0	false	true
wh_main_feature_vampire_counts	wh2_dlc11_ritual_bloodlines_necrarch		0	false	true
wh_main_feature_vampire_counts	wh2_dlc11_ritual_bloodlines_strigoi		0	false	true
wh_main_feature_vampire_counts	wh2_dlc11_ritual_bloodlines_von_carstein		0	false	true
