key	ammo_caisson_entity	ammo_caisson_destruction	ammo_caisson_model	ammo_caisson_destroyed_model	articulated_entity	head_offset	engine_articulation_node_index	draughts_articulation_node_index	is_train
#land_unit_articulated_vehicles_tables;6;db/land_unit_articulated_vehicles_tables/data__									
articulated		vmp_black_coach_01			wh_main_vehicle_vmp_black_coach_chariot_articulation	2.2000	2	0	false
wh2_dlc09_tmb_chariot		vmp_black_coach_01			wh2_dlc09_tmb_vehicle_chariot_horse_articulation	1.8000	2	0	false
wh2_dlc09_tmb_chariot_arkhan		vmp_black_coach_01			wh2_dlc09_tmb_vehicle_chariot_arkhan_articulation	1.8000	2	0	false
wh2_dlc09_tmb_chariot_character		vmp_black_coach_01			wh2_dlc09_tmb_vehicle_chariot_horse_articulation	1.8000	2	0	false
wh2_dlc09_tmb_chariot_settra		vmp_black_coach_01			wh2_dlc09_tmb_vehicle_chariot_settra_articulation	2.2000	2	0	false
wh2_dlc13_emp_war_wagon		vmp_black_coach_01			wh2_dlc13_vehicle_war_wagon_articulation	2.0000	2	0	false
wh2_dlc13_emp_war_wagon_artillery		vmp_black_coach_01			wh2_dlc13_vehicle_war_wagon_articulation_artillery	2.0000	2	0	false
wh2_dlc14_def_scourgerunner_chariot		vmp_black_coach_01			wh2_dlc14_def_scourgerunner_chariot_articulation	2.6000	2	0	false
wh2_dlc15_grn_grom_chariot		vmp_black_coach_01			wh2_dlc15_vehicle_grn_grom_chariot_articulation	1.6000	2	0	false
wh2_dlc17_bst_tuskgor_chariot		vmp_black_coach_01			wh2_dlc17_veh_bst_tuskgor_chariot_articulation	2.0000	2	0	false
wh2_main_def_cold_one_chariot		vmp_black_coach_01			wh2_main_def_cold_one_chariot_articulation	2.8000	2	0	false
wh2_main_hef_ithilmar_chariot		vmp_black_coach_01			wh2_main_hef_ithilmar_chariot_articulation	1.6000	2	0	false
wh2_main_hef_tiranoc_chariot		vmp_black_coach_01			wh2_main_hef_tiranoc_chariot_articulation	1.6000	2	0	false
wh2_main_hef_war_lion_chariot		vmp_black_coach_01			wh2_dlc15_hef_war_lion_chariot_articulation	1.6000	2	0	false
wh3_dlc23_chd_veh_dreadquake_mortar		vmp_black_coach_01			wh3_dlc23_chd_veh_articulation_dreadquake	0.0000	0	0	true
wh3_dlc23_chd_veh_iron_daemon		vmp_black_coach_01			wh3_dlc23_chd_veh_articulation_locomotive	0.0000	0	0	true
wh3_dlc23_chd_veh_iron_daemon_1carriage		vmp_black_coach_01			wh3_dlc23_chd_veh_articulation_train	0.0000	0	0	true
wh3_dlc23_chd_veh_iron_daemon_1carriage_plus1		vmp_black_coach_01			wh3_dlc23_chd_veh_articulation_train	0.0000	0	0	true
wh3_dlc23_chd_veh_iron_daemon_2carriage		vmp_black_coach_01			wh3_dlc23_chd_veh_articulation_train	0.0000	0	0	true
wh3_dlc23_chd_veh_iron_daemon_2carriage_plus1		vmp_black_coach_01			wh3_dlc23_chd_veh_articulation_train	0.0000	0	0	true
wh3_dlc23_chd_veh_iron_daemon_3carriage		vmp_black_coach_01			wh3_dlc23_chd_veh_articulation_train	0.0000	0	0	true
wh3_dlc23_chd_veh_iron_daemon_plus1		vmp_black_coach_01			wh3_dlc23_chd_veh_articulation_train	0.0000	0	0	true
wh3_dlc23_chd_veh_skullcracker		vmp_black_coach_01			wh3_dlc23_chd_veh_articulation_locomotive_skullcracker	0.0000	0	0	true
wh3_dlc23_chd_veh_skullcracker_1carriage		vmp_black_coach_01			wh3_dlc23_chd_veh_articulation_train_skullcracker	0.0000	0	0	true
wh3_dlc23_chd_veh_skullcracker_1carriage_plus1		vmp_black_coach_01			wh3_dlc23_chd_veh_articulation_train_skullcracker	0.0000	0	0	true
wh3_dlc23_chd_veh_skullcracker_2carriage_plus1		vmp_black_coach_01			wh3_dlc23_chd_veh_articulation_train_skullcracker	0.0000	0	0	true
wh3_dlc23_chd_veh_skullcracker_2dreadquake		vmp_black_coach_01			wh3_dlc23_chd_veh_articulation_train_skullcracker	0.0000	0	0	true
wh3_dlc23_chd_veh_skullcracker_3carriage		vmp_black_coach_01			wh3_dlc23_chd_veh_articulation_train_skullcracker	0.0000	0	0	true
wh3_dlc23_chd_veh_skullcracker_plus1		vmp_black_coach_01			wh3_dlc23_chd_veh_articulation_train_skullcracker	0.0000	0	0	true
wh3_dlc24_cth_vehicle_zhangu_war_drum		vmp_black_coach_01			wh3_dlc24_cth_veh_zhangu_war_drum_articulation	2.2000	2	0	false
wh3_dlc24_cth_vehicle_zhangu_war_drum_ror		vmp_black_coach_01			wh3_dlc24_cth_veh_zhangu_war_drum_ror_articulation	2.2000	2	0	false
wh3_dlc24_ksl_cha_hag_witch_sled		vmp_black_coach_01			wh3_dlc24_ksl_cha_hag_witch_sled_articulation	2.0000	2	0	false
wh3_dlc24_ksl_cha_mother_ostankya_sled		vmp_black_coach_01			wh3_dlc24_ksl_cha_mother_ostankya_sled_articulation	2.0000	2	0	false
wh3_dlc24_ksl_katarin_sled		vmp_black_coach_01			wh3_dlc24_ksl_veh_katarin_sled_articulation	3.5000	2	0	true
wh3_dlc25_emp_veh_marienburg_land_ship		vmp_black_coach_01			wh3_dlc25_emp_veh_marienburg_land_ship_articulation	0.0000	0	0	true
wh3_dlc25_emp_veh_steam_tank		vmp_black_coach_01			wh3_dlc25_emp_veh_steam_tank_articulation	2.0000	2	0	true
wh3_main_cth_art_grand_cannon_articulation		vmp_black_coach_01			wh3_main_cth_art_grand_cannon_articulation	1.8000	2	0	false
wh3_main_ogr_gnoblar_scraplauncher_ironblaster		vmp_black_coach_01			wh3_main_ogr_veh_scraplauncher_ironblaster_articulation	1.2000	2	0	false
wh3_main_vehicle_heavy_war_sled		vmp_black_coach_01			wh3_main_vehicle_heavy_war_sled_articulation	2.2000	2	0	false
wh3_main_vehicle_light_war_sled		vmp_black_coach_01			wh3_main_vehicle_light_war_sled_articulation	2.2000	2	0	false
wh3_main_vehicle_little_grom		vmp_black_coach_01			wh3_main_vehicle_little_grom_articulation	2.2000	2	0	false
wh3_main_vehicle_sla_exalted_seeker_chariot		vmp_black_coach_01			wh3_main_vehicle_sla_exalted_seeker_chariot_articulation	3.0000	2	0	false
wh3_main_vehicle_sla_hellflayer		vmp_black_coach_01			wh3_main_vehicle_sla_hellflayer_articulation	1.8000	2	0	false
wh3_main_vehicle_sla_seeker_chariot		vmp_black_coach_01			wh3_main_vehicle_sla_seeker_chariot_articulation	1.2000	2	0	false
wh3_main_vehicle_war_compass		vmp_black_coach_01			wh3_main_cth_veh_war_compass_articulation	3.2000	2	0	false
wh_dlc01_chs_chariot_gorebeast		vmp_black_coach_01			wh_dlc01_veh_chs_chariot_gorebeast_articulation	1.8000	2	0	false
wh_dlc03_bst_razorgor_chariot		vmp_black_coach_01			wh_dlc03_vehicle_bst_chariot_razorgor_articulation	1.8000	2	0	false
wh_dlc04_vmp_corpse_cart		vmp_black_coach_01			wh_dlc04_vehicle_vmp_corpse_cart_articulation	1.5000	2	0	false
wh_dlc08_nor_chariot_wolf		vmp_black_coach_01			wh_dlc08_vehicle_nor_war_wolf_chariot_articulation	1.8000	2	0	false
wh_main_chs_chariot_horse		vmp_black_coach_01			wh_main_vehicle_chs_chariot_articulation	1.8000	2	0	false
wh_main_emp_luminark_war_altar		vmp_black_coach_01			wh_main_vehicle_luminark_war_altar_articulation	1.7500	2	0	false
wh_main_grn_boar_chariot		vmp_black_coach_01			wh_main_vehicle_grn_boar_chariot_articulation	1.0000	2	0	false
wh_main_grn_wolf_chariot		vmp_black_coach_01			wh_main_vehicle_grn_wolf_chariot_articulation	1.2000	2	0	false
wh_main_vmp_black_coach		vmp_black_coach_01			wh_main_vehicle_vmp_black_coach_chariot_articulation	1.4000	2	0	false
