area	attacker	battle_type	battle_path	defender	required_tile_upgrades	battle_group
#battle_catchment_override_battle_mappings_tables;2;db/battle_catchment_override_battle_mappings_tables/data__						
Gatekeeper	*	naval_breakout	wh3_main_combi_map	*		wh2_ulthuan_grassland
Gatekeeper	*	naval_normal	wh3_main_combi_map	*		wh2_southlands_grassland
Gatekeeper	*	underground_intercept	wh3_main_chaos_map	*		wh2_main_subterranean_tiles
Gatekeeper	*	underground_intercept	wh3_main_combi_map	*		wh2_main_subterranean_tiles
Gatekeeper	*	underground_intercept	wh3_main_chaos_map	wh2_main_hef_high_elves		wh2_dlc10_alith_anar_shadow_realm
Gatekeeper	*	underground_intercept	wh3_main_combi_map	wh2_main_hef_high_elves		wh2_dlc10_alith_anar_shadow_realm
Gatekeeper	*	settlement_standard	wh3_main_chaos_map	wh2_main_skv_skaven		wh3_main_skv_settlement_standard_1
Gatekeeper	*	settlement_standard	wh3_main_combi_map	wh2_main_skv_skaven		wh2_main_skv_walled_settlements
Gatekeeper	*	settlement_unfortified	wh3_main_chaos_map	wh2_main_skv_skaven		wh3_main_skv_settlement_unfortified_1
Gatekeeper	*	settlement_unfortified	wh3_main_combi_map	wh2_main_skv_skaven		wh2_main_skv_minor_settlements
Gatekeeper	*	underground_intercept	wh3_main_chaos_map	wh2_main_skv_skaven		wh2_main_skv_subterranean_tiles
Gatekeeper	*	underground_intercept	wh3_main_combi_map	wh2_main_skv_skaven		wh2_main_skv_subterranean_tiles
Gatekeeper	*	underground_intercept	wh3_main_chaos_map	wh3_dlc23_chd_chaos_dwarfs		wh3_dlc23_subterranean_tiles
Gatekeeper	*	underground_intercept	wh3_main_combi_map	wh3_dlc23_chd_chaos_dwarfs		wh3_dlc23_subterranean_tiles
Gatekeeper	*	underground_intercept	wh3_main_chaos_map	wh_dlc03_bst_beastmen		wh3_main_bst_settlement_unfortified_1
Gatekeeper	*	underground_intercept	wh3_main_combi_map	wh_dlc03_bst_beastmen		wh_main_bst_subterranean_tiles
Gatekeeper	*	underground_intercept	wh3_main_chaos_map	wh_dlc05_wef_wood_elves		wh_wef_subterranean_tiles
Gatekeeper	*	underground_intercept	wh3_main_combi_map	wh_dlc05_wef_wood_elves		wh_wef_subterranean_tiles
Gatekeeper	wh_dlc03_bst_beastmen	land_ambush	wh3_main_combi_map	*		wh_main_bst_ambush_tiles
Gatekeeper	wh_dlc05_wef_wood_elves	land_ambush	wh3_main_combi_map	*		wh_dlc05_wef_ambush_tiles
quest_altar_of_ultimate_darkness	*	land_ambush	wh3_main_combi_map	*		wh3_main_macro_nor_mountains_ambush
quest_altar_of_ultimate_darkness	*	land_normal	wh3_main_combi_map	*		altar_of_ultimate_darkness
quest_altar_of_ultimate_darkness	*	settlement_relief	wh3_main_combi_map	*		altar_of_ultimate_darkness
quest_altar_of_ultimate_darkness	*	settlement_sally	wh3_main_combi_map	*		altar_of_ultimate_darkness
quest_arnheim	*	land_ambush	wh3_main_combi_map	*		wh2_naggarond_bleak_plains_ambush
quest_arnheim	*	land_normal	wh3_main_combi_map	*		arnheim
quest_arnheim	*	settlement_relief	wh3_main_combi_map	*		arnheim
quest_arnheim	*	settlement_sally	wh3_main_combi_map	*		arnheim
quest_caverns_of_the_great_bat	*	land_ambush	wh3_main_combi_map	*		wh2_lustria_and_southlands_mountains_ambush
quest_caverns_of_the_great_bat	*	land_normal	wh3_main_combi_map	*		wh2_lustria_and_southlands_mountains
quest_caverns_of_the_great_bat	*	settlement_relief	wh3_main_combi_map	*		wh2_lustria_and_southlands_mountains
quest_caverns_of_the_great_bat	*	settlement_sally	wh3_main_combi_map	*		wh2_lustria_and_southlands_mountains
quest_caverns_of_the_great_bat	*	underground_intercept	wh3_main_combi_map	*		caverns_of_the_great_bat
quest_fallen_gates	*	land_ambush	wh3_main_combi_map	*		wh2_lustria_and_southlands_jungle_ambush
quest_fallen_gates	*	land_normal	wh3_main_combi_map	*		fallen_gates
quest_fallen_gates	*	settlement_relief	wh3_main_combi_map	*		fallen_gates
quest_fallen_gates	*	settlement_sally	wh3_main_combi_map	*		fallen_gates
quest_gouger_gully	*	land_ambush	wh3_main_combi_map	*		wh2_southlands_desert_ambush
