choice_key	dilemma_key	incident_key
#cdir_events_dilemma_incidents_tables;0;db/cdir_events_dilemma_incidents_tables/data__		
FIRST	wh2_dlc09_great_vortex_tmb_arkhan_the_tomb_blade_of_arkhan_stage_2	wh2_dlc09_great_vortex_tmb_arkhan_the_tomb_blade_of_arkhan_stage_3a
SECOND	wh2_dlc09_great_vortex_tmb_arkhan_the_tomb_blade_of_arkhan_stage_2	wh2_dlc09_great_vortex_tmb_arkhan_the_tomb_blade_of_arkhan_stage_3b
FIRST	wh2_dlc09_great_vortex_tmb_settra_the_crown_of_nehekhara_stage_3	wh2_dlc09_great_vortex_settra_the_crown_of_nehekhara_stage_3_a
SECOND	wh2_dlc09_great_vortex_tmb_settra_the_crown_of_nehekhara_stage_3	wh2_dlc09_great_vortex_settra_the_crown_of_nehekhara_stage_3_b
FIRST	wh2_dlc09_tmb_arkhan_the_tomb_blade_of_arkhan_stage_2	wh2_dlc09_tmb_arkhan_the_tomb_blade_of_arkhan_stage_3a
SECOND	wh2_dlc09_tmb_arkhan_the_tomb_blade_of_arkhan_stage_2	wh2_dlc09_tmb_arkhan_the_tomb_blade_of_arkhan_stage_3b
FIRST	wh2_dlc09_tmb_settra_the_crown_of_nehekhara_stage_3	wh2_dlc09_settra_the_crown_of_nehekhara_stage_3_a
SECOND	wh2_dlc09_tmb_settra_the_crown_of_nehekhara_stage_3	wh2_dlc09_settra_the_crown_of_nehekhara_stage_3_b
SECOND	wh2_dlc10_qb_nor_monster_hunt_8_stage_2	wh2_dlc10_monster_hunt_8_stage_3b
FIRST	wh2_dlc11_th_puzzle_1_1	wh2_dlc11_treasure_hunt_puzzle_fail
FOURTH	wh2_dlc11_th_puzzle_1_1	wh2_dlc11_treasure_hunt_puzzle_fail
SECOND	wh2_dlc11_th_puzzle_1_1	wh2_dlc11_treasure_hunt_puzzle_success_puzzle_1_1
THIRD	wh2_dlc11_th_puzzle_1_1	wh2_dlc11_treasure_hunt_puzzle_fail
FIRST	wh2_dlc11_th_puzzle_1_2	wh2_dlc11_treasure_hunt_puzzle_fail
FOURTH	wh2_dlc11_th_puzzle_1_2	wh2_dlc11_treasure_hunt_puzzle_success_puzzle_1_2
SECOND	wh2_dlc11_th_puzzle_1_2	wh2_dlc11_treasure_hunt_puzzle_fail
THIRD	wh2_dlc11_th_puzzle_1_2	wh2_dlc11_treasure_hunt_puzzle_fail
FIRST	wh2_dlc11_th_puzzle_1_3	wh2_dlc11_treasure_hunt_puzzle_fail
FOURTH	wh2_dlc11_th_puzzle_1_3	wh2_dlc11_treasure_hunt_puzzle_fail
SECOND	wh2_dlc11_th_puzzle_1_3	wh2_dlc11_treasure_hunt_puzzle_success_puzzle_1_3
THIRD	wh2_dlc11_th_puzzle_1_3	wh2_dlc11_treasure_hunt_puzzle_fail
FIRST	wh2_dlc11_th_puzzle_1_4	wh2_dlc11_treasure_hunt_puzzle_success_puzzle_1_4
FOURTH	wh2_dlc11_th_puzzle_1_4	wh2_dlc11_treasure_hunt_puzzle_fail
SECOND	wh2_dlc11_th_puzzle_1_4	wh2_dlc11_treasure_hunt_puzzle_fail
THIRD	wh2_dlc11_th_puzzle_1_4	wh2_dlc11_treasure_hunt_puzzle_fail
FIRST	wh2_dlc11_th_puzzle_1_5	wh2_dlc11_treasure_hunt_puzzle_fail
FOURTH	wh2_dlc11_th_puzzle_1_5	wh2_dlc11_treasure_hunt_puzzle_fail
